model_id,price_kind,usd_per_1m,effective_date_earliest,effective_date_latest,price_status,channel_git_observed,channel_git_locator,channel_web_status,channel_web_snapshot,channel_web_locator,notes
gpt-4-0314,input,30,,2023-09-30,single_channel,2023-09-30,https://github.com/BerriAI/litellm@42cc4e2464266a05d793f9b6e50610b4c335f07c:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4-0314,output,60,,2023-09-30,single_channel,2023-09-30,https://github.com/BerriAI/litellm@42cc4e2464266a05d793f9b6e50610b4c335f07c:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4-1106-preview,input,10,,2023-11-30,single_channel,2023-11-30,https://github.com/BerriAI/litellm@8c1a9f1c4eeba21cd535e45cf8c7600b98635fce:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4-1106-preview,output,30,,2023-11-30,single_channel,2023-11-30,https://github.com/BerriAI/litellm@8c1a9f1c4eeba21cd535e45cf8c7600b98635fce:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4-turbo-2024-04-09,input,10,,2024-04-30,single_channel,2024-04-30,https://github.com/BerriAI/litellm@398d503590e2dc61fa1e0b31fe6cd6ed9500ee8a:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4-turbo-2024-04-09,output,30,,2024-04-30,single_channel,2024-04-30,https://github.com/BerriAI/litellm@398d503590e2dc61fa1e0b31fe6cd6ed9500ee8a:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4.1-2025-04-14,cache_read,0.5,,2025-04-30,single_channel,2025-04-30,https://github.com/BerriAI/litellm@6ad483dde711a715386a64fb30870d15feb06903:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4.1-2025-04-14,input,2,,2025-04-30,single_channel,2025-04-30,https://github.com/BerriAI/litellm@6ad483dde711a715386a64fb30870d15feb06903:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4.1-2025-04-14,output,8,,2025-04-30,single_channel,2025-04-30,https://github.com/BerriAI/litellm@6ad483dde711a715386a64fb30870d15feb06903:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4.5-preview,cache_read,37.5,,2025-02-28,single_channel,2025-02-28,https://github.com/BerriAI/litellm@1affd0f17842014f7b735f27ecf35ab34a7fecc5:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
gpt-4.5-preview,input,75,,2025-02-28,single_channel,2025-02-28,https://github.com/BerriAI/litellm@1affd0f17842014f7b735f27ecf35ab34a7fecc5:model_prices_and_context_window.json,not_attempted,,,first observation; no lower bound on effective date
