occupation_vintage,occ_code,title,excluded_weight,share_of_eligible_weight,reason
Census 2010,7630,"Other Installation, Maintenance, and Repair Workers",5910611.323,0.000658598084484043,no official conversion-rate route in frozen bridge
Census 2010,4300,First-Line Supervisors of Gaming Workers,5823784.3404,0.0006489232672279381,no official conversion-rate route in frozen bridge
Census 2010,4060,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",2524300.9859,0.00028127374701591783,no official conversion-rate route in frozen bridge
Census 2010,5800,Computer Operators,2020372.1816,0.00022512277935935038,no official conversion-rate route in frozen bridge
Census 2010,6300,"Paving, Surfacing, and Tamping Equipment Operators",625635.8617,6.971234574277616e-05,no official conversion-rate route in frozen bridge
Census 2010,7940,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",559629.8461,6.235753368307885e-05,no official conversion-rate route in frozen bridge
Census 2010,8200,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",472863.0119,5.26894185460713e-05,no official conversion-rate route in frozen bridge
Census 2010,8410,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",294834.7598,3.2852373034239e-05,no official conversion-rate route in frozen bridge
Census 2010,8010,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",246811.9594,2.7501365731165906e-05,no official conversion-rate route in frozen bridge
Census 2010,8400,"Textile Cutting Machine Setters, Operators, and Tenders",181020.9002,2.017050548720324e-05,no official conversion-rate route in frozen bridge
Census 2010,8210,"Tool Grinders, Filers, and Sharpeners",80948.1055,9.019755201540297e-06,no official conversion-rate route in frozen bridge
Census 2010,4410,Motion Picture Projectionists,13142.277100000001,1.4643964982331667e-06,no official conversion-rate route in frozen bridge
