occupation_vintage,occ_code,title,excluded_weight,share_of_eligible_weight,share_of_excluded_exposure_weight,beta_covered_route_mass,beta_partial_weighted_sum,reason
Census 2018,4220,Janitors and Building Cleaners,124310522.8175,0.013851472840081962,0.12489406811689482,0.993753285376,0.0,partial target exposure coverage; fail-closed score
Census 2018,4020,Cooks,99904237.7236,0.011131968590214375,0.10037321369596251,0.992726937949,0.0642256773249,partial target exposure coverage; fail-closed score
Census 2018,2205,Postsecondary Teachers,70435671.12620369,0.00784839258547635,0.07076631413102603,0.839498713215,0.401469549766,partial target exposure coverage; fail-closed score
Census 2018,2545,Teaching Assistants,68625411.28139631,0.0076466818653738175,0.06894755646480197,0.75,0.290909090909,partial target exposure coverage; fail-closed score
Census 2018,8990,Other Production Workers,65168444.93884589,0.007261484584261797,0.06547436224054339,0.845134418781,0.0751396970658,partial target exposure coverage; fail-closed score
Census 2018,0230,Education and Childcare Administrators,59403866.7975,0.006619158450080806,0.05968272369915143,0.906963321542,0.390641788134,partial target exposure coverage; fail-closed score
Census 2018,7750,Other Assemblers and Fabricators,58855684.1636,0.006558076437932743,0.059131967756154404,0.9,0.0822923432776,partial target exposure coverage; fail-closed score
Census 2018,3090,Other Physicians,58631140.46242034,0.006533056343834453,0.05890636998957173,0.968532993035,0.357114018298,partial target exposure coverage; fail-closed score
Census 2018,6050,Miscellaneous Agricultural Workers,44835591.8514,0.004995868159209766,0.04504606155482873,0.982247831907,0.121453204121,partial target exposure coverage; fail-closed score
Census 2018,2014,"Social Workers, All Other",39411335.48921033,0.004391462852437659,0.03959634234982313,0.0,,zero target exposure coverage
Census 2018,2360,Other Teachers and Instructors,38701647.4635482,0.0043123848774634715,0.03888332286756323,0.825126919727,0.327860870782,partial target exposure coverage; fail-closed score
Census 2018,5940,"Office and Administrative Support Workers, All Other",35847508.803,0.00399435850896005,0.03601578615219687,0.0,,zero target exposure coverage
Census 2018,8225,Other Metal Workers and Plastic Workers,23371059.5965,0.0026041528094939686,0.02348076931101416,0.988531141561,0.112848772672,partial target exposure coverage; fail-closed score
Census 2018,2640,Other Designers,22841910.830876518,0.002545191672582357,0.022949136586125914,0.980630690566,0.403260694313,partial target exposure coverage; fail-closed score
Census 2018,4965,"Sales and Related Workers, All Other",18163028.0271,0.002023840650886603,0.018248289913123526,0.0,,zero target exposure coverage
Census 2018,9005,Supervisors of Transportation and Material Moving Workers,16486901.29430786,0.0018370758992823466,0.016564295013953012,0.8,0.252406967906,partial target exposure coverage; fail-closed score
Census 2018,2600,Artists and Related Workers,15022723.4776,0.0016739278503359678,0.015093243973136262,0.91103888287,0.442286521961,partial target exposure coverage; fail-closed score
Census 2018,2006,"Counselors, All Other",13893934.0874897,0.001548150923130539,0.013959155757732043,0.0,,zero target exposure coverage
Census 2018,2555,Other Educational Instruction and Library Workers,9354210.0394676,0.0010423058592741042,0.0093981210871759,0.714285714286,0.288786676287,partial target exposure coverage; fail-closed score
Census 2018,3010,Dentists,9265949.4907,0.0010324713049146158,0.009309446220881612,0.961905525704,0.232264889654,partial target exposure coverage; fail-closed score
Census 2018,7855,"Food Processing Workers, All Other",8971585.1614,0.0009996713502529024,0.009013700070342514,0.0,,zero target exposure coverage
Census 2018,4655,"Personal Care and Service Workers, All Other",7441446.8348514,0.0008291735597893207,0.007476378884228661,0.0,,zero target exposure coverage
Census 2018,4435,Other Entertainment Attendants and Related Workers,6943169.1159,0.0007736522721747078,0.006975762122579209,0.963934504487,0.181023614571,partial target exposure coverage; fail-closed score
Census 2018,5165,"Financial Clerks, All Other",6751408.6422,0.0007522850947785005,0.0067831014763073206,0.0,,zero target exposure coverage
Census 2018,5420,"Information and Record Clerks, All Other",6545582.5886,0.000729350640585856,0.00657630922271597,0.0,,zero target exposure coverage
