census_2010,census_2018,soc_2018_pattern,bridge_weight,bridge_source,n_routes,max_route_weight,route_entropy,ambiguity_status,aioe_admin_equal,aioe_ability_direct,aioe_oews2018_source_weighted
0010,0010,11-1011,1,census_official_one_to_one,1,1,-0,one_to_one,1.334246,0.667753413458,1.334246
0020,0020,11-1021,1,census_official_one_to_one,1,1,-0,one_to_one,0.5748773,0.312941632831,0.5748773
0030,0030,11-1031,1,census_official_one_to_one,1,1,-0,one_to_one,,,
0040,0040,11-2011,1,census_official_one_to_one,1,1,-0,one_to_one,1.294387,0.611214599077,1.294387
0050,0051,11-2021,0.5117,census_official_conversion_rate,2,0.5117,0.692873375569,one_to_many_diffuse,1.315032,0.621293508547,1.315032
0050,0052,11-2022,0.4883,census_official_conversion_rate,2,0.5117,0.692873375569,one_to_many_diffuse,1.26628,0.591220126487,1.26628
0060,0060,11-2030,1,census_official_one_to_one,1,1,-0,one_to_one,1.293689,,1.293689
0100,0101,11-3012,0.3901,census_official_conversion_rate,2,0.6099,0.668792797057,one_to_many_diffuse,0.7398278,0.363795259739,0.7398278
0100,0102,11-3013,0.6099,census_official_conversion_rate,2,0.6099,0.668792797057,one_to_many_diffuse,0.7398278,,0.7398278
0110,0110,11-3021,1,census_official_one_to_one,1,1,-0,one_to_one,1.059853,0.520597711148,1.059853
0120,0120,11-3031,1,census_official_one_to_one,1,1,-0,one_to_one,1.446232,0.713143350046,1.446232
0135,0135,11-3111,1,census_official_one_to_one,1,1,-0,one_to_one,1.298235,0.597012594792,1.298235
0136,0136,11-3121,1,census_official_one_to_one,1,1,-0,one_to_one,1.320417,0.612691650741,1.320417
0137,0137,11-3131,1,census_official_one_to_one,1,1,-0,one_to_one,1.284423,0.62229029278,1.284423
0140,0140,11-3051,1,census_official_one_to_one,1,1,-0,one_to_one,0.5086878,0.332018712696,0.5086878
0150,0150,11-3061,1,census_official_one_to_one,1,1,-0,one_to_one,1.423426,0.68984555362,1.423426
0160,0160,11-3071,1,census_official_one_to_one,1,1,-0,one_to_one,0.8907923,0.569389713743,0.8907923
0205,0205,11-9013,1,census_official_one_to_one,1,1,-0,one_to_one,-0.1443684,0.168313109228,-0.1443684
0220,0220,11-9021,1,census_official_one_to_one,1,1,-0,one_to_one,1.029139,0.485918131459,1.029139
0230,0230,11-9030,1,census_official_one_to_one,1,1,-0,one_to_one,0.925523375,0.509421663539,1.08892009723
0300,0300,11-9041,1,census_official_one_to_one,1,1,-0,one_to_one,0.8370105,0.464470842362,0.8370105
0310,0310,11-9051,1,census_official_one_to_one,1,1,-0,one_to_one,-0.1213112,0.15831401489,-0.1213112
0325,0325,11-9171,1,census_official_one_to_one,1,1,-0,one_to_one,0.3719018,0.276822256271,0.3719018
0330,0335,11-9070,1,census_official_one_to_one,1,1,-0,one_to_one,0.89730395,0.391805748033,0.963446681205
0340,0340,11-9081,1,census_official_one_to_one,1,1,-0,one_to_one,0.4021726,0.280563742758,0.4021726
0350,0350,11-9111,1,census_official_one_to_one,1,1,-0,one_to_one,1.260259,0.590126432811,1.260259
0360,0360,11-9121,1,census_official_one_to_one,1,1,-0,one_to_one,1.327906,0.669950984163,1.327906
0400,0400,11-9131,1,census_official_one_to_one,1,1,-0,one_to_one,0.8233757,0.422014878384,0.8233757
0410,0410,11-9141,1,census_official_one_to_one,1,1,-0,one_to_one,1.215396,0.609432819557,1.215396
0420,0420,11-9151,1,census_official_one_to_one,1,1,-0,one_to_one,1.156153,0.520143981968,1.156153
0425,0425,11-9161,1,census_official_one_to_one,1,1,-0,one_to_one,1.030768,0.45530218478,1.030768
0430,0335,11-9070,0.0128,census_official_conversion_rate,4,0.8413,0.507023996296,one_to_many_diffuse,0.89730395,0.391805748033,0.963446681205
0430,0426,11-9179,0.006,census_official_conversion_rate,4,0.8413,0.507023996296,one_to_many_diffuse,0.9646872,0.212210631706,0.9646872
0430,0440,11-9199,0.8413,census_official_conversion_rate,4,0.8413,0.507023996296,one_to_many_diffuse,0.9646872,0.460639300072,0.9646872
0430,0705,13-1082,0.1399,census_official_conversion_rate,4,0.8413,0.507023996296,one_to_many_diffuse,1.08169306667,,1.06456359461
0500,0500,13-1011,1,census_official_one_to_one,1,1,-0,one_to_one,1.068559,0.599258264951,1.068559
0510,0510,13-1021,1,census_official_one_to_one,1,1,-0,one_to_one,0.7687054,0.38008997507,
0520,0520,13-1022,1,census_official_one_to_one,1,1,-0,one_to_one,0.8188258,0.354397196102,
0530,0530,13-1023,1,census_official_one_to_one,1,1,-0,one_to_one,1.509181,0.66793593334,
0540,0540,13-1030,1,census_official_one_to_one,1,1,-0,one_to_one,0.96875975,0.440504418549,1.2433897505
0565,0565,13-1041,1,census_official_one_to_one,1,1,-0,one_to_one,0.6981205,0.405229461078,0.6981205
0600,0600,13-1051,1,census_official_one_to_one,1,1,-0,one_to_one,1.367669,0.622982842261,1.367669
0630,0630,13-1070,1,census_official_one_to_one,1,1,-0,one_to_one,0.7531605,0.403959172379,1.35661660745
0640,0640,13-1141,1,census_official_one_to_one,1,1,-0,one_to_one,1.440985,0.650327705323,1.440985
0650,0650,13-1151,1,census_official_one_to_one,1,1,-0,one_to_one,1.198409,0.622706714948,1.198409
0700,0700,13-1081,1,census_official_one_to_one,1,1,-0,one_to_one,1.297303,0.658514935087,1.297303
0710,0710,13-1111,1,census_official_one_to_one,1,1,-0,one_to_one,1.432417,0.676832970532,1.432417
0725,0725,13-1121,1,census_official_one_to_one,1,1,-0,one_to_one,0.3740207,0.292698478324,0.3740207
0726,0726,13-1131,1,census_official_one_to_one,1,1,-0,one_to_one,1.242567,0.606723997637,1.242567
0735,0735,13-1161,1,census_official_one_to_one,1,1,-0,one_to_one,1.426757,0.672519208323,1.426757
0740,0705,13-1082,0.0707,census_official_conversion_rate,2,0.9293,0.255445877564,one_to_many_dominant_route,1.08169306667,,1.06456359461
0740,0750,13-1199,0.9293,census_official_conversion_rate,2,0.9293,0.255445877564,one_to_many_dominant_route,1.047687,0.649660550254,1.047687
0800,0800,13-2011,1,census_official_one_to_one,1,1,-0,one_to_one,1.481956,0.69676592556,1.481956
0810,0810,13-2020,1,census_official_one_to_one,1,1,-0,one_to_one,0.8413203,0.371105944977,0.8413203
0820,0820,13-2031,1,census_official_one_to_one,1,1,-0,one_to_one,1.502988,0.708804987478,1.502988
0830,0830,13-2041,1,census_official_one_to_one,1,1,-0,one_to_one,1.345268,0.666654945772,1.345268
