asset_symbol,chain,token_address,protocol,market_id,source_url,retrieval_date
sACRED,polygon,0x9d60947D49911E3c262C108f97FE07cde209f9a7,morpho_blue,0x8513df298cab92cafba1bae394420b7150aa40a5fac649c7168404bd5174a54c,https://polygonscan.com/token/0x9d60947D49911E3c262C108f97FE07cde209f9a7,2026-07-10
mF-ONE,ethereum,0x238a700eD6165261Cf8b2e544ba797BC11e466Ba,morpho_blue,0xef2c308b5abecf5c8750a1aa82b47c558005feb7a03f4f8e1ad682d71ac8d0ba,https://etherscan.io/token/0x238a700eD6165261Cf8b2e544ba797BC11e466Ba,2026-07-10
AA_FalconXUSDC,ethereum,0xC26A6Fa2C37b38E549a4a1807543801Db684f99C,morpho_blue,0xe83d72fa5b00dcd46d9e0e860d95aa540d5ec106da5833108a9f826f21f36f52,https://etherscan.io/token/0xC26A6Fa2C37b38E549a4a1807543801Db684f99C,2026-07-10
syrupUSDC,ethereum,0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,morpho_blue,0x729badf297ee9f2f6b3f717b96fd355fc6ec00422284ce1968e76647b258cf44,https://etherscan.io/token/0x80ac24aA929eaF5013f6436cdA2a7ba190f5Cc0b,2026-07-10
syrupUSDC,base,0x660975730059246a68521a3e2fbd4740173100f5,morpho_blue,UNKNOWN,https://basescan.org/token/0x660975730059246a68521a3e2fbd4740173100f5,2026-07-10
syrupUSDC,arbitrum,0x41CA7586cC1311807B4605fBB748a3B8862b42b5,morpho_blue,0xf86f3edd6f16cd8211f4d206866dc4ecd41be6211063ac11f8508e1b7112ef40,https://arbiscan.io/token/0x41CA7586cC1311807B4605fBB748a3B8862b42b5,2026-07-10
USTB,ethereum,0x43415eB6ff9DB7E26A15b704e7A3eDCe97d31C4e,morpho_blue,0x908545e78f164344b664f34c9e8ac8d167977d2aa6428dbeab9e96cfa53c9744,https://etherscan.io/token/0x43415eB6ff9DB7E26A15b704e7A3eDCe97d31C4e,2026-07-10
USCC,ethereum,0x14d60E7FDC0D71d8611742720E4C50E7a974020c,morpho_blue,0x1a9ccaca2dba9469cd9cba3d077466761b05f465c412d2bf2c71614c4963dd84,https://etherscan.io/token/0x14d60E7FDC0D71d8611742720E4C50E7a974020c,2026-07-10
JAAA,ethereum,0x5a0F93D040De44e78F251b03c43be9CF317Dcf64,morpho_blue,0xfb87d561d72cda2885dce1ebba1054931ef15bbd5ca6aa9d0a4f7f8ef84a89ca,https://etherscan.io/token/0x5a0F93D040De44e78F251b03c43be9CF317Dcf64,2026-07-10
JTRSY,ethereum,0x8c213ee79581Ff4984583C6a801e5263418C4b86,morpho_blue,0xe3815bbfe33aec2dc04f0e64dae3691604f9f74139880b0b4e678ac46cd25e98,https://etherscan.io/token/0x8c213ee79581Ff4984583C6a801e5263418C4b86,2026-07-10
USYC,ethereum,0x136471a34f6ef19fE571EFFC1CA711fdb8E49f2b,morpho_blue,0x04d2230e467510a3e3d745452f0278828634395f663d8b9339cd8bf0e8c4dd19,https://etherscan.io/token/0x136471a34f6ef19fE571EFFC1CA711fdb8E49f2b,2026-07-10
USYC,base,0xeeE7aF832440884d2b693B4193FA2ec26A48C7d3,morpho_blue,0x9cc8439780168e725db427fa130606f2c8ad0b78c7dbda316a80ad1f32685062,https://basescan.org/token/0xeeE7aF832440884d2b693B4193FA2ec26A48C7d3,2026-07-10
VBILL,ethereum,0x2255718832bC9fD3bE1CaF75084F4803DA14FF01,morpho_blue,0xafad4cf0a0f30584fa78c679daa8684adf9bd182824070fbfc7d2e347a62fd29,https://etherscan.io/token/0x2255718832bC9fD3bE1CaF75084F4803DA14FF01,2026-07-10
cUSDO,ethereum,0xaD55aebc9b8c03FC43cd9f62260391c13c23e7c0,morpho_blue,0xbc81f138bfa9b05089a4e3d88ac6bc1367407b44680c22b83b95cdd98d3eed7c,https://etherscan.io/token/0xaD55aebc9b8c03FC43cd9f62260391c13c23e7c0,2026-07-10
cUSDO,base,0x83dB73EF5192de4B6a4c92bD0141Ba1a0Dc87c65,morpho_blue,0x99f294c452edc091c988688d501dca78a06ba559065c242b19653452e6affc7a,https://basescan.org/token/0x83dB73EF5192de4B6a4c92bD0141Ba1a0Dc87c65,2026-07-10
mTBILL,ethereum,0xDD629E5241CbC5919847783e6C96B2De4754e438,morpho_blue,0xbe4c211adca4400078db69af91ea0df98401adb5959510ae99edd06fee5146f7,https://etherscan.io/token/0xDD629E5241CbC5919847783e6C96B2De4754e438,2026-07-10
mTBILL,base,0xDD629E5241CbC5919847783e6C96B2De4754e438,morpho_blue,0x16b6216733cf1ac8330c8a4049e75dac9141f75e27dec7e3f6695ba35ad44ae3,https://basescan.org/token/0xDD629E5241CbC5919847783e6C96B2De4754e438,2026-07-10
