event_key,etf,constituents,weight_sum
EARN|22103|2022-12-31|SPY,SPY,501,0.9945997201651335
EARN|62308|2021-06-30|XLF,XLF,64,0.9677997958660126
EARN|80681|2022-09-30|SPY,SPY,502,0.9955996807664633
EARN|90601|2022-03-31|XLF,XLF,66,0.9721997284889221
FOMC|2021-09-22,SPY,504,0.9941996954381466
FOMC|2021-09-22,XLF,64,0.9667996859550476
FOMC|2021-09-22,XLK,73,0.9971996751427651
FOMC|2022-01-26,SPY,504,0.9971996778994798
FOMC|2022-01-26,XLF,66,0.9675996661186218
FOMC|2022-01-26,XLK,76,0.9981996414065362
