events,roles,intervals,securities,dates,quote_minutes,extended
EARN|22103|2022-12-31|SPY,announcer,4,1,4,300.0,4
EARN|22103|2022-12-31|SPY,constituent,2000,500,4,150000.0,2000
EARN|22103|2022-12-31|SPY,etf,4,1,4,300.0,4
EARN|62308|2021-06-30|XLF,announcer,4,1,4,300.0,4
EARN|62308|2021-06-30|XLF,constituent,252,63,4,18900.0,252
EARN|62308|2021-06-30|XLF,etf,4,1,4,300.0,4
EARN|80681|2022-09-30|SPY,announcer,4,1,4,300.0,4
EARN|80681|2022-09-30|SPY,constituent,2004,501,4,150300.0,2004
EARN|80681|2022-09-30|SPY,etf,4,1,4,300.0,4
EARN|90601|2022-03-31|XLF,announcer,4,1,4,300.0,4
EARN|90601|2022-03-31|XLF,constituent,260,65,4,19500.0,260
EARN|90601|2022-03-31|XLF,etf,4,1,4,300.0,4
FOMC|2021-09-22,constituent,2016,504,4,151200.0,0
FOMC|2021-09-22,etf,12,3,4,900.0,0
FOMC|2022-01-26,constituent,2016,504,4,151200.0,0
FOMC|2022-01-26,etf,12,3,4,900.0,0
