event_id,event_date,receiver_id,symbol,connection_role,same_sic2_as_any_issuer
P1-2023-08-01,2023-01-31,C01_HIGH,NTRS,HIGH,false
P1-2023-08-01,2023-01-31,C01_LOW,HEI,LOW,false
P1-2023-08-01,2023-01-31,C02_HIGH,IDXX,HIGH,false
P1-2023-08-01,2023-01-31,C02_LOW,TDG,LOW,false
P1-2023-08-01,2023-01-31,C03_HIGH,VMC,HIGH,false
P1-2023-08-01,2023-01-31,C03_LOW,YUMC,LOW,false
P1-2023-08-01,2023-01-31,C04_HIGH,ORLY,HIGH,false
P1-2023-08-01,2023-01-31,C04_LOW,D,LOW,false
P1-2023-08-01,2023-01-31,C05_HIGH,HSIC,HIGH,false
P1-2023-08-01,2023-01-31,C05_LOW,FCNCA,LOW,false
P1-2023-08-01,2023-01-31,S01_HIGH,EA,HIGH,true
P1-2023-08-01,2023-01-31,S01_LOW,CMI,LOW,true
P1-2023-08-01,2023-01-31,S02_HIGH,SNPS,HIGH,true
P1-2023-08-01,2023-01-31,S02_LOW,AIG,LOW,true
P1-2023-08-01,2023-01-31,S03_HIGH,ANSS,HIGH,true
P1-2023-08-01,2023-01-31,S03_LOW,IR,LOW,true
P1-2023-08-01,2023-01-31,S04_HIGH,ADSK,HIGH,true
P1-2023-08-01,2023-01-31,S04_LOW,LHX,LOW,true
P1-2023-08-01,2023-01-31,S05_HIGH,FISV,HIGH,true
P1-2023-08-01,2023-01-31,S05_LOW,BSX,LOW,true
P1-2023-08-03,2023-07-28,C01_HIGH,NTRS,HIGH,false
P1-2023-08-03,2023-07-28,C01_LOW,HEI,LOW,false
P1-2023-08-03,2023-07-28,C02_HIGH,IDXX,HIGH,false
P1-2023-08-03,2023-07-28,C02_LOW,TDG,LOW,false
P1-2023-08-03,2023-07-28,C03_HIGH,VMC,HIGH,false
P1-2023-08-03,2023-07-28,C03_LOW,YUMC,LOW,false
P1-2023-08-03,2023-07-28,C04_HIGH,ORLY,HIGH,false
P1-2023-08-03,2023-07-28,C04_LOW,D,LOW,false
P1-2023-08-03,2023-07-28,C05_HIGH,HSIC,HIGH,false
P1-2023-08-03,2023-07-28,C05_LOW,FCNCA,LOW,false
P1-2023-08-03,2023-07-28,S01_HIGH,EA,HIGH,true
P1-2023-08-03,2023-07-28,S01_LOW,CMI,LOW,true
P1-2023-08-03,2023-07-28,S02_HIGH,SNPS,HIGH,true
P1-2023-08-03,2023-07-28,S02_LOW,AIG,LOW,true
P1-2023-08-03,2023-07-28,S03_HIGH,ANSS,HIGH,true
P1-2023-08-03,2023-07-28,S03_LOW,IR,LOW,true
P1-2023-08-03,2023-07-28,S04_HIGH,ADSK,HIGH,true
P1-2023-08-03,2023-07-28,S04_LOW,LHX,LOW,true
P1-2023-08-03,2023-07-28,S05_HIGH,FI,HIGH,true
P1-2023-08-03,2023-07-28,S05_LOW,BSX,LOW,true
