receiver_id,symbol,connection_role,same_sic2_as_any_issuer,size_quintile,liquidity_quintile
S01_HIGH,EA,HIGH,true,3,3
S01_LOW,CMI,LOW,true,3,3
S02_HIGH,SNPS,HIGH,true,4,4
S02_LOW,AIG,LOW,true,4,4
S03_HIGH,ANSS,HIGH,true,2,2
S03_LOW,IR,LOW,true,2,2
S04_HIGH,ADSK,HIGH,true,4,4
S04_LOW,LHX,LOW,true,4,4
S05_HIGH,FISV,HIGH,true,4,4
S05_LOW,BSX,LOW,true,5,4
C01_HIGH,NTRS,HIGH,false,2,1
C01_LOW,HEI,LOW,false,2,1
C02_HIGH,IDXX,HIGH,false,3,3
C02_LOW,TDG,LOW,false,3,3
C03_HIGH,VMC,HIGH,false,3,2
C03_LOW,YUMC,LOW,false,3,2
C04_HIGH,ORLY,HIGH,false,4,4
C04_LOW,D,LOW,false,4,4
C05_HIGH,HSIC,HIGH,false,1,1
C05_LOW,FCNCA,LOW,false,1,1
