variant,symbol,dataset,candidate_files,mapped_files,one_file_all_six_observed_noncrossed,one_file_all_six_in_header_and_noncrossed,interpretation
AAPL_AUG_WIRE,QQQ,ARCX.PILLAR,1,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,QQQ,BATS.PITCH,1,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,QQQ,EQUS.MINI,0,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,QQQ,XNAS.ITCH,1,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,QQQ,XNYS.PILLAR,1,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,SPY,ARCX.PILLAR,1,1,1,1,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,SPY,BATS.PITCH,1,1,1,1,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,SPY,EQUS.MINI,0,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,SPY,XNAS.ITCH,1,1,1,1,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_AUG_WIRE,SPY,XNYS.PILLAR,1,1,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_FEB_WIRE,QQQ,ARCX.PILLAR,1,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_FEB_WIRE,QQQ,BATS.PITCH,1,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_FEB_WIRE,QQQ,EQUS.MINI,0,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
AAPL_FEB_WIRE,QQQ,XNAS.ITCH,1,0,0,0,SINGLE_FILE_DIAGNOSTIC_NOT_LIVE_QUOTE_OR_BASKET_CERTIFICATION
