object,object_type,feed,anchor,horizon_minutes,baseline_mid,mid,bid,ask,mid_index,mid_change_bps,spread_bps,quote_age_seconds,observed
SPY,ETF,XNAS.ITCH,06:29_ET,0,398.645,398.51,398.48,398.54,99.9661352832721,-3.386471672791602,1.5056083912574338,10.0,YES
SPY,ETF,XNAS.ITCH,06:29_ET,1,398.645,398.525,398.5,398.55,99.96989802957519,-3.0101970424811775,1.254626434978985,4.0,YES
SPY,ETF,XNAS.ITCH,06:29_ET,5,398.645,398.3,398.28,398.32,99.91345683502867,-8.654316497133108,1.0042681395932713,3.0,YES
SPY,ETF,XNAS.ITCH,06:29_ET,15,398.645,399.105,399.07,399.14,100.11539088662846,11.539088662846364,1.7539244058581074,0.0,YES
SPY,ETF,XNAS.ITCH,06:29_ET,30,398.645,399.215,399.2,399.23,100.14298435951787,14.298435951787258,0.7514747692346229,3.0,YES
SPY,ETF,XNAS.ITCH,06:29_ET,60,398.645,399.55,399.51,399.59,100.22701902695381,22.701902695381193,2.0022525341008635,0.0,YES
XOM,STOCK,XNAS.ITCH,06:29_ET,0,112.36,111.995,111.69,112.3,99.6751512993948,-32.48487006051959,54.46671726416358,0.0,YES
XOM,STOCK,XNAS.ITCH,06:29_ET,1,112.36,111.995,111.69,112.3,99.6751512993948,-32.48487006051959,54.46671726416358,4.0,YES
XOM,STOCK,XNAS.ITCH,06:29_ET,5,112.36,110.255,110.01,110.5,98.12655749377002,-187.34425062299832,44.44242891478845,16.0,YES
XOM,STOCK,XNAS.ITCH,06:29_ET,15,112.36,110.2,110.1,110.3,98.07760768956925,-192.2392310430754,18.148820326678766,0.0,YES
XOM,STOCK,XNAS.ITCH,06:29_ET,30,112.36,110.48,110.33,110.63,98.32680669277323,-167.31933072267725,27.15423606082549,9.0,YES
XOM,STOCK,XNAS.ITCH,06:29_ET,60,112.36,111.74,111.65,111.83,99.44820220719117,-55.1797792808828,16.108824055843925,15.0,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:29_ET,0,100.0,99.77532345171534,,,99.77532345171534,-22.467654828466355,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:29_ET,0,100.0,99.9844860136705,,,99.9844860136705,-1.5513986329496188,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:29_ET,1,100.0,99.77807457307874,,,99.77807457307874,-22.19254269212545,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:29_ET,1,100.0,99.99298156179611,,,99.99298156179611,-0.7018438203887367,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:29_ET,5,100.0,98.67968599307409,,,98.67968599307409,-132.03140069259155,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:29_ET,5,100.0,99.8346354608128,,,99.8346354608128,-16.53645391871961,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:29_ET,15,100.0,98.66056271808009,,,98.66056271808009,-133.94372819199086,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:29_ET,15,100.0,99.87779090419107,,,99.87779090419107,-12.22090958089228,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:29_ET,30,100.0,98.82788907261657,,,98.82788907261657,-117.21109273834296,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:29_ET,30,100.0,99.87416462815462,,,99.87416462815462,-12.583537184538418,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:29_ET,60,100.0,99.63403322142867,,,99.63403322142867,-36.596677857133606,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:29_ET,60,100.0,100.02205414469147,,,100.02205414469147,2.2054144691474598,,,YES
SPY,ETF,XNAS.ITCH,06:30_ET,0,398.62,398.525,398.5,398.55,99.97616777883698,-2.3832221163022638,1.254626434978985,4.0,YES
SPY,ETF,XNAS.ITCH,06:30_ET,1,398.62,398.405,398.39,398.42,99.94606392052582,-5.393607947419277,0.7530025978589626,2.0,YES
SPY,ETF,XNAS.ITCH,06:30_ET,5,398.62,398.275,398.24,398.31,99.91345140735538,-8.654859264463077,1.7575795618605234,3.0,YES
SPY,ETF,XNAS.ITCH,06:30_ET,15,398.62,399.22,399.19,399.25,100.15051929155587,15.051929155587285,1.5029307148940434,2.0,YES
SPY,ETF,XNAS.ITCH,06:30_ET,30,398.62,399.265,399.23,399.3,100.16180823842255,16.18082384225561,1.7532215445881807,0.0,YES
SPY,ETF,XNAS.ITCH,06:30_ET,60,398.62,399.715,399.7,399.73,100.27469770708946,27.469770708945518,0.7505347560136597,1.0,YES
XOM,STOCK,XNAS.ITCH,06:30_ET,0,112.36,111.995,111.69,112.3,99.6751512993948,-32.48487006051959,54.46671726416358,4.0,YES
XOM,STOCK,XNAS.ITCH,06:30_ET,1,112.36,111.1,110.6,111.6,98.87860448558206,-112.13955144179444,90.00900090009002,3.0,YES
XOM,STOCK,XNAS.ITCH,06:30_ET,5,112.36,109.65,109.3,110.0,97.58810964756141,-241.18903524385837,63.83948928408573,0.0,YES
XOM,STOCK,XNAS.ITCH,06:30_ET,15,112.36,110.12,109.94,110.3,98.0064079743681,-199.35920256318963,32.69160915365057,11.0,YES
XOM,STOCK,XNAS.ITCH,06:30_ET,30,112.36,110.48,110.33,110.63,98.32680669277323,-167.31933072267725,27.15423606082549,1.0,YES
XOM,STOCK,XNAS.ITCH,06:30_ET,60,112.36,111.865,111.83,111.9,99.55945176219295,-44.0548237807048,6.257542573637867,22.0,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:30_ET,0,100.0,99.78076100429217,,,99.78076100429217,-21.923899570782666,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:30_ET,0,100.0,100.0012956800076,,,100.0012956800076,0.1295680007595834,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:30_ET,1,100.0,99.23550647233685,,,99.23550647233685,-76.44935276631459,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:30_ET,1,100.0,99.98079085683213,,,99.98079085683213,-1.9209143167875364,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:30_ET,5,100.0,98.31845640409003,,,98.31845640409003,-168.15435959099733,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:30_ET,5,100.0,99.84356988932684,,,99.84356988932684,-15.643011067315582,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:30_ET,15,100.0,98.61507472086245,,,98.61507472086245,-138.492527913755,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:30_ET,15,100.0,99.88609544464292,,,99.88609544464292,-11.390455535708055,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:30_ET,30,100.0,98.83072497498836,,,98.83072497498836,-116.92750250116401,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:30_ET,30,100.0,99.8830094697077,,,99.8830094697077,-11.699053029229356,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:30_ET,60,100.0,99.71117172059652,,,99.71117172059652,-28.882827940347468,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:30_ET,60,100.0,100.02799404160012,,,100.02799404160012,2.79940416001212,,,YES
SPY,ETF,XNAS.ITCH,06:31_ET,0,398.565,398.405,398.39,398.42,99.95985598334023,-4.014401665977108,0.7530025978589626,2.0,YES
SPY,ETF,XNAS.ITCH,06:31_ET,1,398.565,398.405,398.37,398.44,99.95985598334023,-4.014401665977108,1.7570060616709129,0.0,YES
SPY,ETF,XNAS.ITCH,06:31_ET,5,398.565,398.435,398.4,398.47,99.96738298646395,-3.261701353606261,1.7568737686197247,0.0,YES
SPY,ETF,XNAS.ITCH,06:31_ET,15,398.565,399.145,399.12,399.17,100.14552206039166,14.552206039164517,1.2526775983665086,0.0,YES
SPY,ETF,XNAS.ITCH,06:31_ET,30,398.565,399.555,399.53,399.58,100.24839110308231,24.83911030823016,1.2513921737933449,0.0,YES
SPY,ETF,XNAS.ITCH,06:31_ET,60,398.565,399.725,399.69,399.76,100.29104412078331,29.104412078331254,1.7512039527174932,2.0,YES
XOM,STOCK,XNAS.ITCH,06:31_ET,0,112.295,111.1,110.6,111.6,98.93583863929828,-106.4161360701732,90.00900090009002,3.0,YES
XOM,STOCK,XNAS.ITCH,06:31_ET,1,112.295,111.13,110.6,111.66,98.96255398726568,-103.74460127343221,95.38378475659137,0.0,YES
XOM,STOCK,XNAS.ITCH,06:31_ET,5,112.295,109.4,109.0,109.8,97.4219689211452,-257.80310788548036,73.12614259597807,0.0,YES
XOM,STOCK,XNAS.ITCH,06:31_ET,15,112.295,109.91,109.82,110.0,97.87612983659112,-212.38701634088807,16.377035756528066,0.0,YES
XOM,STOCK,XNAS.ITCH,06:31_ET,30,112.295,111.37,111.15,111.59,99.17627677100494,-82.37232289950546,39.50794648469067,2.0,YES
XOM,STOCK,XNAS.ITCH,06:31_ET,60,112.295,111.935,111.87,112.0,99.67941582439111,-32.05841756088845,11.613883057131371,22.0,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:31_ET,0,100.0,99.27835092443758,,,99.27835092443758,-72.1649075562425,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:31_ET,0,100.0,99.99326206913439,,,99.99326206913439,-0.6737930865607922,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:31_ET,1,100.0,99.25237606994335,,,99.25237606994335,-74.76239300566512,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:31_ET,1,100.0,99.85730922380448,,,99.85730922380448,-14.269077619551984,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:31_ET,5,100.0,98.21761640771176,,,98.21761640771176,-178.23835922882392,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:31_ET,5,100.0,99.8783371470134,,,99.8783371470134,-12.166285298660373,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:31_ET,15,100.0,98.55147257911555,,,98.55147257911555,-144.8527420884449,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:31_ET,15,100.0,99.96108640632316,,,99.96108640632316,-3.8913593676837,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:31_ET,30,100.0,99.45498072947908,,,99.45498072947908,-54.501927052093,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:31_ET,30,100.0,100.03670750142025,,,100.03670750142025,3.6707501420263355,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET,LAGGED_HOLDINGS_STOCK_PROXY,XNAS.ITCH,06:31_ET,60,100.0,99.79872601161662,,,99.79872601161662,-20.127398838337697,,,YES
CRSP_LAGGED_FIXED_AVAILABLE_STOCK_SUBSET_EX_XOM,LAGGED_HOLDINGS_STOCK_PROXY_SPILLOVER_DIAGNOSTIC,XNAS.ITCH,06:31_ET,60,100.0,100.04775702809152,,,100.04775702809152,4.7757028091521825,,,YES
SPY,ETF,BATS.PITCH,06:29_ET,0,,,,,,,,,NO
