venue,grid_shift_ms,symbol,weight_tier,liquidity_tier,direction,horizon,date,n,sse_baseline,sse_full,loss_difference
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-09-08,318,22.30817239781654,22.207195409671378,0.10097698814516065
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-09-22,364,21.91607174934716,22.156565800832755,-0.24049405148559513
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-10-06,213,20.81051828166464,21.16636993779499,-0.35585165613034875
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-10-20,461,41.459162412369395,41.48654639881461,-0.027383986445216002
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-11-07,697,66.36081115725754,66.75823674189334,-0.39742558463577293
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-11-21,577,34.68747849133415,34.44327258881479,0.2442059025193551
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-12-07,387,31.905904356854805,32.13546344059991,-0.22955908374509645
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,100ms,2023-12-21,300,21.792952769761477,21.565379144946817,0.2275736248146623
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-09-08,318,232.37608724336465,234.02087877087035,-1.644791527505693
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-09-22,364,176.96230770070355,179.00748982116,-2.0451821204564333
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-10-06,213,309.64226975704634,312.27642530126474,-2.634155544218352
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-10-20,461,344.9993882003247,345.9989877749472,-0.9995995746224762
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-11-07,697,359.7452196676756,360.5910111848164,-0.8457915171408152
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-11-21,577,251.4460925917614,248.90942604409338,2.5366665476680588
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-12-07,387,200.04552339957183,200.78727824128322,-0.7417548417113904
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,1s,2023-12-21,300,133.13224520902813,131.35793050796664,1.774314701061472
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,5s,2023-09-08,318,874.3334149996301,874.8272971867505,-0.4938821871204
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,5s,2023-09-22,364,998.313927113942,1009.3145498088522,-11.000622694910438
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,5s,2023-10-06,213,1515.4057537261103,1515.6737303949892,-0.2679766688791019
ARCX.PILLAR,0,AAPL,high,high,ETF_TO_STOCK,5s,2023-10-20,461,1821.207118138801,1805.4913422276454,15.715775911155644
