venue,grid_shift_ms,model,horizon,lambda,feature_count,n_train,n_valid,n_test,sse,mse,G_vs_spy_only,loss_increase_vs_all_stocks
ARCX.PILLAR,0,SPY_ONLY,5s,100.0,16,383,98,595,646.0200488061508,1.085747981186808,0.0,2.8248548459114318
ARCX.PILLAR,0,ALL_STOCKS,5s,100.0,269,383,98,595,643.1951939602394,1.0810003259835956,0.004372704610533074,0.0
ARCX.PILLAR,0,WITHOUT_high,5s,100.0,181,383,98,595,642.9706381649124,1.0806229212855671,0.004720303412988125,-0.2245557953269781
ARCX.PILLAR,0,WITHOUT_low,5s,100.0,192,383,98,595,645.5795252640892,1.0850076054858642,0.000681903824619301,2.3843313038497627
ARCX.PILLAR,0,WITHOUT_mid,5s,100.0,181,383,98,595,643.7909684503177,1.0820016276475928,0.003450481699372232,0.59577449007827
ARCX.PILLAR,500,SPY_ONLY,5s,1.0,16,386,105,595,692.03457694535,1.1630833225972268,0.0,-102.75962486361982
ARCX.PILLAR,500,ALL_STOCKS,5s,10.0,269,386,105,595,794.7942018089698,1.3357885744688567,-0.14848914821164305,0.0
ARCX.PILLAR,500,WITHOUT_high,5s,10.0,181,386,105,595,694.5119117684671,1.167246910535239,-0.0035797847472480715,-100.28229004050263
ARCX.PILLAR,500,WITHOUT_low,5s,10.0,192,386,105,595,806.029528481301,1.3546714764391614,-0.16472435819482656,11.235326672331212
ARCX.PILLAR,500,WITHOUT_mid,5s,100.0,181,386,105,595,686.4821759076948,1.1537515561473861,0.00802330002376983,-108.31202590127498
XNAS.ITCH,0,SPY_ONLY,5s,100.0,16,2,2,4,20.26934258431638,5.067335646079095,0.0,16.274153247575455
XNAS.ITCH,0,ALL_STOCKS,5s,100.0,269,2,2,4,3.995189336740926,0.9987973341852315,0.8028949720435311,0.0
XNAS.ITCH,0,WITHOUT_high,5s,100.0,181,2,2,4,1.6192031077779647,0.4048007769444912,0.920115657375546,-2.3759862289629616
XNAS.ITCH,0,WITHOUT_low,5s,100.0,192,2,2,4,2.100405605672703,0.5251014014181757,0.8963752476462697,-1.8947837310682232
XNAS.ITCH,0,WITHOUT_mid,5s,100.0,181,2,2,4,5.52942694544252,1.38235673636063,0.7272024525491532,1.5342376087015936
