venue,grid_shift_ms,symbol,weight_tier,liquidity_tier,report_weight,direction,horizon,lambda_baseline,lambda_full,n_train,n_valid,n_test,test_dates,sse_baseline,sse_full,mse_baseline,mse_full,loss_difference,G,target_variance,bootstrap_ci_low,bootstrap_ci_high,loo_min,loo_max,offday_G
ARCX.PILLAR,0,AAPL,high,high,0.0604999923706054,ETF_TO_STOCK,100ms,0.1,0.1,3213,698,3317,8,261.24107161640575,261.9190294633686,0.0787582368454645,0.0789626257049649,-0.6779578469628404,-0.0025951426503039166,0.07870643064180007,-0.007480013637921562,0.0028137310725293153,-0.004070400017770259,-0.0013397057335886586,-0.006178803105227448
ARCX.PILLAR,0,AAPL,high,high,0.0604999923706054,ETF_TO_STOCK,1s,0.1,0.1,3213,698,3317,8,2008.3491337694763,2012.9494276464018,0.605471550729417,0.606858434623576,-4.600293876925434,-0.002290584739263579,0.6040012443165742,-0.006538203470240029,0.003083637662935339,-0.004062239211453322,-0.00115743238245547,-0.004782130837875709
ARCX.PILLAR,0,AAPL,high,high,0.0604999923706054,ETF_TO_STOCK,5s,1.0,1.0,3213,698,3317,8,10030.166998788001,10024.887583273328,3.0238670481724452,3.022275424562354,5.279415514673019,0.0005263537003232788,3.0146238658319717,-0.00414313373368202,0.00442523736462689,-0.001271337727095423,0.0018025136237703743,0.0025573127494192827
ARCX.PILLAR,0,AAPL,high,high,0.0604999923706054,STOCK_TO_ETF,100ms,1.0,1.0,3213,698,3317,8,68.73871403843147,68.74635454147122,0.020723157684181932,0.020725461121938866,-0.007640503039752389,-0.00011115283645657392,0.021089819690488575,-0.0009390008307073483,0.0008507438498694981,-0.00039234493623352407,0.00014208866943343779,0.000708252079955729
ARCX.PILLAR,0,AAPL,high,high,0.0604999923706054,STOCK_TO_ETF,1s,1.0,1.0,3213,698,3317,8,645.8199787728122,645.8662766720572,0.19470002374820988,0.19471398151102118,-0.046297899245018925,-7.168855217676295e-05,0.1950509928745924,-0.0029218919069586903,0.0020224850552337595,-0.0009640889537618769,0.0005342621086213972,-0.0004339960416972488
ARCX.PILLAR,0,AAPL,high,high,0.0604999923706054,STOCK_TO_ETF,5s,100.0,100.0,3213,698,3317,8,3375.103885820571,3375.1197348627406,1.0175169990414745,1.0175217771669403,-0.015849042169520544,-4.695867951154398e-06,1.0165845122918913,-5.996469925682035e-05,3.712585559004776e-05,-1.958396989065747e-05,1.148145690632596e-05,2.4784931354160378e-05
ARCX.PILLAR,0,ABBV,high,low,0.0088999986648559,ETF_TO_STOCK,100ms,1.0,10.0,5993,2038,5037,8,444.3249029499965,445.9905216148686,0.08821221023426573,0.08854288695947361,-1.6656186648721132,-0.0037486502642853914,0.08861962085663577,-0.006054540509606498,-0.0014104273070595758,-0.004410972061420493,-0.0026823733586780474,-0.00580271970688262
ARCX.PILLAR,0,ABBV,high,low,0.0088999986648559,ETF_TO_STOCK,1s,10.0,1.0,5993,2038,5037,8,3232.899595767596,3221.0147556819593,0.6418303743830844,0.6394708667226443,11.884840085636824,0.003676216886288719,0.6425832210302743,0.0008094159166626896,0.006903894503749196,0.0027109887440267544,0.004363148778358084,0.005282930520435047
ARCX.PILLAR,0,ABBV,high,low,0.0088999986648559,ETF_TO_STOCK,5s,10.0,1.0,5993,2038,5037,8,14661.643902651504,14640.035116997824,2.91078894235686,2.9064989313078864,21.60878565367966,0.0014738310244850616,2.9124138345125337,-0.00163181720408348,0.005719352752946266,-0.00022256992922020657,0.0021268799894941237,0.004766773077708675
ARCX.PILLAR,0,ABBV,high,low,0.0088999986648559,STOCK_TO_ETF,100ms,0.1,0.1,5993,2038,5037,8,122.56744753842318,122.71692727177762,0.02433342218352654,0.024363098525268537,-0.14947973335443976,-0.0012195712349118981,0.02477416059510671,-0.0036133426622850183,0.0006900553649933749,-0.001971519089786211,-0.0006596287141085178,-0.002885590250054859
