venue,grid_shift_ms,horizon,model,comparison_reference,G,bootstrap_ci_low,bootstrap_ci_high,lambda,raw_feature_count,model_feature_count_with_missing_indicators,n_train,n_valid,n_test,sse,mse
ARCX.PILLAR,0,1s,SPY_ONLY,SPY_ONLY,0.0,,,0.1,16,32,21600,7200,14400,3664.42357485849,0.2544738593651729
ARCX.PILLAR,0,1s,ALL_TIERS,SPY_ONLY,-0.0008804658006464905,-0.001649914834058247,-0.0004433449068517069,1.0,82,164,21600,7200,14400,3667.649974495236,0.25469791489550253
ARCX.PILLAR,0,1s,WITHOUT_high,WITHOUT_high,0.00019448743912930944,-0.00040419406996400895,0.0007762842614089707,0.1,60,120,21600,7200,14400,3668.36342510358,0.2547474600766375
ARCX.PILLAR,0,1s,WITHOUT_mid,WITHOUT_mid,-0.0001318015777511672,-0.000509110889999026,0.00029233737846602034,1.0,60,120,21600,7200,14400,3667.1666361467155,0.2546643497324108
ARCX.PILLAR,0,1s,WITHOUT_low,WITHOUT_low,-0.0003261530473339658,-0.0008899905882301217,-1.2162615901056923e-05,1.0,60,120,21600,7200,14400,3666.4541493015313,0.25461487147927303
ARCX.PILLAR,500,1s,SPY_ONLY,SPY_ONLY,0.0,,,0.1,16,32,21600,7200,14400,3690.536325650951,0.2562872448368716
ARCX.PILLAR,500,1s,ALL_TIERS,SPY_ONLY,-0.00043703773155545633,-0.002475347516229459,0.0018176364757945612,1.0,82,164,21600,7200,14400,3692.1492292749363,0.2563992520329817
ARCX.PILLAR,500,1s,WITHOUT_high,WITHOUT_high,3.7317962759297885e-05,-0.00046059840165190157,0.00029592604585782493,1.0,60,120,21600,7200,14400,3692.287017904367,0.2564088206878033
ARCX.PILLAR,500,1s,WITHOUT_mid,WITHOUT_mid,6.502545988529285e-05,-0.0005677867300535377,0.0004998518823121577,1.0,60,120,21600,7200,14400,3692.389328589103,0.2564159255964655
ARCX.PILLAR,500,1s,WITHOUT_low,WITHOUT_low,-0.00039257454604824105,-0.0008722077058950284,-0.00010413207452245065,1.0,60,120,21600,7200,14400,3690.7003542587627,0.25629863571241407
XNAS.ITCH,0,1s,SPY_ONLY,SPY_ONLY,0.0,,,1.0,16,32,21600,7200,14400,3667.863280948019,0.25471272784361243
XNAS.ITCH,0,1s,ALL_TIERS,SPY_ONLY,-0.00024794288404828,-0.0007913476785638085,0.0001272917183221838,1.0,82,164,21600,7200,14400,3668.772701548192,0.2547758820519578
XNAS.ITCH,0,1s,WITHOUT_high,WITHOUT_high,0.0003641249615011777,-0.0002541573024008703,0.0008573379277411583,1.0,60,120,21600,7200,14400,3670.1090798756068,0.2548686861024727
XNAS.ITCH,0,1s,WITHOUT_mid,WITHOUT_mid,-0.00038487341215809323,-0.0007991292155571705,-3.456017935475973e-05,1.0,60,120,21600,7200,14400,3667.3612317173247,0.2546778633137031
XNAS.ITCH,0,1s,WITHOUT_low,WITHOUT_low,-0.00022445008387861343,-0.0004989440794277933,0.00015713014757996461,1.0,60,120,21600,7200,14400,3667.949429990968,0.25471871041603944
XNAS.ITCH,500,1s,SPY_ONLY,SPY_ONLY,0.0,,,0.1,16,32,21600,7200,14400,3712.464143127002,0.25781000993937514
XNAS.ITCH,500,1s,ALL_TIERS,SPY_ONLY,-0.0010217118739699327,-0.0020345232617222154,5.4361976553010376e-05,1.0,82,164,21600,7200,14400,3716.2572118237226,0.2580734174877585
XNAS.ITCH,500,1s,WITHOUT_high,WITHOUT_high,-4.4138842854923865e-05,-0.0004249329346917685,0.00020800522865522245,1.0,60,120,21600,7200,14400,3716.0931877704734,0.2580620269285051
XNAS.ITCH,500,1s,WITHOUT_mid,WITHOUT_mid,-0.00030589043479589684,-0.0007637804883301458,-1.768098096989749e-05,1.0,60,120,21600,7200,14400,3715.120791909366,0.2579944994381504
XNAS.ITCH,500,1s,WITHOUT_low,WITHOUT_low,-0.00015096752504928368,-0.0006582905708242659,0.0002747988896865283,1.0,60,120,21600,7200,14400,3715.6962623551603,0.2580344626635528
