venue,direction,sample,window_ms,matched_event_control_pairs,candidate_controls,mean_event_minus_control_bp,test_dates
ARCX.PILLAR,ETF_TO_STOCK,all,100,27284301,27286487,0.01802985465470763,24
ARCX.PILLAR,ETF_TO_STOCK,all,500,27284301,27286487,0.025602474600861944,24
ARCX.PILLAR,ETF_TO_STOCK,all,1000,27284301,27286487,0.029633473558083233,24
ARCX.PILLAR,ETF_TO_STOCK,all,2000,27284301,27286487,0.03437267667731751,24
ARCX.PILLAR,ETF_TO_STOCK,all,5000,27284301,27286487,0.038801206893096525,24
ARCX.PILLAR,ETF_TO_STOCK,nonoverlap,100,189376,189382,0.03270773155932323,24
ARCX.PILLAR,ETF_TO_STOCK,nonoverlap,500,189376,189382,0.04593902578479528,24
ARCX.PILLAR,ETF_TO_STOCK,nonoverlap,1000,189376,189382,0.046999559505635266,24
ARCX.PILLAR,ETF_TO_STOCK,nonoverlap,2000,189376,189382,0.057875901157225344,24
ARCX.PILLAR,ETF_TO_STOCK,nonoverlap,5000,189376,189382,0.06344024530267298,24
ARCX.PILLAR,STOCK_TO_ETF,all,100,1908141,1908141,0.02137971466267951,24
ARCX.PILLAR,STOCK_TO_ETF,all,500,1908141,1908141,0.02122878896250603,24
ARCX.PILLAR,STOCK_TO_ETF,all,1000,1908141,1908141,0.022763035202568258,24
ARCX.PILLAR,STOCK_TO_ETF,all,2000,1908141,1908141,0.022508138114484925,24
ARCX.PILLAR,STOCK_TO_ETF,all,5000,1908141,1908141,0.017607408433651685,24
ARCX.PILLAR,STOCK_TO_ETF,nonoverlap,100,106336,106336,0.0246306701239214,24
ARCX.PILLAR,STOCK_TO_ETF,nonoverlap,500,106336,106336,0.025086979335260814,24
ARCX.PILLAR,STOCK_TO_ETF,nonoverlap,1000,106336,106336,0.0294279370536953,24
ARCX.PILLAR,STOCK_TO_ETF,nonoverlap,2000,106336,106336,0.027432081934936604,24
ARCX.PILLAR,STOCK_TO_ETF,nonoverlap,5000,106336,106336,0.019974770359966164,24
XNAS.ITCH,ETF_TO_STOCK,all,100,28371075,28371075,0.016564644020494776,24
XNAS.ITCH,ETF_TO_STOCK,all,500,28371075,28371075,0.023861724380688863,24
XNAS.ITCH,ETF_TO_STOCK,all,1000,28371075,28371075,0.028265919037085516,24
XNAS.ITCH,ETF_TO_STOCK,all,2000,28371075,28371075,0.032031889426282045,24
XNAS.ITCH,ETF_TO_STOCK,all,5000,28371075,28371075,0.036201947955277244,24
XNAS.ITCH,ETF_TO_STOCK,nonoverlap,100,189750,189750,0.028352709789800472,24
XNAS.ITCH,ETF_TO_STOCK,nonoverlap,500,189750,189750,0.03999492195202172,24
XNAS.ITCH,ETF_TO_STOCK,nonoverlap,1000,189750,189750,0.047022749242115754,24
XNAS.ITCH,ETF_TO_STOCK,nonoverlap,2000,189750,189750,0.05741254583341356,24
XNAS.ITCH,ETF_TO_STOCK,nonoverlap,5000,189750,189750,0.07976850459117658,24
XNAS.ITCH,STOCK_TO_ETF,all,100,2038443,2038443,0.021065588651140766,24
XNAS.ITCH,STOCK_TO_ETF,all,500,2038443,2038443,0.021501562946712564,24
XNAS.ITCH,STOCK_TO_ETF,all,1000,2038443,2038443,0.023267647353475245,24
XNAS.ITCH,STOCK_TO_ETF,all,2000,2038443,2038443,0.022540924424937343,24
XNAS.ITCH,STOCK_TO_ETF,all,5000,2038443,2038443,0.01728086715211011,24
XNAS.ITCH,STOCK_TO_ETF,nonoverlap,100,102591,102591,0.028402036852269115,24
XNAS.ITCH,STOCK_TO_ETF,nonoverlap,500,102591,102591,0.027967589143985946,24
XNAS.ITCH,STOCK_TO_ETF,nonoverlap,1000,102591,102591,0.029036940697713627,24
XNAS.ITCH,STOCK_TO_ETF,nonoverlap,2000,102591,102591,0.023503203114415405,24
XNAS.ITCH,STOCK_TO_ETF,nonoverlap,5000,102591,102591,0.012000667990651961,24
