date,event_id,sample_kind,split,dataset,symbols,endpoint_rows,valid_fraction,median_state_age_ms,median_update_age_ms
2023-01-25,FOMC_20230201,CONTROL,TRAIN,ARCX.PILLAR,24,240,1.0,869.07648,1764.9203200000002
2023-01-25,FOMC_20230201,CONTROL,TRAIN,GLBX.MDP3,1,10,1.0,26.214222999999997,524.818972
2023-01-25,FOMC_20230201,CONTROL,TRAIN,XNAS.ITCH,24,240,1.0,491.2923995,2308.2828900000004
2023-02-01,FOMC_20230201,EVENT,TRAIN,ARCX.PILLAR,24,240,1.0,895.3845759999999,1162.465408
2023-02-01,FOMC_20230201,EVENT,TRAIN,GLBX.MDP3,1,10,1.0,14.378013,55.590775
2023-02-01,FOMC_20230201,EVENT,TRAIN,XNAS.ITCH,24,240,1.0,407.8217455,907.4149150000001
2023-03-15,FOMC_20230322,CONTROL,TRAIN,ARCX.PILLAR,24,240,1.0,445.92716800000005,1281.225984
2023-03-15,FOMC_20230322,CONTROL,TRAIN,GLBX.MDP3,1,10,1.0,5.628468,161.35324500000002
2023-03-15,FOMC_20230322,CONTROL,TRAIN,XNAS.ITCH,24,240,1.0,274.6482965,1305.1116984999999
2023-03-22,FOMC_20230322,EVENT,TRAIN,ARCX.PILLAR,24,240,1.0,784.811136,1067.815168
2023-03-22,FOMC_20230322,EVENT,TRAIN,GLBX.MDP3,1,10,1.0,23.009715,53.249141
2023-03-22,FOMC_20230322,EVENT,TRAIN,XNAS.ITCH,24,240,1.0,602.080565,1282.2817814999999
2023-04-26,FOMC_20230503,CONTROL,TRAIN,ARCX.PILLAR,24,240,1.0,1158.094208,4881.520512
2023-04-26,FOMC_20230503,CONTROL,TRAIN,GLBX.MDP3,1,10,1.0,12.402972,280.638834
2023-04-26,FOMC_20230503,CONTROL,TRAIN,XNAS.ITCH,24,240,1.0,869.3594475,5193.2154645
2023-05-03,FOMC_20230503,EVENT,TRAIN,ARCX.PILLAR,24,240,1.0,911.3496319999999,1544.0593920000001
2023-05-03,FOMC_20230503,EVENT,TRAIN,GLBX.MDP3,1,10,1.0,43.745775,47.982191
2023-05-03,FOMC_20230503,EVENT,TRAIN,XNAS.ITCH,24,240,1.0,589.1961180000001,1594.4851825
2023-06-07,FOMC_20230614,CONTROL,TRAIN,ARCX.PILLAR,24,240,1.0,1230.319744,4025.814144
2023-06-07,FOMC_20230614,CONTROL,TRAIN,GLBX.MDP3,1,10,1.0,75.145932,2210.4886189999997
2023-06-07,FOMC_20230614,CONTROL,TRAIN,XNAS.ITCH,24,240,1.0,732.4025505,4186.6144175
2023-06-14,FOMC_20230614,EVENT,TRAIN,ARCX.PILLAR,24,240,1.0,781.76576,1020.1891840000001
2023-06-14,FOMC_20230614,EVENT,TRAIN,GLBX.MDP3,1,10,1.0,18.873967999999998,58.746508
2023-06-14,FOMC_20230614,EVENT,TRAIN,XNAS.ITCH,24,240,1.0,407.5292985,1414.1173755
2023-07-19,FOMC_20230726,CONTROL,VALID,ARCX.PILLAR,24,240,1.0,1554.332416,5057.181055999999
2023-07-19,FOMC_20230726,CONTROL,VALID,GLBX.MDP3,1,10,1.0,20.615516999999997,664.255597
2023-07-19,FOMC_20230726,CONTROL,VALID,XNAS.ITCH,24,240,1.0,950.2346095,5040.641914
2023-07-26,FOMC_20230726,EVENT,VALID,ARCX.PILLAR,24,240,1.0,1209.384192,2029.35744
2023-07-26,FOMC_20230726,EVENT,VALID,GLBX.MDP3,1,10,1.0,39.410149,54.082758999999996
2023-07-26,FOMC_20230726,EVENT,VALID,XNAS.ITCH,24,240,1.0,696.5120665,2078.5999739999997
2023-09-13,FOMC_20230920,CONTROL,VALID,ARCX.PILLAR,24,240,1.0,1436.727872,6273.9030025
2023-09-13,FOMC_20230920,CONTROL,VALID,GLBX.MDP3,1,10,1.0,78.926382,508.861906
2023-09-13,FOMC_20230920,CONTROL,VALID,XNAS.ITCH,24,240,1.0,944.465987,6391.139655
2023-09-20,FOMC_20230920,EVENT,VALID,ARCX.PILLAR,24,240,1.0,997.6648459999999,1832.0665645
2023-09-20,FOMC_20230920,EVENT,VALID,GLBX.MDP3,1,10,1.0,17.917538999999998,135.37785300000002
2023-09-20,FOMC_20230920,EVENT,VALID,XNAS.ITCH,24,240,1.0,646.708989,1636.1664609999998
2023-10-25,FOMC_20231101,CONTROL,HISTORY,ARCX.PILLAR,24,240,1.0,804.9062785000001,3398.04658
2023-10-25,FOMC_20231101,CONTROL,HISTORY,GLBX.MDP3,1,10,1.0,23.263208,308.15866800000003
2023-10-25,FOMC_20231101,CONTROL,HISTORY,XNAS.ITCH,24,240,1.0,666.818085,3523.0966505
2023-11-01,FOMC_20231101,EVENT,HISTORY,ARCX.PILLAR,24,240,1.0,1395.8698005,2496.447908
2023-11-01,FOMC_20231101,EVENT,HISTORY,GLBX.MDP3,1,10,1.0,55.799150999999995,151.84844900000002
2023-11-01,FOMC_20231101,EVENT,HISTORY,XNAS.ITCH,24,240,1.0,826.5036299999999,1830.391255
