fit_spec,window,event_id,sample_kind,split,comparison,equal_weight_G,cells,n,sse_base,sse_full,pooled_sse_G
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,CONTROL,HISTORY,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.008739645546680778,92,5520,2491.4279369980886,2494.187382900261,-0.0011075760455256933
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,CONTROL,HISTORY,A0_TO_A2_CASH_TRADES,-0.00729917263037502,92,5520,2491.4279369980886,2489.2439577498326,0.0008765973985535025
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,CONTROL,HISTORY,A1_TO_A3_CASH_TRADES_AFTER_Q,-0.004297658171061524,92,5520,2494.187382900261,2490.9532865895953,0.0012966533039330264
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,CONTROL,HISTORY,A2_TO_A3_SPY_QUOTE_AFTER_C,-0.00599161794418742,92,5520,2489.2439577498326,2490.9532865895953,-0.0006866859451204466
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,CONTROL,HISTORY,A2_TO_A5_COMPLETE_SPY_AFTER_C,-0.008201849813563384,92,5520,2489.2439577498326,2490.020213583713,-0.00031184401651906946
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,CONTROL,HISTORY,A3_TO_A5_SPY_TRADE_AFTER_CQ,-0.0020342379120034853,92,5520,2490.9532865895953,2490.020213583713,0.00037458470654816445
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,EVENT,HISTORY,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.001630949678190132,92,5520,23159.900755301936,23187.727662025143,-0.0012015123474498068
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,EVENT,HISTORY,A0_TO_A2_CASH_TRADES,0.001383999643024359,92,5520,23159.900755301936,23155.10687966424,0.0002069903359408487
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,EVENT,HISTORY,A1_TO_A3_CASH_TRADES_AFTER_Q,0.0011658540955552473,92,5520,23187.727662025143,23184.33148385028,0.000146464467081997
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,EVENT,HISTORY,A2_TO_A3_SPY_QUOTE_AFTER_C,-0.001852039194275354,92,5520,23155.10687966424,23184.33148385028,-0.0012621234848071428
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,EVENT,HISTORY,A2_TO_A5_COMPLETE_SPY_AFTER_C,-0.0030605331127566667,92,5520,23155.10687966424,23207.61317096389,-0.0022675901075526195
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,EVENT,HISTORY,A3_TO_A5_SPY_TRADE_AFTER_CQ,-0.0011972152198905578,92,5520,23184.33148385028,23207.61317096389,-0.0010041991993525734
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,CONTROL,HISTORY,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.006380253474782839,92,5520,1197.585490920191,1197.102573948433,0.0004032421696983368
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,CONTROL,HISTORY,A0_TO_A2_CASH_TRADES,-0.01997824547853465,92,5520,1197.585490920191,1202.3113408642337,-0.003946148295777663
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,CONTROL,HISTORY,A1_TO_A3_CASH_TRADES_AFTER_Q,-0.018824480161919132,92,5520,1197.102573948433,1201.53057175387,-0.0036989293163340875
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,CONTROL,HISTORY,A2_TO_A3_SPY_QUOTE_AFTER_C,-0.005421492764942665,92,5520,1202.3113408642337,1201.53057175387,0.0006493901236950261
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,CONTROL,HISTORY,A2_TO_A5_COMPLETE_SPY_AFTER_C,-0.008954395583250093,92,5520,1202.3113408642337,1202.693842567315,-0.0003181386468553704
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,CONTROL,HISTORY,A3_TO_A5_SPY_TRADE_AFTER_CQ,-0.0035340241173215355,92,5520,1201.53057175387,1202.693842567315,-0.0009681574824575989
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,EVENT,HISTORY,A0_TO_A1_SPY_QUOTE_WEAK_BASE,0.0009904650502347025,92,5520,59505.088839047094,59425.04514660548,0.001345157095019589
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,EVENT,HISTORY,A0_TO_A2_CASH_TRADES,0.00255022661095284,92,5520,59505.088839047094,59444.05414906081,0.0010257053838097496
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,EVENT,HISTORY,A1_TO_A3_CASH_TRADES_AFTER_Q,0.002008889427756595,92,5520,59425.04514660548,59378.39052450706,0.0007851003223190434
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,EVENT,HISTORY,A2_TO_A3_SPY_QUOTE_AFTER_C,0.0004468436351189115,92,5520,59444.05414906081,59378.39052450706,0.0011046289741459825
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,EVENT,HISTORY,A2_TO_A5_COMPLETE_SPY_AFTER_C,0.0004694662120470049,92,5520,59444.05414906081,59377.85927032649,0.001113566019039225
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,EVENT,HISTORY,A3_TO_A5_SPY_TRADE_AFTER_CQ,2.7702734651896304e-05,92,5520,59378.39052450706,59377.85927032649,8.946927929076587e-06
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,CONTROL,TEST,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.01631975301538931,92,5520,1216.1899644395069,1216.1365115120404,4.3951133481878735e-05
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,CONTROL,TEST,A0_TO_A2_CASH_TRADES,-0.011861901353347255,92,5520,1216.1899644395069,1219.4630769340956,-0.0026912839196935323
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,CONTROL,TEST,A1_TO_A3_CASH_TRADES_AFTER_Q,-0.007338801547050604,92,5520,1216.1365115120404,1219.204054199926,-0.002522367068867659
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,CONTROL,TEST,A2_TO_A3_SPY_QUOTE_AFTER_C,-0.011399009576732311,92,5520,1219.4630769340956,1219.204054199926,0.00021240719712545264
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,CONTROL,TEST,A2_TO_A5_COMPLETE_SPY_AFTER_C,-0.02853944591455039,92,5520,1219.4630769340956,1222.5145765979737,-0.002502330510530948
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,CONTROL,TEST,A3_TO_A5_SPY_TRADE_AFTER_CQ,-0.015394086705445485,92,5520,1219.204054199926,1222.5145765979737,-0.0027153144599900703
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,EVENT,TEST,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.00394471332982387,92,5520,88334.11969826426,88660.79333749226,-0.003698159220286268
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,EVENT,TEST,A0_TO_A2_CASH_TRADES,-0.0006012529898969677,92,5520,88334.11969826426,88293.9317180482,0.00045495421648322765
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,EVENT,TEST,A1_TO_A3_CASH_TRADES_AFTER_Q,-0.0006344561195518135,92,5520,88660.79333749226,88628.07592299665,0.00036901784051346365
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,EVENT,TEST,A2_TO_A3_SPY_QUOTE_AFTER_C,-0.003975962434481057,92,5520,88293.9317180482,88628.07592299665,-0.0037844526622223817
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,EVENT,TEST,A2_TO_A5_COMPLETE_SPY_AFTER_C,-0.004134003135836978,92,5520,88293.9317180482,88645.31862465545,-0.003979740167527446
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240131,EVENT,TEST,A3_TO_A5_SPY_TRADE_AFTER_CQ,-0.00014534840671211974,92,5520,88628.07592299665,88645.31862465545,-0.00019455123536449292
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20240320,CONTROL,TEST,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.0583549980437192,92,5520,1443.161791617868,1442.7305790791554,0.0002987970865201417
