fit_spec,window,event_id,split,comparison,equal_weight_G_control,equal_weight_G_event,pooled_sse_G_control,pooled_sse_G_event,cells_control,cells_event,n_control,n_event,paired_difference_G
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,HISTORY,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.008739645546680778,-0.001630949678190132,-0.0011075760455256933,-0.0012015123474498068,92.0,92.0,5520.0,5520.0,0.007108695868490646
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,HISTORY,A0_TO_A2_CASH_TRADES,-0.00729917263037502,0.001383999643024359,0.0008765973985535025,0.0002069903359408487,92.0,92.0,5520.0,5520.0,0.008683172273399379
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,HISTORY,A1_TO_A3_CASH_TRADES_AFTER_Q,-0.004297658171061524,0.0011658540955552473,0.0012966533039330264,0.000146464467081997,92.0,92.0,5520.0,5520.0,0.0054635122666167706
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,HISTORY,A2_TO_A3_SPY_QUOTE_AFTER_C,-0.00599161794418742,-0.001852039194275354,-0.0006866859451204466,-0.0012621234848071428,92.0,92.0,5520.0,5520.0,0.004139578749912066
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,HISTORY,A2_TO_A5_COMPLETE_SPY_AFTER_C,-0.008201849813563384,-0.0030605331127566667,-0.00031184401651906946,-0.0022675901075526195,92.0,92.0,5520.0,5520.0,0.005141316700806717
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231101,HISTORY,A3_TO_A5_SPY_TRADE_AFTER_CQ,-0.0020342379120034853,-0.0011972152198905578,0.00037458470654816445,-0.0010041991993525734,92.0,92.0,5520.0,5520.0,0.0008370226921129275
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,HISTORY,A0_TO_A1_SPY_QUOTE_WEAK_BASE,-0.006380253474782839,0.0009904650502347025,0.0004032421696983368,0.001345157095019589,92.0,92.0,5520.0,5520.0,0.007370718525017542
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,HISTORY,A0_TO_A2_CASH_TRADES,-0.01997824547853465,0.00255022661095284,-0.003946148295777663,0.0010257053838097496,92.0,92.0,5520.0,5520.0,0.02252847208948749
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,HISTORY,A1_TO_A3_CASH_TRADES_AFTER_Q,-0.018824480161919132,0.002008889427756595,-0.0036989293163340875,0.0007851003223190434,92.0,92.0,5520.0,5520.0,0.020833369589675726
FIXED_A2_LAMBDA,POST_0_60S,FOMC_20231213,HISTORY,A2_TO_A3_SPY_QUOTE_AFTER_C,-0.005421492764942665,0.0004468436351189115,0.0006493901236950261,0.0011046289741459825,92.0,92.0,5520.0,5520.0,0.005868336400061576
