date,event_id,split,sample_kind,asset_class,observations,detected,detection_rate,median_detection_seconds
2023-01-25,FOMC_20230201,TRAIN,CONTROL,ES,1,1,1.0,1.0
2023-01-25,FOMC_20230201,TRAIN,CONTROL,SPY,2,2,1.0,1.0
2023-01-25,FOMC_20230201,TRAIN,CONTROL,STOCK,46,44,0.9565217391304348,35.0
2023-02-01,FOMC_20230201,TRAIN,EVENT,ES,1,1,1.0,3.0
2023-02-01,FOMC_20230201,TRAIN,EVENT,SPY,2,2,1.0,2.5
2023-02-01,FOMC_20230201,TRAIN,EVENT,STOCK,46,46,1.0,4.0
2023-03-15,FOMC_20230322,TRAIN,CONTROL,ES,1,1,1.0,20.0
2023-03-15,FOMC_20230322,TRAIN,CONTROL,SPY,2,2,1.0,20.0
2023-03-15,FOMC_20230322,TRAIN,CONTROL,STOCK,46,45,0.9782608695652174,31.0
2023-03-22,FOMC_20230322,TRAIN,EVENT,ES,1,1,1.0,1.0
2023-03-22,FOMC_20230322,TRAIN,EVENT,SPY,2,2,1.0,1.0
2023-03-22,FOMC_20230322,TRAIN,EVENT,STOCK,46,46,1.0,20.0
2023-04-26,FOMC_20230503,TRAIN,CONTROL,ES,1,1,1.0,4.0
2023-04-26,FOMC_20230503,TRAIN,CONTROL,SPY,2,2,1.0,4.5
2023-04-26,FOMC_20230503,TRAIN,CONTROL,STOCK,46,41,0.8913043478260869,79.0
2023-05-03,FOMC_20230503,TRAIN,EVENT,ES,1,1,1.0,1.0
2023-05-03,FOMC_20230503,TRAIN,EVENT,SPY,2,2,1.0,1.0
2023-05-03,FOMC_20230503,TRAIN,EVENT,STOCK,46,46,1.0,4.0
2023-06-07,FOMC_20230614,TRAIN,CONTROL,ES,1,1,1.0,4.0
2023-06-07,FOMC_20230614,TRAIN,CONTROL,SPY,2,2,1.0,2.0
2023-06-07,FOMC_20230614,TRAIN,CONTROL,STOCK,46,44,0.9565217391304348,39.0
