venue,grid_shift_ms,family,es_cutoff,support,contrast,stocks,test_dates,equal_stock_G,report_weight_G,positive_stocks,equal_ci_low,equal_ci_high,weighted_ci_low,weighted_ci_high
ARCX.PILLAR,0,QUOTE_TRADE_WITH_REST_BASKET,AT_T,ES_VALID,SPY_RAW,23,8,0.0018663700150361,0.0010336153344699,19,0.0007310072835461,0.0027830295039036,0.0006582983917725,0.0015448628758964
ARCX.PILLAR,0,QUOTE_TRADE_WITH_REST_BASKET,AT_T,ES_VALID,ES_RAW,23,8,0.0021478567259238,0.0010813774432661,19,0.001169272923346,0.0030013374826405,0.0007473480464921,0.0016038489607496
ARCX.PILLAR,0,QUOTE_TRADE_WITH_REST_BASKET,AT_T,ES_VALID,SPY_GIVEN_ES,23,8,-0.0002146336027439,0.0002907101930699,10,-0.0006003573468235,9.347639459177322e-05,-6.326305864197925e-06,0.0005499515787596
ARCX.PILLAR,0,QUOTE_TRADE_WITH_REST_BASKET,AT_T,ES_VALID,ES_GIVEN_SPY,23,8,6.665608924207577e-05,0.0003379712418905,18,-0.000141917854401,0.000280807756892,0.0001684909540958,0.000521986681052
ARCX.PILLAR,0,QUOTE_WITH_REST_BASKET,AT_T,ES_VALID,SPY_RAW,23,8,0.0031007913354325,0.002255984915913,21,0.0015519014519621,0.0043379342265461,0.0010958692208044,0.0032094051711703
ARCX.PILLAR,0,QUOTE_WITH_REST_BASKET,AT_T,ES_VALID,ES_RAW,23,8,0.0028689832394846,0.0020058225977715,22,0.0015663285758114,0.0039036125039811,0.0010273422971052,0.0028099285412863
ARCX.PILLAR,0,QUOTE_WITH_REST_BASKET,AT_T,ES_VALID,SPY_GIVEN_ES,23,8,0.0003487303977556,0.0003613688886669,12,-7.729340112275578e-06,0.0006865640945525,-0.0001524151616399,0.0009676755131273
ARCX.PILLAR,0,QUOTE_WITH_REST_BASKET,AT_T,ES_VALID,ES_GIVEN_SPY,23,8,0.0001163554841541,0.0001111760919937,17,-0.0002042590045703,0.0005057775515652,-0.0004654922082949,0.0008323118077316
ARCX.PILLAR,500,QUOTE_TRADE_WITH_REST_BASKET,AT_T,ES_VALID,SPY_RAW,23,8,0.002057887816603,0.001376363455135,19,0.000997335693122,0.0028638521516855,0.0009388998670978,0.001714790583492
ARCX.PILLAR,500,QUOTE_TRADE_WITH_REST_BASKET,AT_T,ES_VALID,ES_RAW,23,8,0.0020093813253859,0.0014396730436159,21,0.0013315277459015,0.0025153438000301,0.0011155978607581,0.0017044782472467
