file,window,dataset,stock,instrument,trades,native_trades,midpoint_fallback_trades,unknown_trades,native_share
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,11891,8131,3690,70,0.6837944664031621
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG,ARCX.PILLAR,AAPL,SPY,644,585,55,4,0.9083850931677019
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_CTRL,ARCX.PILLAR,AAPL,AAPL,7110,6475,332,303,0.9106891701828411
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_CTRL,ARCX.PILLAR,AAPL,SPY,17173,15606,614,953,0.9087521108717173
AAPL_AUG_CTRL_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_CTRL,XNAS.ITCH,AAPL,AAPL,13697,12237,679,781,0.893407315470541
AAPL_AUG_CTRL_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_CTRL,XNAS.ITCH,AAPL,SPY,15380,13678,693,1009,0.8893368010403121
AAPL_AUG_RTH_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_RTH,ARCX.PILLAR,AAPL,AAPL,21037,19536,997,504,0.9286495222702856
AAPL_AUG_RTH_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_RTH,ARCX.PILLAR,AAPL,SPY,16952,15545,565,842,0.9170009438414346
AAPL_AUG_RTH_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_RTH,XNAS.ITCH,AAPL,AAPL,37930,33374,2743,1813,0.8798839968362774
AAPL_AUG_RTH_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_RTH,XNAS.ITCH,AAPL,SPY,17679,16247,655,777,0.9189999434357147
AAPL_AUG_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG,XNAS.ITCH,AAPL,AAPL,8100,4193,3819,88,0.5176543209876543
AAPL_AUG_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG,XNAS.ITCH,AAPL,SPY,419,354,63,2,0.8448687350835322
AAPL_FEB_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB,ARCX.PILLAR,AAPL,AAPL,13615,8856,4626,133,0.6504590525156078
AAPL_FEB_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB,ARCX.PILLAR,AAPL,SPY,1067,967,100,0,0.9062792877225867
AAPL_FEB_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB_CTRL,ARCX.PILLAR,AAPL,AAPL,7471,6339,769,363,0.8484807923972695
AAPL_FEB_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB_CTRL,ARCX.PILLAR,AAPL,SPY,19973,18350,1073,550,0.9187402994041957
AAPL_FEB_CTRL_XNAS_ITCH_mbp1.dbn.zst,AAPL_FEB_CTRL,XNAS.ITCH,AAPL,AAPL,18999,14738,2721,1540,0.7757250381599031
AAPL_FEB_CTRL_XNAS_ITCH_mbp1.dbn.zst,AAPL_FEB_CTRL,XNAS.ITCH,AAPL,SPY,14369,12615,1187,567,0.8779316584313452
AAPL_FEB_RTH_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB_RTH,ARCX.PILLAR,AAPL,AAPL,32083,27376,3619,1088,0.8532867873951937
AAPL_FEB_RTH_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB_RTH,ARCX.PILLAR,AAPL,SPY,35771,32571,1811,1389,0.9105420592099746
AAPL_FEB_RTH_XNAS_ITCH_mbp1.dbn.zst,AAPL_FEB_RTH,XNAS.ITCH,AAPL,AAPL,68493,57390,7320,3783,0.8378958433708554
AAPL_FEB_RTH_XNAS_ITCH_mbp1.dbn.zst,AAPL_FEB_RTH,XNAS.ITCH,AAPL,SPY,21686,19394,1576,716,0.8943096928894217
AAPL_FEB_XNAS_ITCH_mbp1.dbn.zst,AAPL_FEB,XNAS.ITCH,AAPL,AAPL,8939,4007,4842,90,0.44826043181563935
AAPL_FEB_XNAS_ITCH_mbp1.dbn.zst,AAPL_FEB,XNAS.ITCH,AAPL,SPY,532,412,112,8,0.7744360902255639
XOM_JAN_ARCX_PILLAR_mbp1.dbn.zst,XOM_JAN,ARCX.PILLAR,XOM,XOM,32,26,6,0,0.8125
XOM_JAN_ARCX_PILLAR_mbp1.dbn.zst,XOM_JAN,ARCX.PILLAR,XOM,SPY,109,109,0,0,1.0
XOM_JAN_CTRL_ARCX_PILLAR_mbp1.dbn.zst,XOM_JAN_CTRL,ARCX.PILLAR,XOM,XOM,1436,1041,338,57,0.7249303621169917
XOM_JAN_CTRL_ARCX_PILLAR_mbp1.dbn.zst,XOM_JAN_CTRL,ARCX.PILLAR,XOM,SPY,16301,15114,773,414,0.9271823814489909
XOM_JAN_CTRL_XNAS_ITCH_mbp1.dbn.zst,XOM_JAN_CTRL,XNAS.ITCH,XOM,XOM,3716,3058,460,198,0.8229278794402584
XOM_JAN_CTRL_XNAS_ITCH_mbp1.dbn.zst,XOM_JAN_CTRL,XNAS.ITCH,XOM,SPY,10914,9320,1077,517,0.8539490562580172
XOM_JAN_RTH_ARCX_PILLAR_mbp1.dbn.zst,XOM_JAN_RTH,ARCX.PILLAR,XOM,XOM,3271,2626,581,64,0.8028125955365332
XOM_JAN_RTH_ARCX_PILLAR_mbp1.dbn.zst,XOM_JAN_RTH,ARCX.PILLAR,XOM,SPY,16046,15078,641,327,0.9396734388632682
XOM_JAN_RTH_XNAS_ITCH_mbp1.dbn.zst,XOM_JAN_RTH,XNAS.ITCH,XOM,XOM,6921,5511,1102,308,0.7962722149978326
XOM_JAN_RTH_XNAS_ITCH_mbp1.dbn.zst,XOM_JAN_RTH,XNAS.ITCH,XOM,SPY,12141,10890,784,467,0.8969607116382505
XOM_JAN_XNAS_ITCH_mbp1.dbn.zst,XOM_JAN,XNAS.ITCH,XOM,XOM,90,55,34,1,0.6111111111111112
XOM_JAN_XNAS_ITCH_mbp1.dbn.zst,XOM_JAN,XNAS.ITCH,XOM,SPY,33,33,0,0,1.0
