comparison,window,dataset,stock,instrument,variant,horizon_ns,horizon_label,direction,weighting,metric,estimate,support_bins,dropped_bins,paired_n_sum,unpaired_n_sum,paired_n_min,paired_n_median,paired_n_max,rth_paired_n_sum,rth_unpaired_n_sum,control_paired_n_sum,control_unpaired_n_sum,rth_paired_n_min,rth_paired_n_median,rth_paired_n_max,control_paired_n_min,control_paired_n_median,control_paired_n_max
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,effective_spread_bp,-0.25129555454709873,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,effective_spread_bp,-0.25129555454709873,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,signed_mid_change_bp,3.3872708814446097,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,signed_mid_change_bp,3.3872708814446097,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,realized_spread_bp,-7.0258373174363165,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,realized_spread_bp,-7.0258373174363165,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,pre_quoted_spread_bp,-0.5508425723114225,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,pre_quoted_spread_bp,-0.5508425723114225,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,pre_bid_size,-1147.744686171543,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,pre_bid_size,-1147.744686171543,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,pre_ask_size,-2431.950195882304,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,pre_ask_size,-2431.950195882304,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,pre_displayed_depth,-3579.694882053847,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,pre_displayed_depth,-3579.694882053847,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,trade_size,-4.371884637826128,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,trade_size,-4.371884637826128,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,EQUAL_BIN,buy_share,0.0,1,11,18,2666,18,18.0,18,,,,,,,,,,
WITHIN_WINDOW_5M,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,NATIVE_ONLY,50000,50us,B,PAIRED_N_WEIGHTED,buy_share,0.0,1,11,18,2666,18,18.0,18,,,,,,,,,,
