window,module,dataset,stock,stock_trades,spy_trades,near_pairs_20us_event,background_pairs_event,excess_pairs_20us_event,excess_per_1000_stock_event,excess_per_1000_stock_receive,excess_per_1000_stock_event_periodic_exclusion,same_direction_excess_pairs_event,stock_direction_available_rate,spy_direction_available_rate,stock_5s_paired_n,stock_5s_paired_signed_mid_change_bp_mean,stock_5s_unpaired_n,stock_5s_unpaired_signed_mid_change_bp_mean,spy_5s_paired_n,spy_5s_paired_signed_mid_change_bp_mean,spy_5s_unpaired_n,spy_5s_unpaired_signed_mid_change_bp_mean
AAPL_AUG,A_ANNOUNCEMENT,ARCX.PILLAR,AAPL,11891,644,35,136.0,21.4,1.7996804305777478,1.8249095954923893,1.3692813926334784,24.6,0.9941131948532503,0.9937888198757764,33,27.38158753929403,11788,6.988409790801526,14,2.364099455658294,626,0.7821846141927794
AAPL_AUG,A_ANNOUNCEMENT,XNAS.ITCH,AAPL,8100,419,16,63.0,9.7,1.1975308641975309,1.1975308641975309,0.1255098839033573,9.7,0.9891358024691358,0.9952267303102625,11,2.416965604979448,8001,5.958871667767644,6,1.3692405099353773,411,0.6389504073667811
AAPL_AUG_CTRL,C_CONTROL,ARCX.PILLAR,AAPL,7110,17173,536,804.0,455.6,64.07876230661041,40.773558368495074,55.96167494677075,440.2,0.9573839662447258,0.9445059104408082,134,0.7128397486063233,6673,0.3857735692314689,241,0.3896302348019071,15979,0.168313658380803
AAPL_AUG_CTRL,C_CONTROL,XNAS.ITCH,AAPL,13697,15380,814,655.0,748.5,54.64700299335621,26.480251149886836,50.16891891891892,665.3,0.9429802146455428,0.9343953185955787,187,0.4604836846398123,12729,0.3916934149240084,220,1.0254258389548083,14151,0.1686264228506379
AAPL_AUG_RTH,B_RTH,ARCX.PILLAR,AAPL,21037,16952,530,641.0,465.9,22.146693920235776,16.06217616580311,18.334546336729744,428.20000000000005,0.9760422113419214,0.9503303445021236,133,0.7803434903468907,20400,0.3573780604115749,181,0.5190430977157177,15929,0.164447944491459
AAPL_AUG_RTH,B_RTH,XNAS.ITCH,AAPL,37930,17679,719,995.0,619.5,16.332718165040866,14.305299235433694,14.715899511043668,583.0,0.9522014236751911,0.9560495503139318,160,0.4223438175466423,35957,0.462545243102305,248,0.5619676905966104,16654,0.1479234138982292
AAPL_FEB,A_ANNOUNCEMENT,ARCX.PILLAR,AAPL,13615,1067,103,7830.0,-680.0,-49.94491369812707,-2.9526257803892766,0.8411303279463189,-771.4,0.9902313624678664,1.0,8,58.82880915882788,13474,16.452420494464185,1,3.7518002589945834,1066,1.8414794512243473
AAPL_FEB,A_ANNOUNCEMENT,XNAS.ITCH,AAPL,8939,532,2,631.0,-61.1,-6.83521646716635,22.28437185367491,0.1456664238892935,-47.5,0.989931759704665,0.9849624060150376,2,22.218347859102337,8847,11.684347787635474,2,3.752589292831484,522,1.4674386652723952
AAPL_FEB_CTRL,C_CONTROL,ARCX.PILLAR,AAPL,7471,19973,328,461.0,281.9,37.73256592156338,22.165707401954226,36.29102274700469,279.5,0.9514121268906438,0.9724628248134982,122,1.3275860663325356,6986,0.6829230355693947,156,0.6511746904735083,19267,0.1958328461469811
AAPL_FEB_CTRL,C_CONTROL,XNAS.ITCH,AAPL,18999,14369,466,671.0,398.9,20.995841886415075,15.263961261119006,17.040449894979336,364.0,0.9189431022685405,0.9605400514997564,230,0.907722438598877,17229,0.5237941329842478,145,0.4284072060959821,13657,0.1680587456395306
AAPL_FEB_RTH,B_RTH,ARCX.PILLAR,AAPL,32083,35771,707,1693.0,537.7,16.759654645762552,8.166318611102453,17.665010368167767,504.4,0.9660879593554219,0.9611696625758296,247,1.7526245454843428,30748,1.748671970679251,310,1.1300628897727945,34072,0.2016201860085951
AAPL_FEB_RTH,B_RTH,XNAS.ITCH,AAPL,68493,21686,909,2734.0,635.5999999999999,9.279780415516912,6.691194720628386,8.715931955368575,590.0,0.9447680784897726,0.9669833072028037,416,2.6261574265798404,64294,1.7652918002843534,373,0.7787631876646008,20597,0.2049549203832915
