file,window,dataset,stock,instrument,analysis_start_utc_ns,analysis_end_utc_ns_exclusive,total_mbp1_records,trade_records,analysis_window_trade_records,support_only_trade_records,raw_native_side_classified_trades,raw_midpoint_fallback_classified_trades,raw_unknown_direction_trades,add_records,cancel_records,modify_records,clear_records,fill_records,other_records,valid_bbo_records,invalid_bbo_records,flag_last_records,flag_publisher_specific_records,flag_bad_ts_recv_records,flag_maybe_bad_book_records
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG,ARCX.PILLAR,AAPL,AAPL,1691094300000000000,1691094900000000000,23368,13561,11891,1670,9364,4099,98,4088,5655,62,0,2,0,23368,0,15292,15259,0,0
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG,ARCX.PILLAR,AAPL,SPY,1691094300000000000,1691094900000000000,19060,764,644,120,703,57,4,9579,8621,96,0,0,0,19060,0,18792,17694,0,0
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_CTRL,ARCX.PILLAR,AAPL,AAPL,1690552800000000000,1690556400000000000,193966,7416,7110,306,6755,345,316,92024,91793,2732,0,1,0,193966,0,190857,189535,0,0
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_CTRL,ARCX.PILLAR,AAPL,SPY,1690552800000000000,1690556400000000000,730171,17771,17173,598,16136,647,988,356458,341793,14146,0,3,0,730171,0,720394,700484,0,0
AAPL_AUG_CTRL_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_CTRL,XNAS.ITCH,AAPL,AAPL,1690552800000000000,1690556400000000000,214474,14341,13697,644,12794,727,820,104658,95475,0,0,0,0,214474,0,207607,167695,0,0
AAPL_AUG_CTRL_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_CTRL,XNAS.ITCH,AAPL,SPY,1690552800000000000,1690556400000000000,703803,16103,15380,723,14317,723,1063,358096,329604,0,0,0,0,703803,0,696446,604707,0,0
AAPL_AUG_RTH_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_RTH,ARCX.PILLAR,AAPL,AAPL,1691157600000000000,1691161200000000000,346092,23180,21037,2143,21509,1131,540,163519,155993,3396,0,4,0,346092,0,334941,333070,0,0
AAPL_AUG_RTH_ARCX_PILLAR_mbp1.dbn.zst,AAPL_AUG_RTH,ARCX.PILLAR,AAPL,SPY,1691157600000000000,1691161200000000000,995614,17591,16952,639,16152,577,862,489199,466399,22422,0,3,0,995614,0,986454,959565,0,0
AAPL_AUG_RTH_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_RTH,XNAS.ITCH,AAPL,AAPL,1691157600000000000,1691161200000000000,386181,41944,37930,4014,36955,3066,1923,179817,164420,0,0,0,0,386181,0,365622,295706,0,0
AAPL_AUG_RTH_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG_RTH,XNAS.ITCH,AAPL,SPY,1691157600000000000,1691161200000000000,1033637,18324,17679,645,16866,668,790,526584,488729,0,0,0,0,1033637,0,1025213,850859,0,0
AAPL_AUG_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG,XNAS.ITCH,AAPL,AAPL,1691094300000000000,1691094900000000000,21685,8985,8100,885,4742,4144,99,5850,6850,0,0,0,0,21685,0,17472,16733,0,0
AAPL_AUG_XNAS_ITCH_mbp1.dbn.zst,AAPL_AUG,XNAS.ITCH,AAPL,SPY,1691094300000000000,1691094900000000000,21306,443,419,24,373,68,2,11010,9853,0,0,0,0,21306,0,21189,17011,0,0
AAPL_FEB_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB,ARCX.PILLAR,AAPL,AAPL,1675373100000000000,1675373700000000000,26575,15905,13615,2290,10531,5215,159,4458,6157,51,0,4,0,26575,0,18430,18426,0,0
AAPL_FEB_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB,ARCX.PILLAR,AAPL,SPY,1675373100000000000,1675373700000000000,18896,1232,1067,165,1131,101,0,11148,6449,67,0,0,0,18896,0,18425,18300,0,0
AAPL_FEB_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB_CTRL,ARCX.PILLAR,AAPL,AAPL,1674831600000000000,1674835200000000000,156370,7930,7471,459,6719,834,377,75514,70652,2270,0,4,0,156370,0,153271,151045,0,0
AAPL_FEB_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL_FEB_CTRL,ARCX.PILLAR,AAPL,SPY,1674831600000000000,1674835200000000000,621131,20787,19973,814,19071,1151,565,313279,280774,6286,0,5,0,621131,0,611996,595427,0,0
