file,symbol,action,side,flags_integer,records
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,A,128,3
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,A,130,2126
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,B,128,4
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,B,130,1900
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,N,130,55
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,A,128,9
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,A,130,2738
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,B,128,8
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,B,130,2891
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,N,130,9
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,F,A,130,2
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,A,130,21
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,B,130,41
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,A,0,3647
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,A,128,3
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,A,130,1980
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,B,0,2111
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,B,128,5
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,B,130,1618
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,N,0,2318
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,N,128,1
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,N,130,1878
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,A,128,336
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,A,130,4490
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,B,128,321
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,B,130,4259
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,N,128,15
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,N,130,158
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,C,A,128,181
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,C,A,130,3980
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,C,B,128,213
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,C,B,130,4094
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,C,N,128,22
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,C,N,130,131
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,M,A,128,1
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,M,A,130,42
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,M,B,130,40
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,M,N,130,13
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,A,0,98
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,A,128,2
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,A,130,204
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,B,0,141
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,B,128,5
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,B,130,253
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,N,0,29
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,N,128,2
AAPL_AUG_ARCX_PILLAR_mbp1.dbn.zst,SPY,T,N,130,30
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,A,128,317
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,A,130,43801
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,B,128,332
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,B,130,46997
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,N,128,14
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,A,N,130,563
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,A,128,263
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,A,130,43690
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,B,128,282
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,B,130,47126
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,N,128,13
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,C,N,130,419
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,F,B,130,1
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,A,128,14
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,A,130,1222
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,B,128,11
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,B,130,1281
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,N,128,4
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,M,N,130,200
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,A,0,1285
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,A,128,28
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,A,130,1762
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,B,0,1634
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,B,128,34
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,B,130,2012
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,N,0,190
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,N,128,10
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,AAPL,T,N,130,461
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,A,128,5059
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,A,130,163053
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,B,128,5693
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,B,130,175268
AAPL_AUG_CTRL_ARCX_PILLAR_mbp1.dbn.zst,SPY,A,N,128,488
