sample,fit_spec,scope,venue,grid_shift_ms,contrast,stocks,dates,equal_stock_metric,report_weight_metric,equal_ci_low,equal_ci_high,report_weight_ci_low,report_weight_ci_high
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,ARCX.PILLAR,0,A0_TO_A1_SPY_QUOTE_BEFORE_C,23,8,0.0003730588176803978,0.0005852120111292234,4.2451036357947086e-05,0.0006149458795729625,0.0003376203682227419,0.0008090789900726487
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,ARCX.PILLAR,500,A0_TO_A1_SPY_QUOTE_BEFORE_C,23,8,0.0002720437683221905,0.0003867458104886237,5.8821992482008136e-05,0.0004184371077628226,0.0002152770841336469,0.000508468550500222
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,XNAS.ITCH,0,A0_TO_A1_SPY_QUOTE_BEFORE_C,23,8,0.0003016614638642865,0.00046126392015173823,-2.478470049809663e-07,0.0005350100878068405,0.0003548755397218772,0.0005860763236723387
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,XNAS.ITCH,500,A0_TO_A1_SPY_QUOTE_BEFORE_C,23,8,0.0003034760590262724,0.0003424905469311256,9.180690540816977e-06,0.0005341878455865647,0.00021663698745856707,0.0004438700399716019
2023_HISTORICAL,FIXED_A2_LAMBDA,ALL_CELLS_EQUAL,ALL,-1,A0_TO_A1_SPY_QUOTE_BEFORE_C,23,8,0.0003125600272232868,0.00044392807217517774,6.514129721165033e-05,0.0005185210941941354,0.0003402112033034931,0.0005384493864206509
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,ARCX.PILLAR,0,A2_TO_A3_SPY_QUOTE_AFTER_C,23,8,0.000368965386871734,0.0005827131595305504,5.413683940309116e-05,0.000604440083463233,0.00034940685789252164,0.0007936920175620551
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,ARCX.PILLAR,500,A2_TO_A3_SPY_QUOTE_AFTER_C,23,8,0.0002582288028145158,0.00037943887074237556,5.137046146230434e-05,0.0004018092385777431,0.00021949236823584585,0.0004992230436408176
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,XNAS.ITCH,0,A2_TO_A3_SPY_QUOTE_AFTER_C,23,8,0.00030328526674127255,0.00044895759809320077,2.1446854076212376e-05,0.0005212550829049917,0.0003477125143260499,0.0005709929329561833
2023_HISTORICAL,FIXED_A2_LAMBDA,CELL,XNAS.ITCH,500,A2_TO_A3_SPY_QUOTE_AFTER_C,23,8,0.00028553264105504375,0.0003118689749368075,1.7968886801617255e-05,0.0004989681137304444,0.0001989570340541318,0.00040371429325031705
2023_HISTORICAL,FIXED_A2_LAMBDA,ALL_CELLS_EQUAL,ALL,-1,A2_TO_A3_SPY_QUOTE_AFTER_C,23,8,0.00030400302437064153,0.0004307446508257335,7.64035817532424e-05,0.0004977956488077536,0.0003365384313206986,0.0005123335011654129
