wave_id,provisional_tier,candidate_denominator,stocks_with_nominal_source_clock_min2_both_pre_post,clock_interpretation
W002,high,3,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W002,low,3,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W013,high,1,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W013,low,1,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W016,high,3,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W016,low,3,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W021,high,1,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W021,low,1,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W025,high,2,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W025,low,2,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
