wave_id,provisional_tier,event_side,old_capped_exact_metadata_event_keys,uncapped_exact_metadata_event_keys,change_keys
W002,high,POST,4,18,14
W002,high,PRE,7,7,0
W002,low,POST,4,11,7
W002,low,PRE,1,1,0
W013,high,POST,4,12,8
W013,high,PRE,8,12,4
W013,low,POST,4,12,8
W013,low,PRE,8,12,4
W016,high,POST,4,11,7
W016,high,PRE,8,15,7
W016,low,POST,4,11,7
W016,low,PRE,8,15,7
W021,high,POST,4,10,6
W021,high,PRE,8,16,8
W021,low,POST,4,9,5
W021,low,PRE,8,17,9
W025,high,POST,4,8,4
W025,high,PRE,8,18,10
W025,low,POST,4,8,4
W025,low,PRE,8,18,10
