wave_id,provisional_tier,previous_v1_representation_status,mapping_status,candidate_denominator,candidates_with_public_release_key,public_release_keys
W002,high,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,775,775,19992
W002,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NO_SOURCE_ROW_PATH_FOR_CANDIDATE,59,0,0
W002,low,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,762,762,19404
W002,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NO_SOURCE_ROW_PATH_FOR_CANDIDATE,73,0,0
W013,high,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,32,32,868
W013,low,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,33,33,922
W016,high,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,172,172,4350
W016,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NO_SOURCE_ROW_PATH_FOR_CANDIDATE,24,0,0
W016,low,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,167,167,4181
W016,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NO_SOURCE_ROW_PATH_FOR_CANDIDATE,29,0,0
W021,high,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,13,13,353
W021,low,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,13,13,364
W025,high,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,315,315,8340
W025,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NO_SOURCE_ROW_PATH_FOR_CANDIDATE,6,0,0
W025,low,PREVIOUS_V1_REPRESENTED,HAS_UNIQUE_SOURCE_MAPPING_ROWS,310,310,8149
W025,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NO_SOURCE_ROW_PATH_FOR_CANDIDATE,11,0,0
