wave_id,provisional_tier,candidate_denominator,stocks_with_nominal_source_clock_min2_both_pre_post,clock_interpretation
W002,high,834,3,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W002,low,835,5,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W013,high,32,1,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W013,low,33,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W016,high,196,3,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W016,low,196,3,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W021,high,13,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W021,low,13,0,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W025,high,321,4,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
W025,low,321,1,SOURCE_DISPLAY_CLOCK_ONLY_NOT_ET_OR_RTH
