wave_id,provisional_tier,event_side,old_capped_exact_metadata_event_keys,uncapped_exact_metadata_event_keys,change_keys
W002,high,POST,3014,12516,9502
W002,high,PRE,5835,5837,2
W002,low,POST,2968,12188,9220
W002,low,PRE,5628,5632,4
W013,high,POST,124,369,245
W013,high,PRE,254,375,121
W013,low,POST,132,398,266
W013,low,PRE,264,392,128
W016,high,POST,646,1647,1001
W016,high,PRE,1340,2359,1019
W016,low,POST,615,1566,951
W016,low,PRE,1292,2288,996
W021,high,POST,52,118,66
W021,high,PRE,104,204,100
W021,low,POST,52,117,65
W021,low,PRE,104,217,113
W025,high,POST,1189,2314,1125
W025,high,PRE,2489,5411,2922
W025,low,POST,1197,2353,1156
W025,low,PRE,2430,5185,2755
