wave_id,provisional_tier,event_side,source_window_status,analyst_coverage_status,analyst_count_90d,exact_event_keys
W002,high,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,1,1
W002,high,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,0,1
W002,high,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,1,2
W002,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,2,6
W002,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,3,1
W002,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,14,1
W002,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,15,1
W002,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,0,30
W002,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,1,3
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,2,3
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,3,1
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,4,1
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,5,1
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,14,1
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,17,1
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,18,1
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,0,28
W002,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,1,8
W016,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,2,3
W016,low,POST,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,1,6
W016,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,2,3
W016,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,3,3
W016,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,OBSERVED_SOURCE_MIN2_LOWER_BOUND,4,1
W016,low,PRE,AVAILABLE_PARTITIONS_OBSERVED_THROUGH_RELEASE_COMPLETENESS_UNKNOWN,UNKNOWN_OBSERVED_LT2_SOURCE_COMPLETENESS_UNCERTIFIED,1,1
