wave_id,provisional_tier,previous_v1_representation_status,source_overlap_status,candidate_denominator
W002,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NOT_RECOVERED_UNIQUELY_IN_EITHER_CHECKED_FAMILY,26
W002,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RECOVERED_BOTH_FAMILIES,33
W002,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NOT_RECOVERED_UNIQUELY_IN_EITHER_CHECKED_FAMILY,37
W002,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RECOVERED_BOTH_FAMILIES,36
W016,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NOT_RECOVERED_UNIQUELY_IN_EITHER_CHECKED_FAMILY,17
W016,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RECOVERED_BOTH_FAMILIES,7
W016,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NOT_RECOVERED_UNIQUELY_IN_EITHER_CHECKED_FAMILY,20
W016,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RECOVERED_BOTH_FAMILIES,9
W025,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,NOT_RECOVERED_UNIQUELY_IN_EITHER_CHECKED_FAMILY,3
W025,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RECOVERED_BOTH_FAMILIES,3
W025,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RECOVERED_BOTH_FAMILIES,11
