wave_id,provisional_tier,previous_v1_representation_status,family,family_recovery_status,candidate_denominator,unique_source_rows,uncertain_source_rows
W002,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,NO_MATCH_IN_CHECKED_SCC_FAMILY,26,0,0
W002,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,RECOVERED_UNIQUE_SOURCE_MAPPING,33,284,0
W002,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,NO_MATCH_IN_CHECKED_SCC_FAMILY,26,0,0
W002,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,RECOVERED_UNIQUE_SOURCE_MAPPING,33,284,0
W002,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,NO_MATCH_IN_CHECKED_SCC_FAMILY,37,0,0
W002,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,RECOVERED_UNIQUE_SOURCE_MAPPING,36,540,0
W002,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,NO_MATCH_IN_CHECKED_SCC_FAMILY,37,0,0
W002,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,RECOVERED_UNIQUE_SOURCE_MAPPING,36,540,0
W016,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,NO_MATCH_IN_CHECKED_SCC_FAMILY,17,0,0
W016,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,RECOVERED_UNIQUE_SOURCE_MAPPING,7,60,0
W016,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,NO_MATCH_IN_CHECKED_SCC_FAMILY,17,0,0
W016,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,RECOVERED_UNIQUE_SOURCE_MAPPING,7,60,0
W016,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,NO_MATCH_IN_CHECKED_SCC_FAMILY,20,0,0
W016,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,RECOVERED_UNIQUE_SOURCE_MAPPING,9,96,0
W016,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,NO_MATCH_IN_CHECKED_SCC_FAMILY,20,0,0
W016,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,RECOVERED_UNIQUE_SOURCE_MAPPING,9,96,0
W025,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,NO_MATCH_IN_CHECKED_SCC_FAMILY,3,0,0
W025,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,RECOVERED_UNIQUE_SOURCE_MAPPING,3,54,0
W025,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,NO_MATCH_IN_CHECKED_SCC_FAMILY,3,0,0
W025,high,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,RECOVERED_UNIQUE_SOURCE_MAPPING,3,54,0
W025,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,CORE_IBES_ACTUALS_EPS,RECOVERED_UNIQUE_SOURCE_MAPPING,11,212,0
W025,low,PREVIOUS_V1_UNREPRESENTED_UNKNOWN,RESCUE_ALLCOLS_ACTU_EPSUS,RECOVERED_UNIQUE_SOURCE_MAPPING,11,212,0
