exposure_wave_id,exposure_effective_dates,public_universe_effective_dates,public_pre_series_count,public_post_series_count,source_wave_public_metadata_relation
W001,2021-03-26,2021-03-26,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W002,2021-06-11,2021-06-11,4,4,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W003,2021-09-24,2021-09-24,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W004,2021-12-10,2021-12-10,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W006,2022-05-06,2022-05-06,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W007,2022-05-20,2022-05-20,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W009,2022-08-01,2022-08-01,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W011,2022-10-14,2022-10-14,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W013,2022-10-28,2022-10-28,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W014,2022-12-09,2022-12-09,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W016,2023-03-10,2023-03-10,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W017,2023-05-12,2023-05-12,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W018,2023-06-09,2023-06-09,4,4,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W021,2023-07-28,2023-07-28,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W023,2023-10-13,2023-10-13,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W024,2023-11-10,2023-11-10,2,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W025,2023-11-17,2023-11-17,5,5,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W029,2024-06-21,2024-06-21,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W030,2024-10-07,2024-10-07,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W032,2024-12-09,2024-12-09,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W034,2025-03-28,2025-03-28,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W036,2025-05-02,2025-05-02,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W037,2025-07-11,2025-07-11,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W038,2025-08-22,2025-08-22,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W039,2025-09-03,2025-09-03,3,3,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W040,2025-09-26,2025-09-26,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W041,2025-10-03,2025-10-03,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W042,2025-10-24,2025-10-24,2,2,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W044,2025-12-05,2025-12-05,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
W045,2025-12-12,2025-12-12,1,1,AT_LEAST_ONE_EXACT_EFFECTIVE_DATE_MATCH
