wave_id_focal,provisional_tier,candidate_fact_status,candidates
W002,high,NO_OBSERVED_EXCLUSION_BUT_COMPLETE_CALENDAR_UNKNOWN,27
W002,high,OBSERVED_OTHER_CONVERSION_CONTRACT_EXCLUSION_CONDITION_MET,6
W002,low,NO_OBSERVED_EXCLUSION_BUT_COMPLETE_CALENDAR_UNKNOWN,35
W002,low,OBSERVED_OTHER_CONVERSION_CONTRACT_EXCLUSION_CONDITION_MET,1
W016,high,NO_OBSERVED_EXCLUSION_BUT_COMPLETE_CALENDAR_UNKNOWN,4
W016,high,OBSERVED_OTHER_CONVERSION_CONTRACT_EXCLUSION_CONDITION_MET,3
W016,low,NO_OBSERVED_EXCLUSION_BUT_COMPLETE_CALENDAR_UNKNOWN,4
W016,low,OBSERVED_OTHER_CONVERSION_CONTRACT_EXCLUSION_CONDITION_MET,5
W025,high,NO_OBSERVED_EXCLUSION_BUT_COMPLETE_CALENDAR_UNKNOWN,2
W025,high,OBSERVED_OTHER_CONVERSION_CONTRACT_EXCLUSION_CONDITION_MET,1
W025,low,NO_OBSERVED_EXCLUSION_BUT_COMPLETE_CALENDAR_UNKNOWN,10
W025,low,OBSERVED_OTHER_CONVERSION_CONTRACT_EXCLUSION_CONDITION_MET,1
