wave_id_focal,provisional_tier,other_wave_id,package_id,series_membership_status,window_relation,candidate_other_wave_pairs,unique_candidates,candidate_pair_series_rows
W002,high,W006,W006_DFA_MARKETWIDE_VALUE_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,6,6,6
W002,high,W006,W006_JPM_MARKET_EXPANSION_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
W002,high,W016,W016_BRIDGEWAY_OMNI_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUSTLY_AFTER_WINDOW_NO_EXCLUSION_FROM_THIS_OBSERVED_LINK,5,5,5
W002,high,W032,W032_MORGAN_STANLEY_PATHWAY_2,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUSTLY_AFTER_WINDOW_NO_EXCLUSION_FROM_THIS_OBSERVED_LINK,8,8,8
W002,low,W006,W006_DFA_MARKETWIDE_VALUE_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
W002,low,W016,W016_BRIDGEWAY_OMNI_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUSTLY_AFTER_WINDOW_NO_EXCLUSION_FROM_THIS_OBSERVED_LINK,4,4,4
W016,high,W002,W002_DFA_US_TAX_MANAGED_4,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,3,3,7
W016,high,W006,W006_DFA_MARKETWIDE_VALUE_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
W016,high,W032,W032_MORGAN_STANLEY_PATHWAY_2,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUSTLY_AFTER_WINDOW_NO_EXCLUSION_FROM_THIS_OBSERVED_LINK,1,1,1
W016,low,W002,W002_DFA_US_TAX_MANAGED_4,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,5,5,13
W016,low,W006,W006_DFA_MARKETWIDE_VALUE_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,2,2,2
W016,low,W032,W032_MORGAN_STANLEY_PATHWAY_2,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUSTLY_AFTER_WINDOW_NO_EXCLUSION_FROM_THIS_OBSERVED_LINK,2,2,2
W025,high,W002,W002_DFA_US_TAX_MANAGED_4,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_SPANS_BEFORE_TO_INSIDE_BOUNDARY,1,1,4
W025,high,W006,W006_DFA_MARKETWIDE_VALUE_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
W025,high,W016,W016_BRIDGEWAY_OMNI_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
W025,low,W002,W002_DFA_US_TAX_MANAGED_4,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_SPANS_BEFORE_TO_INSIDE_BOUNDARY,1,1,4
W025,low,W006,W006_DFA_MARKETWIDE_VALUE_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
W025,low,W016,W016_BRIDGEWAY_OMNI_1,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
W025,low,W032,W032_MORGAN_STANLEY_PATHWAY_2,EXACT_PERMNO_WAVE_TO_PREDECESSOR_SERIES_MEMBERSHIP,ROBUST_EXCLUSION_CONDITION_INSIDE_ANALYSIS_WINDOW,1,1,1
