provisional_tier,event_side,mapping_status,paths,accounting_period_date_keys,public_release_keys
high,POST,UNIQUE_VALID_PERMNO,124,124,124
high,PRE,UNIQUE_VALID_PERMNO,198,198,198
high,TRANSITION,UNIQUE_VALID_PERMNO,32,32,32
low,POST,UNIQUE_VALID_PERMNO,122,122,122
low,PRE,UNIQUE_VALID_PERMNO,208,208,208
low,TRANSITION,UNIQUE_VALID_PERMNO,33,33,33
low,UNKNOWN_I_DATE_BOUNDARY,UNIQUE_VALID_PERMNO,1,1,1
middle,POST,UNIQUE_VALID_PERMNO,125,125,125
middle,PRE,UNIQUE_VALID_PERMNO,207,207,207
middle,TRANSITION,UNIQUE_VALID_PERMNO,31,31,31
middle,UNKNOWN_I_DATE_BOUNDARY,UNIQUE_VALID_PERMNO,1,1,1
