scenario,provisional_tier,event_side,rth60_all_first_public_0_60,release_keys,stocks
DISPLAY_ET_DST,high,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,124,13
DISPLAY_ET_DST,high,PRE,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,3,3
DISPLAY_ET_DST,high,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,195,13
DISPLAY_ET_DST,low,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,115,13
DISPLAY_ET_DST,low,POST,NO_XNYS_SESSION,7,1
DISPLAY_ET_DST,low,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,194,13
DISPLAY_ET_DST,low,PRE,NO_XNYS_SESSION,14,1
DISPLAY_ET_DST,middle,POST,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,1,1
DISPLAY_ET_DST,middle,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,124,13
DISPLAY_ET_DST,middle,PRE,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,1,1
DISPLAY_ET_DST,middle,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,206,13
FIXED_UTC_MINUS_05,high,POST,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,2,1
FIXED_UTC_MINUS_05,high,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,122,13
FIXED_UTC_MINUS_05,high,PRE,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,2,2
FIXED_UTC_MINUS_05,high,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,196,13
FIXED_UTC_MINUS_05,low,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,115,13
FIXED_UTC_MINUS_05,low,POST,NO_XNYS_SESSION,7,1
FIXED_UTC_MINUS_05,low,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,194,13
FIXED_UTC_MINUS_05,low,PRE,NO_XNYS_SESSION,14,1
FIXED_UTC_MINUS_05,middle,POST,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,1,1
FIXED_UTC_MINUS_05,middle,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,124,13
FIXED_UTC_MINUS_05,middle,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,207,13
UTC,high,POST,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,62,7
UTC,high,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,62,7
UTC,high,PRE,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,90,8
UTC,high,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,108,8
UTC,low,POST,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,64,8
UTC,low,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,51,7
UTC,low,POST,NO_XNYS_SESSION,7,1
UTC,low,PRE,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,114,9
UTC,low,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,80,7
UTC,low,PRE,NO_XNYS_SESSION,14,1
UTC,middle,POST,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,68,7
UTC,middle,POST,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,57,6
UTC,middle,PRE,HYPOTHETICAL_RTH60_INTERVAL_CONTAINED,109,7
UTC,middle,PRE,HYPOTHETICAL_RTH60_INTERVAL_NOT_CONTAINED,98,8
