measure,metric,value
adjusted_shares_held,count,8826.0
adjusted_shares_held,mean,99277.43607567232
adjusted_shares_held,median,22846.0
adjusted_shares_held,p90,234164.5
adjusted_shares_held,p95,402798.75
adjusted_shares_held,p99,1151609.0
adjusted_shares_held,max,6702803.0
exposure_ownership,count,8801.0
exposure_ownership,mean,0.0011518015699783436
exposure_ownership,median,0.00029868151744490455
exposure_ownership,p90,0.0036094540774622166
exposure_ownership,p95,0.005608981428382372
exposure_ownership,p99,0.00803024900457598
exposure_ownership,max,0.03064035380507343
exposure_value,count,8800.0
exposure_value,mean,0.0011175168222551215
exposure_value,median,0.0003152887533602205
exposure_value,p90,0.0036017944631765073
exposure_value,p95,0.005411613812659765
exposure_value,p99,0.00776814525329076
exposure_value,max,0.013369479429475015
