event_id,wave_id,effective_date,pre_report_date,pre_accession,post_accession,no_post_holdings_used,strictly_pre_nport,latest_denominator_date,no_post_event_denominator,future_sponsor_information_used,future_wave_information_used,leakage_audit_pass
P1E000016732,W002,2021-06-11,2021-04-30,0001752724-21-127156,0001752724-21-213550,True,True,2021-06-10,True,False,False,True
P1E000000972,W002,2021-06-11,2021-04-30,0001752724-21-127168,0001752724-21-213552,True,True,2021-06-10,True,False,False,True
P1E000000976,W002,2021-06-11,2021-04-30,0001752724-21-127167,0001752724-21-213548,True,True,2021-06-10,True,False,False,True
P1E000000977,W002,2021-06-11,2021-04-30,0001752724-21-127155,0001752724-21-213547,True,True,2021-06-10,True,False,False,True
P1E000028002,W005,2022-04-08,2022-02-28,0001752724-22-093865,0001752724-22-172023,True,True,,True,False,False,True
P1E000003858,W006,2022-05-06,2022-03-31,0001752724-22-126192,0001752724-22-197418,True,True,2022-05-05,True,False,False,True
P1E000001015,W006,2022-05-06,2022-04-30,0001752724-22-151138,0001752724-22-222555,True,True,2022-05-05,True,False,False,True
P1E000041661,W007,2022-05-20,2022-04-30,0001752724-22-151024,0001752724-22-223100,True,True,2022-05-19,True,False,False,True
P1E000003653,W008,2022-06-10,2022-04-30,0001752724-22-150868,0001752724-22-222528,True,True,,True,False,False,True
P1E000043622,W009,2022-08-01,2022-07-31,0001752724-22-221660,0001752724-22-294428,True,True,2022-07-29,True,False,False,True
P1E000004420,W011,2022-10-14,2022-09-30,0001752724-22-261692,0001592900-23-000099,True,True,2022-10-13,True,False,False,True
P1E000047047,W013,2022-10-28,2022-09-30,0001752724-22-264370,0001752724-23-050025,True,True,2022-10-27,True,False,False,True
P1E000045556,W010,2022-09-30,2022-06-30,0001145549-22-049425,0001145549-23-006371,True,True,,True,False,False,True
P1E000030751,W016,2023-03-10,2022-12-30,0001752724-23-036454,0001592900-23-000348,True,True,2023-03-09,True,False,False,True
P1E000067932,W018,2023-06-09,2023-05-31,0001752724-23-163291,0001752724-23-239235,True,True,2023-06-08,True,False,False,True
P1E000067933,W018,2023-06-09,2023-05-31,0001752724-23-163293,0001752724-23-239246,True,True,2023-06-08,True,False,False,True
P1E000067934,W018,2023-06-09,2023-05-31,0001752724-23-163292,0001752724-23-239217,True,True,2023-06-08,True,False,False,True
P1E000067935,W018,2023-06-09,2023-05-31,0001752724-23-163295,0001752724-23-239229,True,True,2023-06-08,True,False,False,True
P1E000067936,W019,2023-06-16,2023-05-31,0001752724-23-163297,0001752724-23-239279,True,True,,True,False,False,True
P1E000032550,W021,2023-07-28,2023-06-30,0001752724-23-191331,0001752724-23-273562,True,True,2023-07-27,True,False,False,True
P1E000018749,W020,2023-07-14,2023-05-31,0001752724-23-165873,0001752724-23-237711,True,True,,True,False,False,True
P1E000003492,W021,2023-07-28,2023-05-31,0001752724-23-165872,0001752724-23-237690,True,True,,True,False,False,True
P1E000003497,W020,2023-07-14,2023-05-31,0001752724-23-165893,0001752724-23-237687,True,True,,True,False,False,True
P1E000045559,W022,2023-10-09,2023-09-30,0001145549-23-069377,0001145549-24-006237,True,True,,True,False,False,True
P1E000004018,W023,2023-10-13,2023-07-31,0001752724-23-219537,0001752724-23-294257,True,True,2023-10-12,True,False,False,True
P1E000015911,W025,2023-11-17,2023-08-31,0001752724-23-239278,0001752724-24-011799,True,True,2023-11-16,True,False,False,True
P1E000015909,W025,2023-11-17,2023-08-31,0001752724-23-239275,0001752724-24-011788,True,True,2023-11-16,True,False,False,True
P1E000015910,W025,2023-11-17,2023-08-31,0001752724-23-239281,0001752724-24-011801,True,True,2023-11-16,True,False,False,True
P1E000019927,W025,2023-11-17,2023-08-31,0001752724-23-239300,0001752724-24-011790,True,True,2023-11-16,True,False,False,True
P1E000019928,W025,2023-11-17,2023-08-31,0001752724-23-239326,0001752724-24-011793,True,True,2023-11-16,True,False,False,True
P1E000071994,W026,2024-02-16,2024-01-31,0001145549-24-016787,0001145549-24-039891,True,True,,True,False,False,True
P1E000063885,W027,2024-03-22,2023-12-31,0001752724-24-045045,0001752724-24-119867,True,True,,True,False,False,True
P1E000062248,W029,2024-06-21,2024-03-28,0001752724-24-115511,0001752724-24-211357,True,True,2024-06-20,True,False,False,True
P1E000007831,W029,2024-06-21,2024-04-30,0001752724-24-140147,0001752724-24-212895,True,True,,True,False,False,True
P1E000004119,W028,2024-06-14,2024-03-31,0001752724-24-125101,0001752724-24-185983,True,True,,True,False,False,True
P1E000068295,W030,2024-10-07,2024-09-30,0001145549-24-073262,0001752724-25-038186,True,True,2024-10-04,True,False,False,True
P1E000006320,W031,2024-11-18,2024-10-31,0001752724-24-289084,0001752724-25-061024,True,True,,True,False,False,True
