excluded_adviser,file_slug,n_positions_excluded,status
AllianceBernstein L.P.,alliancebernstein_l_p,1,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"BAMCO, Inc.",bamco_inc,37,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"BNY Mellon Investment Adviser, Inc.",bny_mellon_investment_adviser_inc,93,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Bridgeway Capital Management, LLC",bridgeway_capital_management_llc,583,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
CONSULTING GROUP ADVISORY SERVICES LLC       ,consulting_group_advisory_services_llc,3010,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Community Capital Management Inc.,community_capital_management_inc,71,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Dimensional Fund Advisors LP,dimensional_fund_advisors_lp,8178,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Emerald Mutual Fund Advisers Trust,emerald_mutual_fund_advisers_trust,58,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Fidelity Management & Research Company LLC,fidelity_management_research_company_llc,1537,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Foothill Capital Management, LLC",foothill_capital_management_llc,9,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Guinness Atkinson Asset Management, Inc.",guinness_atkinson_asset_management_inc,18,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Hartford Funds Management Company, LLC",hartford_funds_management_company_llc,60,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Ironhorse Capital, LLC",ironhorse_capital_llc,6,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
J.P. Morgan Investment Management Inc.,j_p_morgan_investment_management_inc,765,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Kovitz Investment Group Partners, LLC",kovitz_investment_group_partners_llc,41,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Lazard Asset Management LLC,lazard_asset_management_llc,3,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Legg Mason Partners Fund Advisor, LLC",legg_mason_partners_fund_advisor_llc,115,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"Metropolitan West Asset Management, LLC",metropolitan_west_asset_management_llc,1,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Mirae Asset Global Investments (USA) LLC,mirae_asset_global_investments_usa_llc,6,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Mitchell Sinkler & Starr Inc,mitchell_sinkler_starr_inc,35,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Motley Fool Asset Management,motley_fool_asset_management,55,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
Scharf Investments LLC,scharf_investments_llc,19,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"WCM Investment Management, LLC",wcm_investment_management_llc,5,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
"WESTFIELD CAPITAL MANAGEMENT COMPANY, L.P.",westfield_capital_management_company_l_p,41,ADVISER_PROXY_NOT_SIGNED_ECONOMIC_SPONSOR
