adviser,events,waves,positions,unique_permnos,matched_position_value_usd,adjusted_shares,dimensional,matched_position_value_share
Dimensional Fund Advisors LP,5,2,8178,2559,34030739224.09,588331419.620924,True,0.6415263931393711
Fidelity Management & Research Company LLC,9,2,1537,1025,11759203594.15,165188253.05374,False,0.2216772141877651
CONSULTING GROUP ADVISORY SERVICES LLC       ,2,1,3010,2575,3114219739.19,31865760.635915,False,0.05870733937250866
J.P. Morgan Investment Management Inc.,4,4,765,742,1390467354.3,26798198.464875,False,0.026212228324169647
"Bridgeway Capital Management, LLC",2,2,583,583,918856881.5,45284345.32185,False,0.017321720140087503
Motley Fool Asset Management,2,1,55,43,657037463.99,4726401.0,False,0.012386062837346884
"BNY Mellon Investment Adviser, Inc.",2,2,93,90,238302728.93,1956772.0,False,0.004492335272503038
"Hartford Funds Management Company, LLC",1,1,60,60,195231935.2,2517411.0,False,0.003680391377622934
"Legg Mason Partners Fund Advisor, LLC",1,1,115,115,166108106.94,2833064.48958,False,0.0031313670271667943
Mitchell Sinkler & Starr Inc,1,1,35,35,158027980.53,1322788.0,False,0.0029790454946316434
"WESTFIELD CAPITAL MANAGEMENT COMPANY, L.P.",1,1,41,41,133940806.28,1765611.0,False,0.0025249690223056076
"BAMCO, Inc.",1,1,37,37,81345045.34,948274.0,False,0.001533466352085223
Community Capital Management Inc.,2,1,71,50,58249075.65,445772.0,False,0.0010980754534710261
"Kovitz Investment Group Partners, LLC",1,1,41,41,38287186.46,279334.0,False,0.0007217662969763235
Mirae Asset Global Investments (USA) LLC,1,1,6,6,27147411.86,761584.0,False,0.000511766174073772
Emerald Mutual Fund Advisers Trust,1,1,58,58,16891965.2,260456.0,False,0.0003184368531178021
AllianceBernstein L.P.,1,1,1,1,16246324.08,6216.0,False,0.0003062656270903975
Scharf Investments LLC,1,1,19,19,16148815.73,105339.0,False,0.0003044274601418468
"Guinness Atkinson Asset Management, Inc.",2,1,18,17,9857230.18,107304.0,False,0.0001858223908119954
"WCM Investment Management, LLC",1,1,5,5,8565851.1,95810.0,False,0.00016147811318955734
"Ironhorse Capital, LLC",1,1,6,6,5967526.399999999,170895.0,False,0.00011249610718552784
Lazard Asset Management LLC,1,1,3,3,3149559.2,362667.0,False,5.937353697343767e-05
"Foothill Capital Management, LLC",1,1,9,9,2270412.5,63475.217,False,4.280040855041081e-05
"Metropolitan West Asset Management, LLC",1,1,1,1,252450.0,25500.0,False,4.759030853887217e-06
