permno,wave_id,effective_date,raw_reported_shares,adjusted_shares_held,position_value_usd,fund_portfolio_weight_sum,shares_outstanding,market_cap_usd,exposure_ownership,exposure_value,n_positions,n_events,n_predecessor_funds,n_missing_factors,factor_complete,denominator_complete,primary_ready,advisers,is_dimensional,pre_report_date_min,pre_report_date_max,source_accessions
10026.0,W032,2024-12-09,613.0,613.0,106533.27,0.00017300186201274812,19478000.0,3251267759.9999995,3.147140363487011e-05,3.276668606340808e-05,1,1,1,0,True,True,True,CONSULTING GROUP ADVISORY SERVICES LLC       ,False,2024-11-30,2024-11-30,0001752724-25-016208
10032.0,W032,2024-12-09,1102.0,1102.0,181168.8,0.0002942042400333263,27092000.0,4486435470.92,4.0676214380628966e-05,4.038145676546397e-05,1,1,1,0,True,True,True,CONSULTING GROUP ADVISORY SERVICES LLC       ,False,2024-11-30,2024-11-30,0001752724-25-016208
10104.0,W011,2022-10-14,77913.0,77913.0,4758146.91,0.023379321037093004,2695653000.0,175756575600.0,2.8903200819986844e-05,2.7072369234303632e-05,1,1,1,0,True,True,True,"Bridgeway Capital Management, LLC",False,2022-09-30,2022-09-30,0001752724-22-261692
10104.0,W021,2023-07-28,27819.0,27819.0,3312964.71,0.013549447979388844,2714259000.0,315939747600.0,1.0249206136923558e-05,1.0486064938541465e-05,1,1,1,0,True,True,True,J.P. Morgan Investment Management Inc.,False,2023-06-30,2023-06-30,0001752724-23-191331
10104.0,W025,2023-11-17,5998.0,5998.0,722099.22,0.00012740655326033175,2739376000.0,314124245920.0,2.189549736874383e-06,2.2987694499198307e-06,1,1,1,0,True,True,True,Fidelity Management & Research Company LLC,False,2023-08-31,2023-08-31,0001752724-23-239281
10104.0,W032,2024-12-09,82963.0,82963.0,15334880.92,0.0053620344350984155,2771063000.0,531185066470.0,2.993905226983291e-05,2.8869186820157107e-05,1,1,1,0,True,True,True,CONSULTING GROUP ADVISORY SERVICES LLC       ,False,2024-11-30,2024-11-30,0001752724-25-016206
10104.0,W036,2025-05-02,49558.0,49558.0,6928703.98,0.04104351734982786,2804234000.0,407988004660.0,1.7672562275473444e-05,1.6982616892803233e-05,1,1,1,0,True,True,True,Mitchell Sinkler & Starr Inc,False,2025-03-31,2025-03-31,0001145549-25-030746
10104.0,W038,2025-08-22,6689.0,6689.0,1462416.07,0.05017075179353801,2808833000.0,654907502280.0,2.381416054283042e-06,2.2330116312742388e-06,1,1,1,0,True,True,True,Scharf Investments LLC,False,2025-06-30,2025-06-30,0001145549-25-051670
10104.0,W041,2025-10-03,504.0,504.0,127900.08,0.006865937064700064,2841714000.0,820630168919.9999,1.77357749583526e-07,1.5585593223842162e-07,1,1,1,0,True,True,True,Emerald Mutual Fund Advisers Trust,False,2025-07-31,2025-07-31,0001049169-25-000332
10107.0,W001,2021-03-26,2701.0,2701.0,600756.42,0.02740482120488549,7542216000.0,1752358465440.0,3.581175612048236e-07,3.4282735630187174e-07,1,1,1,0,True,True,True,"Guinness Atkinson Asset Management, Inc.",False,2020-12-31,2020-12-31,0001398344-21-005130
10107.0,W007,2022-05-20,23498.0,23498.0,6521164.96,0.04397602975418893,7479033000.0,1893242413620.0,3.141850022589819e-06,3.4444426731023408e-06,1,1,1,0,True,True,True,"WESTFIELD CAPITAL MANAGEMENT COMPANY, L.P.",False,2022-04-30,2022-04-30,0001752724-22-151024
10107.0,W011,2022-10-14,35195.0,35195.0,8196915.5,0.04027583061499539,7456502000.0,1746611103045.02,4.72004164955632e-06,4.693039844822697e-06,1,1,1,0,True,True,True,"Bridgeway Capital Management, LLC",False,2022-09-30,2022-09-30,0001752724-22-261692
10107.0,W014,2022-12-09,9500.0,9500.0,2212550.0,0.054379350517320166,7454473000.0,1844236545655.27,1.2744026304743474e-06,1.1997105280298333e-06,1,1,1,0,True,True,True,"Kovitz Investment Group Partners, LLC",False,2022-09-30,2022-09-30,0001752724-22-269320
