wave_id,effective_date,stock_wave_cells,primary_ready_cells,events,predecessor_funds,adjusted_shares,position_value_usd,max_exposure_ownership,dimensional_wave,aggregate_predecessor_net_assets_usd,matched_position_value_share
W001,2021-03-26,17,17,2,2,107304.0,9857230.18,3.509657067562736e-05,False,26095771.35,0.0001858223908119954
W002,2021-06-11,2547,2536,4,4,473610889.887908,26661481093.8,0.03064035380507343,True,28149635835.27,0.502605708598633
W003,2021-09-24,9,9,1,1,63475.217000000004,2270412.5,0.0008822097834022877,False,4389463.6,4.280040855041081e-05
W004,2021-12-10,43,43,2,2,4726401.0,657037463.99,0.004875265805715471,False,944243768.39,0.012386062837346884
W006,2022-05-06,1246,1246,2,2,137984589.197891,8385647130.92,0.006920254084160722,True,8877606606.199999,0.1580810197102757
W007,2022-05-20,41,41,1,1,1765611.0,133940806.28,0.0018954862976894144,False,148289079.22,0.0025249690223056076
W009,2022-08-01,6,6,1,1,170895.0,5967526.399999999,0.0008273388727363962,False,63961586.4,0.00011249610718552784
W011,2022-10-14,37,37,1,1,2770878.0,203555424.21,0.00025802405426159444,False,203519465.02,0.0038373006309823368
W013,2022-10-28,115,115,1,1,2833064.48958,166108106.94,0.00034255220278514787,False,181550612.02,0.0031313670271667943
W014,2022-12-09,41,41,1,1,279334.0,38287186.46,0.00016280439225466764,False,40687319.34,0.0007217662969763235
W016,2023-03-10,546,542,1,1,42513467.32185,715301457.29,0.011130964132938466,False,795503125.76,0.013484419509105165
W017,2023-05-12,6,6,1,1,761584.0,27147411.86,0.0003541612350815066,False,430548658.11,0.000511766174073772
W018,2023-06-09,132,132,2,2,2586483.92,167953638.36,0.002368642664521928,False,223352426.17000002,0.003166157841068947
W021,2023-07-28,39,39,1,1,2259292.0,237694239.71,0.0006015936954251464,False,1285203381.47,0.004480864411056265
W023,2023-10-13,60,60,1,1,2517411.0,195231935.2,0.000542540138363138,False,239031194.45,0.003680391377622934
W024,2023-11-10,50,50,2,2,445772.0,58249075.65,0.0010387586833733688,False,67229627.0,0.0010980754534710261
W025,2023-11-17,957,947,4,4,162601769.13374,11591249955.79,0.015092035665709536,False,12351338456.59,0.21851105634669618
W029,2024-06-21,1,1,1,1,25500.0,252450.0,3.5079079249830454e-05,False,522246484.67999995,4.759030853887217e-06
W030,2024-10-07,5,5,1,1,95810.0,8565851.1,6.206746639570916e-05,False,71529040.49,0.00016147811318955734
W032,2024-12-09,2575,2575,2,2,31865760.635915,3114219739.19,0.0017700816494092963,False,3475692366.92,0.05870733937250866
W034,2025-03-28,40,40,1,1,503450.0,115331807.5,6.286407766990291e-05,False,134230146.56,0.0021741637168828723
W036,2025-05-02,35,35,1,1,1322788.0,158027980.53,0.0011099020674646355,False,168813601.45,0.0029790454946316434
W037,2025-07-11,106,106,1,1,1262181.0,136357135.38,0.00017423512406649,False,356319284.81,0.002570520160115255
W038,2025-08-22,19,19,1,1,105339.0,16148815.73,6.14098713662379e-05,False,217236705.96,0.0003044274601418468
W039,2025-09-03,1,1,1,1,6216.0,16246324.08,0.000122610805373099,False,3509119815.74,0.0003062656270903975
W040,2025-09-26,1,1,1,1,12666.0,26978.58,9.82203094102594e-05,False,1181443447.15,5.085834605429376e-07
W041,2025-10-03,58,58,1,1,260456.0,16891965.2,0.00046260504201680675,False,18628204.54,0.0003184368531178021
W042,2025-10-24,3,3,1,1,362667.0,3149559.2,0.0006956721742003203,False,2058378671.1799998,5.937353697343767e-05
W044,2025-12-05,53,53,1,1,1453322.0,122970921.43,0.0005593412810668822,False,140027941.33,0.0023181715556201653
W045,2025-12-12,37,37,1,1,948274.0,81345045.34,0.0019324666479115151,False,103070740.83,0.001533466352085223
