event_id,wave_id,pre_series_id,pre_accession,pre_report_date,effective_date,strictly_pre_pass,series_id_pass,positions,common_equity_candidates,position_value_usd,common_equity_value_usd,source_url
P1E000016732,W002,S000016732,0001752724-21-127156,2021-04-30,2021-06-11,True,True,2466,2334,13220834754.579983,12497703681.709991,https://www.sec.gov/Archives/edgar/data/355437/000175272421127156/primary_doc.xml
P1E000000972,W002,S000000972,0001752724-21-127168,2021-04-30,2021-06-11,True,True,1937,1833,5449142734.480002,5218037873.080001,https://www.sec.gov/Archives/edgar/data/355437/000175272421127168/primary_doc.xml
P1E000000976,W002,S000000976,0001752724-21-127167,2021-04-30,2021-06-11,True,True,1942,1845,4319410042.890007,3953999486.7500076,https://www.sec.gov/Archives/edgar/data/355437/000175272421127167/primary_doc.xml
P1E000000977,W002,S000000977,0001752724-21-127155,2021-04-30,2021-06-11,True,True,1362,1279,6130424408.959994,5548112549.469996,https://www.sec.gov/Archives/edgar/data/355437/000175272421127155/primary_doc.xml
P1E000028002,W005,S000028002,0001752724-22-093865,2022-02-28,2022-04-08,True,True,1094,0,1178110922.2999995,0.0,https://www.sec.gov/Archives/edgar/data/1217286/000175272422093865/primary_doc.xml
P1E000003858,W006,S000003858,0001752724-22-126192,2022-03-31,2022-05-06,True,True,649,627,1120805357.6799998,1034526621.2900001,https://www.sec.gov/Archives/edgar/data/763852/000175272422126192/primary_doc.xml
P1E000001015,W006,S000001015,0001752724-22-151138,2022-04-30,2022-05-06,True,True,1028,979,7765976886.49,7377197835.270001,https://www.sec.gov/Archives/edgar/data/861929/000175272422151138/primary_doc.xml
P1E000041661,W007,S000041661,0001752724-22-151024,2022-04-30,2022-05-20,True,True,45,44,148234359.23,143179864.68,https://www.sec.gov/Archives/edgar/data/890540/000175272422151024/primary_doc.xml
P1E000003653,W008,S000003653,0001752724-22-150868,2022-04-30,2022-06-10,True,True,201,2,5125009280.81,33090719.61,https://www.sec.gov/Archives/edgar/data/763852/000175272422150868/primary_doc.xml
P1E000043622,W009,S000043622,0001752724-22-221660,2022-07-31,2022-08-01,True,True,50,48,63874230.220000006,37730535.370000005,https://www.sec.gov/Archives/edgar/data/1552947/000175272422221660/primary_doc.xml
P1E000004420,W011,S000004420,0001752724-22-261692,2022-09-30,2022-10-14,True,True,37,37,203555424.21,203555424.21,https://www.sec.gov/Archives/edgar/data/916006/000175272422261692/primary_doc.xml
P1E000047047,W013,S000047047,0001752724-22-264370,2022-09-30,2022-10-28,True,True,123,116,181525039.09999996,167905758.75,https://www.sec.gov/Archives/edgar/data/1474103/000175272422264370/primary_doc.xml
P1E000045556,W010,S000045556,0001145549-22-049425,2022-06-30,2022-09-30,True,True,12,11,155181833.65,154748851.0,https://www.sec.gov/Archives/edgar/data/1602508/000114554922049425/primary_doc.xml
P1E000030751,W016,S000030751,0001752724-23-036454,2022-12-30,2023-03-10,True,True,588,553,820877495.1099998,722219562.8299998,https://www.sec.gov/Archives/edgar/data/916006/000175272423036454/primary_doc.xml
P1E000067932,W018,S000067932,0001752724-23-163291,2023-05-31,2023-06-09,True,True,35,28,38024638.949999996,34443301.480000004,https://www.sec.gov/Archives/edgar/data/225322/000175272423163291/primary_doc.xml
P1E000067933,W018,S000067933,0001752724-23-163293,2023-05-31,2023-06-09,True,True,39,29,41048783.57000001,28643972.999999996,https://www.sec.gov/Archives/edgar/data/225322/000175272423163293/primary_doc.xml
P1E000067934,W018,S000067934,0001752724-23-163292,2023-05-31,2023-06-09,True,True,68,64,43460479.879999995,40576709.779999994,https://www.sec.gov/Archives/edgar/data/225322/000175272423163292/primary_doc.xml
P1E000067935,W018,S000067935,0001752724-23-163295,2023-05-31,2023-06-09,True,True,53,38,103989726.34,81493436.83999999,https://www.sec.gov/Archives/edgar/data/225322/000175272423163295/primary_doc.xml
P1E000067936,W019,S000067936,0001752724-23-163297,2023-05-31,2023-06-16,True,True,5,5,95529733.55,95529733.55,https://www.sec.gov/Archives/edgar/data/225322/000175272423163297/primary_doc.xml
P1E000032550,W021,S000032550,0001752724-23-191331,2023-06-30,2023-07-28,True,True,41,39,244522613.74999997,237694239.71,https://www.sec.gov/Archives/edgar/data/1217286/000175272423191331/primary_doc.xml
P1E000018749,W020,S000018749,0001752724-23-165873,2023-05-31,2023-07-14,True,True,445,0,255942166.31000003,0.0,https://www.sec.gov/Archives/edgar/data/1217286/000175272423165873/primary_doc.xml
P1E000003492,W021,S000003492,0001752724-23-165872,2023-05-31,2023-07-28,True,True,376,0,1037781083.6200001,0.0,https://www.sec.gov/Archives/edgar/data/763852/000175272423165872/primary_doc.xml
P1E000003497,W020,S000003497,0001752724-23-165893,2023-05-31,2023-07-14,True,True,479,0,263302382.72000027,0.0,https://www.sec.gov/Archives/edgar/data/763852/000175272423165893/primary_doc.xml
P1E000045559,W022,S000045559,0001145549-23-069377,2023-09-30,2023-10-09,True,True,10,9,58899764.79,58617333.0,https://www.sec.gov/Archives/edgar/data/1602508/000114554923069377/primary_doc.xml
P1E000004018,W023,S000004018,0001752724-23-219537,2023-07-31,2023-10-13,True,True,71,66,236618438.6800001,219062719.54000005,https://www.sec.gov/Archives/edgar/data/49905/000175272423219537/primary_doc.xml
P1E000015911,W025,S000015911,0001752724-23-239278,2023-08-31,2023-11-17,True,True,185,174,2085290965.1999998,1987965506.0600002,https://www.sec.gov/Archives/edgar/data/1364923/000175272423239278/primary_doc.xml
P1E000015909,W025,S000015909,0001752724-23-239275,2023-08-31,2023-11-17,True,True,106,101,2370097828.930001,2350519813.950001,https://www.sec.gov/Archives/edgar/data/1364923/000175272423239275/primary_doc.xml
P1E000015910,W025,S000015910,0001752724-23-239281,2023-08-31,2023-11-17,True,True,358,335,5663455789.590002,5264824325.880003,https://www.sec.gov/Archives/edgar/data/1364923/000175272423239281/primary_doc.xml
P1E000019927,W025,S000019927,0001752724-23-239300,2023-08-31,2023-11-17,True,True,291,269,1683721283.1999996,1522732658.4199998,https://www.sec.gov/Archives/edgar/data/1364923/000175272423239300/primary_doc.xml
P1E000019928,W025,S000019928,0001752724-23-239326,2023-08-31,2023-11-17,True,True,579,543,625908582.05,545286363.9700003,https://www.sec.gov/Archives/edgar/data/1364923/000175272423239326/primary_doc.xml
P1E000071994,W026,S000071994,0001145549-24-016787,2024-01-31,2024-02-16,True,True,80,0,30891368.01,0.0,https://www.sec.gov/Archives/edgar/data/1612930/000114554924016787/primary_doc.xml
