cusip,ticker,wave_id,drop_reason,recovery_tier,recoverable_via_free_online,is_foreign_or_adr,shares_held,conv_exp_baseline,shares_out_baseline,shares_out_recovered,shares_out_source,shares_out_asof,conv_exp_recovered,recovery_status,recovery_flag
001282102,,W002,no_ticker,tier4_no_ticker,False,False,,,,,,,,not_attempted_offline,
00164V103,AMCX,W002,no_xbrl_shares_outstanding,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00164V103,AMCX,W007,no_xbrl_shares_outstanding,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00164V103,AMCX,W008,no_xbrl_shares_outstanding,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00164V103,AMCX,W019,no_xbrl_shares_outstanding,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
001744101,HCQ,W002,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
001744101,HCQ,W007,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
001744101,HCQ,W008,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00181T107,AMRK,W019,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00182C103,BSFA,W002,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00183L102,ANGI1EUR,W002,ticker_not_in_sec_map,tier3_foreign,False,True,,,,,,,,not_attempted_offline,
00183L102,ANGI1EUR,W022,ticker_not_in_sec_map,tier3_foreign,False,True,,,,,,,,not_attempted_offline,
00191G103,,W002,no_ticker,tier4_no_ticker,False,False,,,,,,,,not_attempted_offline,
00191G103,ARC,W019,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00217D100,ASTS,W076,no_xbrl_shares_outstanding,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00258W108,,W002,no_ticker,tier4_no_ticker,False,False,,,,,,,,not_attempted_offline,
00258W108,,W007,no_ticker,tier4_no_ticker,False,False,,,,,,,,not_attempted_offline,
00258W108,,W008,no_ticker,tier4_no_ticker,False,False,,,,,,,,not_attempted_offline,
00258W108,AAN,W019,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00289Y107,ABEO1EUR,W002,ticker_not_in_sec_map,tier3_foreign,False,True,,,,,,,,not_attempted_offline,
003654100,ABMDEUR,W002,ticker_not_in_sec_map,tier3_foreign,False,True,,,,,,,,not_attempted_offline,
003654100,ABMDEUR,W017,ticker_not_in_sec_map,tier3_foreign,False,True,,,,,,,,not_attempted_offline,
00401C108,ACIA,W002,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00434H108,XLRN,W002,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
004397105,XEJ,W002,ticker_not_in_sec_map,tier1_us_renamed,True,False,,,,,,,,not_attempted_offline,
00444P108,OPXAEUR,W002,ticker_not_in_sec_map,tier3_foreign,False,True,,,,,,,,not_attempted_offline,
00445A100,,W032,no_ticker,tier4_no_ticker,False,False,,,,,,,,not_attempted_offline,
