cusip,ticker,wave_id,reason,bucket,severity
001282102,,W002,no_ticker,no_ticker,no_ticker
00164V103,AMCX,W002,no_xbrl_shares_outstanding,no_xbrl_shares_outstanding,us_recoverable_cand
00164V103,AMCX,W007,no_xbrl_shares_outstanding,no_xbrl_shares_outstanding,us_recoverable_cand
00164V103,AMCX,W008,no_xbrl_shares_outstanding,no_xbrl_shares_outstanding,us_recoverable_cand
00164V103,AMCX,W019,no_xbrl_shares_outstanding,no_xbrl_shares_outstanding,us_recoverable_cand
001744101,HCQ,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
001744101,HCQ,W007,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
001744101,HCQ,W008,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00181T107,AMRK,W019,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00182C103,BSFA,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00183L102,ANGI1EUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00183L102,ANGI1EUR,W022,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00191G103,,W002,no_ticker,no_ticker,no_ticker
00191G103,ARC,W019,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00217D100,ASTS,W076,no_xbrl_shares_outstanding,no_xbrl_shares_outstanding,us_recoverable_cand
00258W108,,W002,no_ticker,no_ticker,no_ticker
00258W108,,W007,no_ticker,no_ticker,no_ticker
00258W108,,W008,no_ticker,no_ticker,no_ticker
00258W108,AAN,W019,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00289Y107,ABEO1EUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
003654100,ABMDEUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
003654100,ABMDEUR,W017,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00401C108,ACIA,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00434H108,XLRN,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
004397105,XEJ,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00444P108,OPXAEUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00445A100,,W032,no_ticker,no_ticker,no_ticker
004498101,TSA,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
004498101,TSA,W007,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
004498101,TSA,W008,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
004498101,TSA,W058,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00507V109,ATVIEUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00507V109,ATVIEUR,W007,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00507V109,ATVIEUR,W022,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
005094107,,W002,no_ticker,no_ticker,no_ticker
00510L106,,W003,no_ticker,no_ticker,no_ticker
006351308,AEUSD,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
006351308,AEUSD,W007,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
006351308,AE,W019,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
006743306,AEYGBP,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00688A106,,W002,no_ticker,no_ticker,no_ticker
007002108,TORCEUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00737L103,ATGE,W019,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00738A106,ADTNEUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00738A106,ADTNEUR,W008,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00751Y106,AWN,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00751Y106,AWN,W007,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00751Y106,AWN,W065,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00768Y453,MSOS,W004,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00770C101,OXQ1,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00770C101,ADES,W019,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00770F104,AEGN,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,us_recoverable_cand
00771V108,AERIEUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00773J103,AGLEUSD,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00773U108,ADVMCHF,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
00776D103,,W003,no_ticker,no_ticker,no_ticker
007800105,AJRDEUR,W002,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
007800105,AJRDEUR,W008,ticker_not_in_sec_map,ticker_not_in_sec_map,foreign_listing_tkr
007924103,,W003,no_ticker,no_ticker,no_ticker
