effective_date,etf_ticker,family,fund_name,mutual_fund_ticker,reason,source_accession,source_url,wave_id
2022-05-20,NA,JPMorgan Trust I,JPMorgan Inflation Managed Bond Fund,NA,series_exact(cik=1217286),0001193125-22-010943,https://www.sec.gov/Archives/edgar/data/1217286/000119312522010943/d293556d497k.htm,W008
2022-10-21,NA,Neuberger Berman Alternative Funds,Neuberger Berman Commodity Strategy Fund,NA,series_exact(cik=1317474),0000898432-22-000589,https://www.sec.gov/Archives/edgar/data/1317474/000089843222000589/form497.htm,W014
2023-07-13,NA,JPMorgan Trust I,JPMorgan High Yield Municipal Fund,NA,series_exact(cik=1217286),0001193125-23-067795,https://www.sec.gov/Archives/edgar/data/1485894/000119312523067795/d429709dn14.htm,W024
2023-07-13,NA,JPMorgan Trust II,JPMorgan Sustainable Municipal Income Fund,NA,series_exact(cik=763852),0001193125-23-067795,https://www.sec.gov/Archives/edgar/data/1485894/000119312523067795/d429709dn14.htm,W024
2023-07-27,NA,JPMorgan Trust II,JPMorgan Limited Duration Bond Fund,NA,series_exact(cik=763852),0001193125-23-067795,https://www.sec.gov/Archives/edgar/data/1485894/000119312523067795/d429709dn14.htm,W026
2023-07-28,NA,JPMorgan Trust I,JPMorgan Limited Duration Bond Fund,NA,series_exact(cik=763852),0001193125-23-066214,https://www.sec.gov/Archives/edgar/data/763852/000119312523066214/d466624d497.htm,W027
2024-01-26,NA,Neuberger Berman Alternative Funds,Neuberger Berman U.S. Equity Index PutWrite Strategy Fund,NA,series_exact(cik=1317474),0000898432-23-000755,https://www.sec.gov/Archives/edgar/data/1506001/000089843223000755/form497-n14.htm,W034
2024-03-22,NA,Morgan Stanley Institutional Fund Trust,Core Plus Fixed Income Portfolio,NA,series_exact(cik=1011378),0001104659-23-105999,https://www.sec.gov/Archives/edgar/data/1676326/000110465923105999/tm2327309d1_n14.htm,W035
2024-03-22,NA,Morgan Stanley Institutional Fund Trust,Short Duration Municipal Income Portfolio,NA,series_exact(cik=741375),0001104659-23-105999,https://www.sec.gov/Archives/edgar/data/1676326/000110465923105999/tm2327309d1_n14.htm,W035
2024-06-07,NA,"AB Bond Fund, Inc.",AB Short Duration High Yield Portfolio,NA,series_exact(cik=3794),0000919574-24-001857,https://www.sec.gov/Archives/edgar/data/1496608/000091957424001857/d10992208_497.htm,W036
