event_id,effective_date,pre_series_id,pre_series_name,n_filings,n_unreadable,last_pre_series_report,days_after_event
P1E000055869,2021-12-10,S000055869,MFAM Global Opportunities Fund,11,0,2022-11-30,355
P1E000055870,2021-12-10,S000055870,MFAM Mid-Cap Growth Fund,11,0,2022-11-30,355
P1E000011056,2025-09-03,S000011056,Emerging Markets Portfolio,26,0,2025-12-31,119
P1E000008762,2023-11-10,S000008762,CCM Core Impact Equity Fund,17,0,2023-12-31,51
P1E000011051,2025-09-03,S000011051,California Municipal Portfolio,27,0,2025-09-30,27
P1E000011060,2025-09-03,S000011060,New York Municipal Portfolio,27,0,2025-09-30,27
P1E000045556,2022-09-30,S000045556,FundX Upgrader Fund,11,0,2022-09-30,0
P1E000043622,2022-08-01,S000043622,Conductor Global Equity Value Fund,10,0,2022-07-31,-1
P1E000000369,2025-12-05,S000000369,BNY Mellon Income Stock Fund,24,0,2025-11-30,-5
P1E000001015,2022-05-06,S000001015,TAX-MANAGED U.S. MARKETWIDE VALUE PORTFOLIO II,11,0,2022-04-30,-6
P1E000037782,2023-03-06,S000037782,Arin Large Cap Theta Fund,21,0,2023-02-28,-6
P1E000068295,2024-10-07,S000068295,WCM International Equity Fund,19,0,2024-09-30,-7
P1E000002382,2025-11-07,S000002382,Income Opportunities Fund,25,0,2025-10-31,-7
P1E000067935,2023-06-09,S000067935,Fidelity Disruptive Technology Fund,13,0,2023-05-31,-9
P1E000008433,2024-12-09,S000008433,Small-Mid Cap Equity Fund,21,0,2024-11-30,-9
P1E000045559,2023-10-09,S000045559,FundX Flexible Income Fund,15,0,2023-09-30,-9
P1E000008429,2024-12-09,S000008429,Large Cap Equity Fund,21,0,2024-11-30,-9
P1E000067933,2023-06-09,S000067933,Fidelity Disruptive Finance Fund,13,0,2023-05-31,-9
P1E000067934,2023-06-09,S000067934,Fidelity Disruptive Medicine Fund,13,0,2023-05-31,-9
P1E000067932,2023-06-09,S000067932,Fidelity Disruptive Communications Fund,13,0,2023-05-31,-9
P1E000002790,2026-07-10,S000002790,JPMorgan U.S. GARP Equity Fund,28,0,2026-06-30,-10
P1E000002792,2025-07-11,S000002792,JPMorgan U.S. Applied Data Science Value Fund,24,0,2025-06-30,-11
P1E000029296,2023-05-12,S000029296,Emerging Markets Great Consumer Fund,13,0,2023-04-30,-12
P1E000072756,2025-02-14,S000072756,abrdn Emerging Markets Dividend Fund,13,0,2025-01-31,-14
P1E000004420,2022-10-14,S000004420,Blue Chip Fund,13,0,2022-09-30,-14
P1E000067936,2023-06-16,S000067936,Fidelity Disruptors Fund,13,0,2023-05-31,-16
P1E000071994,2024-02-16,S000071994,Angel Oak Total Return Bond Fund,11,0,2024-01-31,-16
P1E000006320,2024-11-18,S000006320,TCW High Yield Bond Fund,21,0,2024-10-31,-18
P1E000041661,2022-05-20,S000041661,WESTFIELD CAPITAL DIVIDEND GROWTH FUND,9,0,2022-04-30,-20
P1E000004419,2026-07-24,S000004419,Aggressive Investors 1 Fund,28,0,2026-06-30,-24
P1E000004424,2026-07-24,S000004424,Ultra-Small Company Market Fund,28,0,2026-06-30,-24
P1E000042723,2025-10-24,S000042723,Lazard Emerging Markets Core Equity Portfolio,25,0,2025-09-30,-24
P1E000030249,2025-09-26,S000030249,JPMorgan Unconstrained Debt Fund,24,0,2025-08-31,-26
P1E000032550,2023-07-28,S000032550,JPMorgan Equity Focus Fund,16,0,2023-06-30,-28
P1E000047047,2022-10-28,S000047047,BrandywineGLOBAL - Dynamic US Large Cap Value Fund,13,0,2022-09-30,-28
P1E000001110,2025-05-02,S000001110,CHESTNUT STREET EXCHANGE FUND,21,0,2025-03-31,-32
P1E000003858,2022-05-06,S000003858,JPMorgan Market Expansion Enhanced Index Fund,11,0,2022-03-31,-36
P1E000028002,2022-04-08,S000028002,JPMorgan Inflation Managed Bond Fund,10,0,2022-02-28,-39
P1E000023621,2026-01-09,S000023621,BNY Mellon Municipal Opportunities Fund,24,0,2025-11-30,-40
P1E000008771,2023-11-10,S000008771,CCM Small/Mid-Cap Impact Value Fund,16,0,2023-09-30,-41
P1E000003653,2022-06-10,S000003653,JPMorgan International Research Enhanced Equity Fund,11,0,2022-04-30,-41
P1E000016732,2021-06-11,S000016732,T.A. U.S. Core Equity 2 Portfolio,7,0,2021-04-30,-42
P1E000000976,2021-06-11,S000000976,TAX-MANAGED U.S. SMALL CAP PORTFOLIO,7,0,2021-04-30,-42
P1E000000977,2021-06-11,S000000977,Tax-Managed U.S. Targeted Value Portfolio,7,0,2021-04-30,-42
P1E000000972,2021-06-11,S000000972,TAX-MANAGED U.S. EQUITY PORTFOLIO,7,0,2021-04-30,-42
P1E000021579,2026-03-16,S000021579,Columbia Bond Fund,26,0,2026-01-31,-44
P1E000018749,2023-07-14,S000018749,JPMorgan High Yield Municipal Fund,15,0,2023-05-31,-44
P1E000003497,2023-07-14,S000003497,JPMorgan Sustainable Municipal Income Fund,15,0,2023-05-31,-44
P1E000062250,2024-11-18,S000062250,TCW METWEST Corporate Bond Fund,21,0,2024-09-30,-49
P1E000007831,2024-06-21,S000007831,Neuberger Berman Short Duration Bond Fund,19,0,2024-04-30,-52
P1E000080611,2025-08-22,S000080611,SIMT Liquid Alternative Fund,12,0,2025-06-30,-53
P1E000046127,2025-08-22,S000046127,Scharf Global Opportunity Fund,22,0,2025-06-30,-53
P1E000002946,2025-10-24,S000002946,JPMorgan National Municipal Income Fund,27,0,2025-08-31,-54
P1E000063425,2021-09-24,S000063425,Cannabis Growth Fund,7,0,2021-07-31,-55
P1E000000305,2025-03-28,S000000305,BNY Mellon Tax Managed Growth Fund,21,0,2025-01-31,-56
P1E000003492,2023-07-28,S000003492,JPMorgan Limited Duration Bond Fund,15,0,2023-05-31,-58
P1E000079710,2025-04-04,S000079710,Fidelity Municipal Core Plus Bond Fund,8,0,2025-01-31,-63
P1E000046191,2025-10-03,S000046191,Emerald Insights Fund,24,0,2025-07-31,-64
P1E000039735,2022-12-09,S000039735,Marathon Value Portfolio,11,0,2022-09-30,-70
P1E000030751,2023-03-10,S000030751,Omni Tax-Managed Small-Cap Value Fund,14,0,2022-12-30,-70
P1E000063497,2025-07-11,S000063497,JPMorgan International Hedged Equity Fund,23,0,2025-04-30,-72
P1E000074874,2025-12-12,S000074874,Baron Technology Fund,15,0,2025-09-30,-73
P1E000004018,2023-10-13,S000004018,Hartford Quality Value Fund,16,0,2023-07-31,-74
P1E000004119,2024-06-14,S000004119,Short Duration Income Portfolio,19,0,2024-03-31,-75
P1E000015910,2023-11-17,S000015910,Fidelity Large Cap Value Enhanced Index Fund,16,0,2023-08-31,-78
P1E000019928,2023-11-17,S000019928,Fidelity Small Cap Enhanced Index Fund,16,0,2023-08-31,-78
P1E000015911,2023-11-17,S000015911,Fidelity Large Cap Core Enhanced Index Fund,16,0,2023-08-31,-78
P1E000015909,2023-11-17,S000015909,Fidelity Large Cap Growth Enhanced Index Fund,16,0,2023-08-31,-78
P1E000019927,2023-11-17,S000019927,Fidelity Mid Cap Enhanced Index Fund,16,0,2023-08-31,-78
P1E000063885,2024-03-22,S000063885,Short Duration Municipal Income Portfolio,19,0,2023-12-31,-82
P1E000036495,2021-03-26,S000036495,Guinness Atkinson Dividend Builder Fund,4,0,2020-12-31,-85
P1E000009157,2021-03-26,S000009157,Guinness Atkinson Asia Pacific Dividend Builder Fund,4,0,2020-12-31,-85
P1E000062248,2024-06-21,S000062248,Metropolitan West Flexible Income Fund,19,0,2024-03-28,-85
P1E000054437,2022-10-24,S000054437,Soundwatch Hedged Equity Fund,10,0,2022-07-31,-85
