metric,value
timing_eligible_events,74
gate0_pass,71
gate0_pass_share,0.9595
gate0_fail,3
missing_pre,0
missing_post,3
series_id_ambiguity,0
empty_or_malformed_holdings,0
nport_dated_on_effective_day,1
adviser::J.P. Morgan Investment Management Inc.,11/12
adviser::Fidelity Management & Research Company LLC,11/11
adviser::Dimensional Fund Advisors LP,5/5
"adviser::Bridgeway Capital Management, LLC",2/4
adviser::AllianceBernstein L.P.,3/3
adviser::Morgan Stanley Investment Management Inc.,3/3
"adviser::BNY Mellon Investment Adviser, Inc.",3/3
adviser::Motley Fool Asset Management,2/2
"adviser::One Capital Management, LLC",2/2
"adviser::Guinness Atkinson Asset Management, Inc.",2/2
"adviser::Metropolitan West Asset Management, LLC",2/2
adviser::Community Capital Management Inc.,2/2
adviser::CONSULTING GROUP ADVISORY SERVICES LLC       ,2/2
adviser::Mitchell Sinkler & Starr Inc,1/1
adviser::Scharf Investments LLC,1/1
adviser::SEI Investments Management Corporation,1/1
adviser::TCW Investment Management Company LLC,1/1
adviser::Neuberger Berman Investment Advisers LLC,1/1
"adviser::WCM Investment Management, LLC",1/1
"adviser::WESTFIELD CAPITAL MANAGEMENT COMPANY, L.P.",1/1
adviser::Soundwatch Capital LLC,1/1
"adviser::Kovitz Investment Group Partners, LLC",1/1
adviser::Mirae Asset Global Investments (USA) LLC,1/1
"adviser::Legg Mason Partners Fund Advisor, LLC",1/1
adviser::Lazard Asset Management LLC,1/1
"adviser::Angel Oak Capital Advisors, LLC",1/1
"adviser::Ironhorse Capital, LLC",1/1
"adviser::Hartford Funds Management Company, LLC",1/1
"adviser::Foothill Capital Management, LLC",1/1
adviser::Emerald Mutual Fund Advisers Trust,1/1
"adviser::Columbia Management Investment Advisers, LLC",1/1
"adviser::BAMCO, Inc.",1/1
"adviser::Arin Risk Advisors, LLC",1/1
adviser::abrdn Inc.,1/1
wave::W001@2021-03-26,2/2
wave::W002@2021-06-11,4/4
wave::W003@2021-09-24,1/1
wave::W004@2021-12-10,2/2
wave::W005@2022-04-08,1/1
wave::W006@2022-05-06,2/2
wave::W007@2022-05-20,1/1
wave::W008@2022-06-10,1/1
wave::W009@2022-08-01,1/1
wave::W010@2022-09-30,1/1
wave::W011@2022-10-14,1/1
wave::W012@2022-10-24,1/1
wave::W013@2022-10-28,1/1
wave::W014@2022-12-09,1/1
wave::W015@2023-03-06,1/1
wave::W016@2023-03-10,1/1
wave::W017@2023-05-12,1/1
wave::W018@2023-06-09,4/4
wave::W019@2023-06-16,1/1
wave::W020@2023-07-14,2/2
wave::W021@2023-07-28,2/2
wave::W022@2023-10-09,1/1
wave::W023@2023-10-13,1/1
wave::W024@2023-11-10,2/2
wave::W025@2023-11-17,5/5
wave::W026@2024-02-16,1/1
wave::W027@2024-03-22,1/1
wave::W028@2024-06-14,1/1
wave::W029@2024-06-21,2/2
wave::W030@2024-10-07,1/1
wave::W031@2024-11-18,2/2
wave::W032@2024-12-09,2/2
wave::W033@2025-02-14,1/1
wave::W034@2025-03-28,1/1
wave::W035@2025-04-04,1/1
wave::W036@2025-05-02,1/1
wave::W037@2025-07-11,2/2
wave::W038@2025-08-22,2/2
wave::W039@2025-09-03,3/3
wave::W040@2025-09-26,1/1
wave::W041@2025-10-03,1/1
wave::W042@2025-10-24,2/2
wave::W043@2025-11-07,1/1
wave::W044@2025-12-05,1/1
wave::W045@2025-12-12,1/1
wave::W046@2026-01-09,1/1
wave::W047@2026-03-16,1/1
wave::W048@2026-07-10,0/1
wave::W049@2026-07-24,0/2
