wave_id,effective_date,fund_name,family,mutual_fund_ticker,etf_ticker,source_accession,source_url
W001,2021-03-26,Guinness Atkinson Asia Pacific Dividend Builder Fund,Guinness Atkinson Funds,NA,ADIV,0001398344-21-005169,https://www.sec.gov/Archives/edgar/data/919160/000139834421005169/fp0062858_n14a.htm
W001,2021-03-26,Guinness Atkinson Dividend Builder Fund,Guinness Atkinson Funds,NA,NA,0001398344-21-005169,https://www.sec.gov/Archives/edgar/data/919160/000139834421005169/fp0062858_n14a.htm
W002,2021-06-11,T.A. U.S. Core Equity 2 Portfolio,DFA Investment Dimensions Group Inc.,NA,NA,0001794202-21-000103,https://www.sec.gov/Archives/edgar/data/1816125/000179420221000103/dimensionaletf497.htm
W002,2021-06-11,Tax-Managed U.S. Equity Portfolio,DFA Investment Dimensions Group Inc.,NA,NA,0001794202-21-000103,https://www.sec.gov/Archives/edgar/data/1816125/000179420221000103/dimensionaletf497.htm
W002,2021-06-11,Tax-Managed U.S. Small Cap Portfolio,DFA Investment Dimensions Group Inc.,NA,NA,0001794202-21-000103,https://www.sec.gov/Archives/edgar/data/1816125/000179420221000103/dimensionaletf497.htm
W002,2021-06-11,Tax-Managed U.S. Targeted Value Portfolio,DFA Investment Dimensions Group Inc.,NA,NA,0001794202-21-000103,https://www.sec.gov/Archives/edgar/data/1816125/000179420221000103/dimensionaletf497.htm
W003,2021-09-10,T.A. World ex U.S. Core Equity Portfolio,DFA Investment Dimensions Group Inc.,NA,NA,0001794202-21-000180,https://www.sec.gov/Archives/edgar/data/1816125/000179420221000180/dimensionaletf497.htm
W003,2021-09-10,Tax-Managed DFA International Value Portfolio,DFA Investment Dimensions Group Inc.,NA,NA,0001794202-21-000180,https://www.sec.gov/Archives/edgar/data/1816125/000179420221000180/dimensionaletf497.htm
W004,2021-09-24,Cannabis Growth Fund,Investment Managers Series Trust II,CANIX,NA,0001398344-21-018858,https://www.sec.gov/Archives/edgar/data/1587982/000139834421018858/fp0068849_497.htm
W005,2021-12-10,MFAM Global Opportunities Fund,"The RBB Fund, Inc.",NA,NA,0001398344-21-023100,https://www.sec.gov/Archives/edgar/data/831114/000139834421023100/fp0070548_497.htm
