family,name_stem,proposed_sponsor,basis,status,evidence_locator,owner_signoff
"AB Bond Fund, Inc.",ab,,"name_stem_shared_with: AB Cap Fund, Inc.; AB Equity Income Fund",CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
"AB Cap Fund, Inc.",ab,,"name_stem_shared_with: AB Bond Fund, Inc.; AB Equity Income Fund",CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
AB Equity Income Fund,ab,,"name_stem_shared_with: AB Bond Fund, Inc.; AB Cap Fund, Inc.",CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
abrdn Funds,abrdn,,no other registrant shares this name stem,SINGLETON_NOT_PROVEN_INDEPENDENT,,
Advisor Managed Portfolios,advisor,,no other registrant shares this name stem,SINGLETON_NOT_PROVEN_INDEPENDENT,,
Advisors Series Trust,advisors,,name_stem_shared_with: The Advisors' Inner Circle Fund; The Advisors' Inner Circle Fund II,CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
The Advisors' Inner Circle Fund,advisors,,name_stem_shared_with: Advisors Series Trust; The Advisors' Inner Circle Fund II,CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
The Advisors' Inner Circle Fund II,advisors,,name_stem_shared_with: Advisors Series Trust; The Advisors' Inner Circle Fund,CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
American Beacon Select Funds,american beacon,,no other registrant shares this name stem,SINGLETON_NOT_PROVEN_INDEPENDENT,,
Baron Select Funds,baron,,no other registrant shares this name stem,SINGLETON_NOT_PROVEN_INDEPENDENT,,
BBH Trust,bbh,,no other registrant shares this name stem,SINGLETON_NOT_PROVEN_INDEPENDENT,,
BG Funds,bg,,no other registrant shares this name stem,SINGLETON_NOT_PROVEN_INDEPENDENT,,
"BLACKROCK LARGE CAP SERIES FUNDS, INC.",blackrock,,"name_stem_shared_with: BlackRock ETF Trust; BlackRock Funds; BlackRock Municipal Bond Fund, Inc.",CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
BlackRock ETF Trust,blackrock,,"name_stem_shared_with: BLACKROCK LARGE CAP SERIES FUNDS, INC.; BlackRock Funds; BlackRock Municipal Bond Fund, Inc.",CANDIDATE_GROUP_NEEDS_FILING_EVIDENCE,,
