pre_series_id,pre_series_name,pre_cik,pre_class_ids,pre_tickers,post_series_id,post_series_name,post_cik,post_class_ids,n14_first_filed,n14_last_filed,supporting_accessions,n_accessions,tgt_evidence,acq_evidence,ncen_termination_month,effective_date_source,effective_date_precision,effective_date_accession,proposed_effective_date,proposed_effective_date_source,post_first_ncen_period,post_active_in_ncen,pre_last_ncen_period,completion_tier,completion_evidence,A_explicit_completion_checked,proposed_close,meeting_date,n14_last,term_coherent,anchor_year,anchor_year_source,pre_last_period,pre_anniv_period,pre_ceased_at_anniversary,cease_window_lo,cease_window_hi,cease_window_same_year,term_month,cease_lo,cease_hi,a_close_date,a_accession,a_pattern,a_context,a_how,final_tier,final_evidence,final_effective_date,final_precision,final_year,final_source_accession,final_verified_day,final_proposed_day,verified_effective_date,verified_date_source_accession,verified_date_source_form,verified_date_evidence,date_precision,adviser,event_id,timing_eligible_primary
S000045256,AB High Yield Portfolio,3794,C000140936;C000140937;C000140942,HIYYX;HIAYX;HIZYX,S000079881,AB High Yield ETF,1496608,C000241312,2023-02-03,2023-02-03,0000919574-23-000714,1,ncen_is_open_end_mf,ncen_is_etf,2018-04,ncen_terminated_organization,month_only,0001752724-19-001079,,,2023-11-30,True,2022-10-31,unresolved,,False,2023-05-12,,2023-02-03,,2023.0,proposed_close,2022-10-31,2023-10-31,True,2023-02-03,2023-10-31,True,2018-04-01,2023-02-03,2023-10-31,,,,,,B_structural_completion,predecessor absent from its own ncen anniversary filing,2023-05-12,proposed_exact_day_only,2023.0,,,2023-05-12,,,,,proposed_exact_day_only,AllianceBernstein L.P.,P1E000045256,False
S000016732,T.A. U.S. Core Equity 2 Portfolio,355437,C000046748,,S000070903,Dimensional U.S. Core Equity 2 ETF,1816125,C000225167,2021-03-03,2021-03-03,0001794202-21-000086,1,ncen_is_open_end_mf,ncen_is_etf,2021-06,ncen_terminated_organization,month_only,0001752724-22-003191,,,2021-10-31,True,2020-10-31,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,2021-06-11,,2021-03-03,2021-06-01,2021.0,proposed_close,2020-10-31,2021-10-31,True,2021-03-03,2021-10-31,True,2021-06-01,2021-03-03,2021-10-31,2021-06-11,0001193125-22-057393,reorg_completed_on," Core Equity 2 ETF’s returns and are meant to provide some indication of the risks of investing in the Portfolio. The US Core Equity 2 ETF has adopted the performance of the T.A. U.S. Core Equity 2 Portfolio (the predecessor fund) as the result of a reorganization of the predecessor fund into the US Core Equity 2 ETF, which was consummated after the close of business on June 11, 2021 (the “Reorgan",bracketed_recovery,A_explicit_completion,"explicit completion statement (reorg_completed_on, bracketed_recovery)",2021-06-11,verified_exact_day,2021.0,0001193125-22-057393,2021-06-11,2021-06-11,2021-06-11,0001193125-22-057393,497K,reorg_completed_on / bracketed_recovery,verified_exact_day,Dimensional Fund Advisors LP,P1E000016732,True
S000000972,TAX-MANAGED U.S. EQUITY PORTFOLIO,355437,C000002723,DTMEX,S000070902,Dimensional U.S. Equity ETF,1816125,C000225166,2021-03-03,2021-03-03,0001794202-21-000086,1,ncen_is_open_end_mf,ncen_is_etf,2021-06,ncen_terminated_organization,month_only,0001752724-22-003191,,,2021-10-31,True,2020-10-31,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,2021-06-11,,2021-03-03,2021-06-01,2021.0,proposed_close,2020-10-31,2021-10-31,True,2021-03-03,2021-10-31,True,2021-06-01,2021-03-03,2021-10-31,2021-06-11,0001193125-22-057390,reorg_completed_on,"lity of the US Equity ETF’s returns and are meant to provide some indication of the risks of investing in the Portfolio. The US Equity ETF has adopted the performance of the Tax-Managed U.S. Equity Portfolio (the predecessor fund) as the result of a reorganization of the predecessor fund into the US Equity ETF, which was consummated after the close of business on June 11, 2021 (the “Reorganization",bracketed_recovery,A_explicit_completion,"explicit completion statement (reorg_completed_on, bracketed_recovery)",2021-06-11,verified_exact_day,2021.0,0001193125-22-057390,2021-06-11,2021-06-11,2021-06-11,0001193125-22-057390,497K,reorg_completed_on / bracketed_recovery,verified_exact_day,Dimensional Fund Advisors LP,P1E000000972,True
S000000976,TAX-MANAGED U.S. SMALL CAP PORTFOLIO,355437,C000002727,DFTSX,S000070906,Dimensional U.S. Small Cap ETF,1816125,C000225170,2021-03-03,2021-03-03,0001794202-21-000086,1,ncen_is_open_end_mf,ncen_is_etf,2021-06,ncen_terminated_organization,month_only,0001752724-22-003191,,,2021-10-31,True,2020-10-31,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,2021-06-11,,2021-03-03,2021-06-01,2021.0,proposed_close,2020-10-31,2021-10-31,True,2021-03-03,2021-10-31,True,2021-06-01,2021-03-03,2021-10-31,2021-06-11,0001193125-22-057023,reorg_completed_on,"he US Small Cap ETF’s returns and are meant to provide some indication of the risks of investing in the Portfolio. The US Small Cap ETF has adopted the performance of the Tax‑Managed U.S. Small Cap Portfolio (the predecessor fund) as the result of a reorganization of the predecessor fund into the US Small Cap ETF, which was consummated after the close of business on June 11, 2021 (the “Reorganizat",bracketed_recovery,A_explicit_completion,"explicit completion statement (reorg_completed_on, bracketed_recovery)",2021-06-11,verified_exact_day,2021.0,0001193125-22-057023,2021-06-11,2021-06-11,2021-06-11,0001193125-22-057023,485BPOS,reorg_completed_on / bracketed_recovery,verified_exact_day,Dimensional Fund Advisors LP,P1E000000976,True
S000000977,Tax-Managed U.S. Targeted Value Portfolio,355437,C000002728,DTMVX,S000070901,Dimensional U.S. Targeted Value ETF,1816125,C000225165,2021-03-03,2021-03-03,0001794202-21-000086,1,ncen_is_open_end_mf,ncen_is_etf,2021-06,ncen_terminated_organization,month_only,0001752724-22-003191,,,2021-10-31,True,2020-10-31,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,2021-06-11,,2021-03-03,2021-06-01,2021.0,proposed_close,2020-10-31,2021-10-31,True,2021-03-03,2021-10-31,True,2021-06-01,2021-03-03,2021-10-31,2021-06-11,0001193125-22-057394,reorg_completed_on,"Value ETF’s returns and are meant to provide some indication of the risks of investing in the Portfolio. The US Targeted Value ETF has adopted the performance of the Tax-Managed U.S. Targeted Value Portfolio (the predecessor fund) as the result of a reorganization of the predecessor fund into the US Targeted Value ETF, which was consummated after the close of business on June 11, 2021 (the “Reorga",bracketed_recovery,A_explicit_completion,"explicit completion statement (reorg_completed_on, bracketed_recovery)",2021-06-11,verified_exact_day,2021.0,0001193125-22-057394,2021-06-11,2021-06-11,2021-06-11,0001193125-22-057394,497K,reorg_completed_on / bracketed_recovery,verified_exact_day,Dimensional Fund Advisors LP,P1E000000977,True
S000020997,T.A. World ex U.S. Core Equity Portfolio,355437,C000059643,,S000070905,Dimensional World ex U.S. Core Equity 2 ETF,1816125,C000225169,2021-05-07,2021-05-07,0001794202-21-000165,1,ncen_is_open_end_mf,ncen_is_etf,2021-09,ncen_terminated_organization,month_only,0001752724-22-003191,,,2021-10-31,True,2020-10-31,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,2021-09-10,,2021-05-07,2021-09-01,2021.0,proposed_close,2020-10-31,2021-10-31,True,2021-05-07,2021-10-31,True,2021-09-01,2021-05-07,2021-10-31,,,,,,B_structural_completion,ncen predecessor termination record,2021-09,month_only,2021.0,0001752724-22-003191,,2021-09-10,,,,,month_only,Dimensional Fund Advisors LP,P1E000020997,False
S000000975,TAX-MANAGED DFA INTERNATIONAL VALUE PORTFOLIO,355437,C000002726,DTMIX,S000070904,Dimensional International Value ETF,1816125,C000225168,2021-05-07,2021-05-07,0001794202-21-000165,1,ncen_is_open_end_mf,ncen_is_etf,2021-09,ncen_terminated_organization,month_only,0001752724-22-003191,,,2021-10-31,True,2020-10-31,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,2021-09-10,,2021-05-07,2021-09-01,2021.0,proposed_close,2020-10-31,2021-10-31,True,2021-05-07,2021-10-31,True,2021-09-01,2021-05-07,2021-10-31,,,,,,B_structural_completion,ncen predecessor termination record,2021-09,month_only,2021.0,0001752724-22-003191,,2021-09-10,,,,,month_only,Dimensional Fund Advisors LP,P1E000000975,False
S000047725,Water Island Long/Short Fund,1105076,C000149946,ATQIX,S000072757,AltShares Event-Driven ETF,1779306,C000229260,2021-06-03,2021-06-03,0001104659-21-076413,1,ncen_is_open_end_mf,ncen_is_etf,2021-09,ncen_terminated_organization,month_only,0001752724-22-205141,,,2022-05-31,True,2021-05-31,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,,,2021-06-03,2021-09-01,2021.0,ncen_termination,2021-05-31,2022-05-31,True,2021-06-03,2022-05-31,False,2021-09-01,2021-06-03,2022-05-31,,,,,,B_structural_completion,ncen predecessor termination record,2021-09,month_only,2021.0,0001752724-22-205141,,,,,,,month_only,"Water Island Capital, LLC",P1E000047725,False
S000027238,Convergence Long/Short Equity Fund,1141819,C000082221,MARNX,S000074838,Convergence Long/Short Equity ETF,1141819,C000233104,2021-11-12,2022-01-25,0000894189-21-007965;0000894189-22-000389;0000894189-22-000424,3,ncen_is_open_end_mf,ncen_is_etf,2022-02,ncen_terminated_organization,month_only,0001145549-23-006026,,,2022-11-30,True,2021-11-30,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,2022-02-18,,2022-01-25,2022-02-01,2022.0,proposed_close,2021-11-30,2022-11-30,True,2021-11-30,2022-11-30,False,2022-02-01,2021-11-30,2022-11-30,,,,,,B_structural_completion,ncen predecessor termination record,2022-02,month_only,2022.0,0001145549-23-006026,,2022-02-18,,,,,month_only,"Convergence Investment Partners, LLC.",P1E000027238,False
S000028002,JPMorgan Inflation Managed Bond Fund,1217286,C000085147;C000085148;C000085149;C000085151;C000093776,JIMAX;JIMCX;JRBSX;JIMRX;JIMMX,S000074053,JPMorgan Inflation Managed Bond ETF,1485894,C000231436,2022-01-19,2022-01-19,0001193125-22-012596,1,ncen_is_open_end_mf,ncen_is_etf,2022-04,ncen_terminated_organization,month_only,0001752724-23-100268,,,2023-02-28,True,2022-02-28,B_structurally_confirmed_completion,ncen_predecessor_terminated + ncen_successor_etf_reporting,False,,,2022-01-19,2022-04-01,2022.0,ncen_termination,2022-02-28,2023-02-28,True,2022-02-28,2023-02-28,False,2022-04-01,2022-02-28,2023-02-28,2022-04-08,0001193125-22-100533,effective_assets_moved,"497 1 d167372d497.htm JPMORGAN TRUST I J.P. MORGAN TRUST I JPMorgan Income Funds JPMorgan Inflation Managed Bond Fund (the “Fund”) (All Share Classes) Supplement dated April 8, 2022 to the current Prospectuses and Statement of Additional Information Effective as of the close of business on April 8, ",named_in_sentence,A_explicit_completion,"explicit completion statement (effective_assets_moved, named_in_sentence)",2022-04-08,verified_exact_day,2022.0,0001193125-22-100533,2022-04-08,,2022-04-08,0001193125-22-100533,497,effective_assets_moved / named_in_sentence,verified_exact_day,J.P. Morgan Investment Management Inc.,P1E000028002,True
