wave_id,wave_date,pre_series_id,pre_series_name,pre_cik,post_series_id,post_series_name,post_cik,adviser,verified_date_source_accession,verified_date_source_form,verified_date_evidence
W002,2021-06-11,S000016732,T.A. U.S. Core Equity 2 Portfolio,355437,S000070903,Dimensional U.S. Core Equity 2 ETF,1816125,Dimensional Fund Advisors LP,0001193125-22-057393,497K,reorg_completed_on / bracketed_recovery
W002,2021-06-11,S000000972,TAX-MANAGED U.S. EQUITY PORTFOLIO,355437,S000070902,Dimensional U.S. Equity ETF,1816125,Dimensional Fund Advisors LP,0001193125-22-057390,497K,reorg_completed_on / bracketed_recovery
W002,2021-06-11,S000000976,TAX-MANAGED U.S. SMALL CAP PORTFOLIO,355437,S000070906,Dimensional U.S. Small Cap ETF,1816125,Dimensional Fund Advisors LP,0001193125-22-057023,485BPOS,reorg_completed_on / bracketed_recovery
W002,2021-06-11,S000000977,Tax-Managed U.S. Targeted Value Portfolio,355437,S000070901,Dimensional U.S. Targeted Value ETF,1816125,Dimensional Fund Advisors LP,0001193125-22-057394,497K,reorg_completed_on / bracketed_recovery
W005,2022-04-08,S000028002,JPMorgan Inflation Managed Bond Fund,1217286,S000074053,JPMorgan Inflation Managed Bond ETF,1485894,J.P. Morgan Investment Management Inc.,0001193125-22-100533,497,effective_assets_moved / named_in_sentence
W006,2022-05-06,S000003858,JPMorgan Market Expansion Enhanced Index Fund,763852,S000074055,JPMorgan Market Expansion Enhanced Equity ETF,1485894,J.P. Morgan Investment Management Inc.,0001193125-22-143769,497,effective_assets_moved / named_in_sentence
W006,2022-05-06,S000001015,TAX-MANAGED U.S. MARKETWIDE VALUE PORTFOLIO II,861929,S000075030,Dimensional US Marketwide Value ETF,1816125,Dimensional Fund Advisors LP,0000930413-23-000855,497K,reorg_completed_on / bracketed_recovery
W007,2022-05-20,S000041661,WESTFIELD CAPITAL DIVIDEND GROWTH FUND,890540,S000075911,Harbor Dividend Growth Leaders ETF,1860434,"WESTFIELD CAPITAL MANAGEMENT COMPANY, L.P.",0001193125-22-311370,N-CSR,reorg_completed_on / bracketed_recovery
W008,2022-06-10,S000003653,JPMorgan International Research Enhanced Equity Fund,763852,S000074054,JPMorgan International Research Enhanced Equity ETF,1485894,J.P. Morgan Investment Management Inc.,0001193125-22-172073,497,effective_assets_moved / named_in_sentence
W009,2022-08-01,S000043622,Conductor Global Equity Value Fund,1552947,S000074951,Conductor Global Equity Value ETF,1552947,"Ironhorse Capital, LLC",0001580642-23-000103,N-CSR,acquired_assets_on / bracketed_recovery
W011,2022-10-14,S000004420,Blue Chip Fund,916006,S000077095,EA Bridgeway Blue Chip ETF,1592900,"Bridgeway Capital Management, LLC",0001680359-22-000182,497,reorg_occurred_on / named_in_sentence
W013,2022-10-28,S000047047,BrandywineGLOBAL - Dynamic US Large Cap Value Fund,1474103,S000075788,BrandywineGLOBAL Dynamic US Large Cap Value ETF,1655589,"Legg Mason Partners Fund Advisor, LLC",0001193125-22-292955,N-CSR,effective_reorg / bracketed_recovery
W010,2022-09-30,S000045556,FundX Upgrader Fund,1602508,S000077552,FundX ETF,1602508,"One Capital Management, LLC",0000894189-22-007557,497,successor_to_on_date / bracketed_recovery
W016,2023-03-10,S000030751,Omni Tax-Managed Small-Cap Value Fund,916006,S000078089,EA Bridgeway Omni Small-Cap Value ETF,1592900,"Bridgeway Capital Management, LLC",0001193125-23-073425,497,reorg_occurred_on / named_in_sentence
W018,2023-06-09,S000067932,Fidelity Disruptive Communications Fund,225322,S000079686,Fidelity Disruptive Communications ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000274,497K,effective_reorg / bracketed_recovery
W018,2023-06-09,S000067933,Fidelity Disruptive Finance Fund,225322,S000079687,Fidelity Disruptive Finance ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000275,497K,effective_reorg / bracketed_recovery
W018,2023-06-09,S000067934,Fidelity Disruptive Medicine Fund,225322,S000079688,Fidelity Disruptive Medicine ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000276,497K,effective_reorg / bracketed_recovery
W018,2023-06-09,S000067935,Fidelity Disruptive Technology Fund,225322,S000079689,Fidelity Disruptive Technology ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000277,497K,effective_reorg / bracketed_recovery
W019,2023-06-16,S000067936,Fidelity Disruptors Fund,225322,S000079690,Fidelity Disruptors ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000278,497K,effective_reorg / bracketed_recovery
W021,2023-07-28,S000032550,JPMorgan Equity Focus Fund,1217286,S000079812,JPMorgan Equity Focus ETF,1485894,J.P. Morgan Investment Management Inc.,0001193125-23-197819,497,effective_assets_moved / named_in_sentence
W020,2023-07-14,S000018749,JPMorgan High Yield Municipal Fund,1217286,S000079813,JPMorgan High Yield Municipal ETF,1485894,J.P. Morgan Investment Management Inc.,0001193125-23-187337,497,effective_assets_moved / named_in_sentence
W021,2023-07-28,S000003492,JPMorgan Limited Duration Bond Fund,763852,S000079814,JPMorgan Limited Duration Bond ETF,1485894,J.P. Morgan Investment Management Inc.,0001193125-23-197816,497,effective_assets_moved / named_in_sentence
W020,2023-07-14,S000003497,JPMorgan Sustainable Municipal Income Fund,763852,S000079815,JPMorgan Sustainable Municipal Income ETF,1485894,J.P. Morgan Investment Management Inc.,0001193125-23-187338,497,effective_assets_moved / named_in_sentence
W022,2023-10-09,S000045559,FundX Flexible Income Fund,1602508,S000082812,FundX Flexible ETF,1602508,"One Capital Management, LLC",0000894189-24-000833,497K,successor_to_on_date / bracketed_recovery
W023,2023-10-13,S000004018,Hartford Quality Value Fund,49905,S000081376,Hartford Quality Value ETF,1501825,"Hartford Funds Management Company, LLC",0001193125-23-256636,497,on_date_fund_moved / named_in_sentence
W025,2023-11-17,S000015911,Fidelity Large Cap Core Enhanced Index Fund,1364923,S000081804,Fidelity Enhanced Large Cap Core ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000672,497K,effective_reorg / bracketed_recovery
W025,2023-11-17,S000015909,Fidelity Large Cap Growth Enhanced Index Fund,1364923,S000081805,Fidelity Enhanced Large Cap Growth ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000670,497K,effective_reorg / bracketed_recovery
W025,2023-11-17,S000015910,Fidelity Large Cap Value Enhanced Index Fund,1364923,S000081806,Fidelity Enhanced Large Cap Value ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000672,497K,effective_reorg / bracketed_recovery
W025,2023-11-17,S000019927,Fidelity Mid Cap Enhanced Index Fund,1364923,S000081803,Fidelity Enhanced Mid Cap ETF,945908,Fidelity Management & Research Company LLC,0000945908-23-000673,497K,effective_reorg / bracketed_recovery
