priority_rank,event_id,pre_series_id,pre_series_name,pre_tickers,post_series_id,post_series_name,adviser,final_precision,final_effective_date,final_proposed_day,cease_window_lo,cease_window_hi,date_bracket_days,priority_score,non_dimensional_sponsor,new_wave_if_proposed_day_verified,broad_us_equity_name_signal,likely_crsp_mappable_name_signal,foreign_or_fixed_income_name_signal,predecessor_aum_status,sec_evidence_signal,recommended_first_action
1,P1E000013779,S000013779,RiverNorth Core Opportunity Fund,RNCOX;RNCIX,S000093615,RiverNorth Active Income ETF,"RiverNorth Capital Management, LLC",month_only,2025-08,2025-08-01,2025-06-10,2025-09-30,112.0,15,True,True,True,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
2,P1E000061417,S000061417,Equable Shares Hedged Equity Fund,EQHEX,S000094633,Equable Shares Hedged Equity ETF,"Teramo Advisors, LLC",month_only,2025-10,2025-10-13,2025-08-14,2025-10-31,78.0,15,True,True,False,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
3,P1E000020312,S000020312,abrdn Focused U.S. Small Cap Equity Fund,MLSAX;GLSRX;GGUIX;AELSX,S000088604,abrdn Focused U.S. Small Cap Active ETF,abrdn Inc.,month_only,2025-02,,2024-10-31,2025-10-31,365.0,14,True,UNKNOWN_UNTIL_DATE_RECOVERED,True,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
4,P1E000037501,S000037501,Logan Capital Large Cap Growth Fund,LGNHX;LGNGX,S000070990,Logan Capital Broad Innovative Growth ETF,Logan Capital Management Inc.,month_only,2022-08,,2022-04-30,2023-04-30,365.0,14,True,UNKNOWN_UNTIL_DATE_RECOVERED,True,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
5,P1E000055088,S000055088,Neuberger Berman U.S. Equity Index PutWrite Strategy Fund,NUPIX;NUPRX,S000082346,Neuberger Berman Option Strategy ETF,Neuberger Berman Investment Advisers LLC,month_only,2024-01,2024-01-26,2023-10-31,2024-10-31,366.0,14,True,True,True,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
6,P1E000074073,S000074073,Lazard US Systematic Small Cap Equity Portfolio,LUSIX;LUSOX;RUSRX,S000094313,Lazard US Systematic Small Cap Equity ETF,Lazard Asset Management LLC,month_only,2025-09,2025-09-12,2025-05-22,2025-12-31,223.0,14,True,True,True,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
7,P1E000005900,S000005900,"Matrix Advisors Value Fund, Inc.",MAVFX,S000089477,Matrix Advisors Value ETF,"Matrix Asset Advisors, Inc.",month_only,2025-02,,2024-11-27,,,13,True,UNKNOWN_UNTIL_DATE_RECOVERED,False,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
8,P1E000027238,S000027238,Convergence Long/Short Equity Fund,MARNX,S000074838,Convergence Long/Short Equity ETF,"Convergence Investment Partners, LLC.",month_only,2022-02,2022-02-18,2021-11-30,2022-11-30,365.0,13,True,True,False,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
9,P1E000038304,S000038304,Adaptive Growth Opportunities Fund,CATEX;CATDX;CAGOX,S000070423,Adaptive Growth Opportunities ETF,"Cavalier Investments, LLC",proposed_exact_day_only,2021-05-07,2021-05-07,2021-01-15,2021-05-31,136.0,13,True,True,False,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,False,verify proposed day in completion 497/N-14
10,P1E000046804,S000046804,AXS All Terrain Opportunity Fund,TERIX,S000077430,AXS All Terrain ETF,AXS Investments LLC,month_only,2023-06,,2022-09-30,2023-09-30,365.0,13,True,UNKNOWN_UNTIL_DATE_RECOVERED,False,True,False,NOT_AVAILABLE_IN_FROZEN_EVENT_MASTER,True,search month-local 497/N-14 and adviser archive
