expansion_strategy,total_exact_date_events,simulation_repetitions,gate0_usable_events_assumed,total_waves,ownership_ready_waves,non_dimensional_waves,all_positive_stocks,exclude_dimensional_positive_stocks,exclude_dimensional_stocks_ge_0p5pct,all_mde80_sd,all_mde90_sd,exclude_dimensional_mde80_sd,exclude_dimensional_mde90_sd,added_non_dimensional_waves,exclude_dimensional_mde80_sd_p10,exclude_dimensional_mde80_sd_p90,frozen_k2_33_stock_gate,meaningful_0p5sd_power80_gate,meaningful_0p5sd_power90_gate
conservative,74,1,71.0,47.0,30.0,45.0,3440.0,2979.0,21.0,1.5077188015697454,1.7356320938866805,2.333991276714197,2.6861763441532736,0.0,2.333991276714197,2.333991276714197,FAIL,FAIL,FAIL
conservative,80,20,77.0,51.5,33.0,49.5,3455.0,2986.0,21.0,1.5071495647357929,1.735163365209404,2.332392673698287,2.6843365216792696,4.5,2.2042309127783537,2.34426906019884,FAIL,FAIL,FAIL
conservative,90,20,86.0,58.0,37.0,55.5,3582.5,3061.5,21.0,1.5045152066102327,1.7326022357722395,2.3136493745048163,2.663677849698668,10.5,2.198492542864919,2.3385090227556264,FAIL,FAIL,FAIL
conservative,100,20,96.0,65.0,41.0,62.0,3798.0,3184.5,21.0,1.4727207183946047,1.6955264458826538,2.2543654649592337,2.5948411354600545,17.0,2.0503478040711136,2.3268631389309498,FAIL,FAIL,FAIL
conservative,110,20,106.0,71.0,45.0,67.5,3838.5,3178.5,21.0,1.4677944439512345,1.6898536810612375,2.2390708235750107,2.576932972790831,22.5,2.0486998534221907,2.3259098589807476,FAIL,FAIL,FAIL
conservative,120,20,115.0,76.0,49.0,72.5,3853.5,3266.5,22.0,1.439380781313265,1.6573047359194653,2.129374955448805,2.451480236173759,27.5,1.948041040848855,2.2954511927314596,FAIL,FAIL,FAIL
conservative,130,20,125.0,83.0,53.5,79.0,4043.5,3436.5,22.0,1.4609200531071367,1.6821207639090636,2.1234648990832588,2.4444570335354108,34.0,1.972475882760422,2.198332835601158,FAIL,FAIL,FAIL
conservative,140,20,135.0,88.0,58.0,85.0,4114.5,3496.0,22.0,1.3778980268442376,1.5865282132136254,2.1053243280586385,2.4232905980647113,40.0,1.9612106394844593,2.1666822990800316,FAIL,FAIL,FAIL
conservative,150,20,144.0,94.5,62.5,91.0,4360.5,3549.0,22.5,1.2933927598358872,1.4890676820817363,2.05629999907587,2.367114653281299,46.0,1.9532395580679465,2.201226271139317,FAIL,FAIL,FAIL
proportional_current_composition,74,1,71.0,47.0,30.0,45.0,3440.0,2979.0,21.0,1.5077188015697454,1.7356320938866805,2.333991276714197,2.6861763441532736,0.0,2.333991276714197,2.333991276714197,FAIL,FAIL,FAIL
