wave_id,fund_name,family,adviser,confirmed,provisional_from_fund_name,needs_filing_lookup
W001,Guinness Atkinson Asia Pacific Dividend Builder Fund,Guinness Atkinson Funds,Guinness Atkinson,yes,no,no
W001,Guinness Atkinson Dividend Builder Fund,Guinness Atkinson Funds,Guinness Atkinson,yes,no,no
W002,T.A. U.S. Core Equity 2 Portfolio,DFA Investment Dimensions Group Inc.,Dimensional,yes,no,no
W002,Tax-Managed U.S. Equity Portfolio,DFA Investment Dimensions Group Inc.,Dimensional,yes,no,no
W002,Tax-Managed U.S. Small Cap Portfolio,DFA Investment Dimensions Group Inc.,Dimensional,yes,no,no
W002,Tax-Managed U.S. Targeted Value Portfolio,DFA Investment Dimensions Group Inc.,Dimensional,yes,no,no
W003,T.A. World ex U.S. Core Equity Portfolio,DFA Investment Dimensions Group Inc.,Dimensional,yes,no,no
W003,Tax-Managed DFA International Value Portfolio,DFA Investment Dimensions Group Inc.,Dimensional,yes,no,no
W004,Cannabis Growth Fund,Investment Managers Series Trust II,UNRESOLVED_NO_BRAND_IN_NAME,no,no,yes
W005,MFAM Global Opportunities Fund,"The RBB Fund, Inc.",Motley Fool Asset Management [PROVISIONAL],no,yes,yes
W005,MFAM Mid-Cap Growth Fund,"The RBB Fund, Inc.",Motley Fool Asset Management [PROVISIONAL],no,yes,yes
W006,Convergence Long/Short Equity Fund,Trust for Professional Managers,Convergence [PROVISIONAL],no,yes,yes
W007,Tax-Managed U.S. Marketwide Value Portfolio II,Dimensional Investment Group Inc.,Dimensional,yes,no,no
W008,JPMorgan Inflation Managed Bond Fund,JPMorgan Trust I,JPMorgan,yes,no,no
W008,JPMorgan Market Expansion Enhanced Index Fund,JPMorgan Trust II,JPMorgan,yes,no,no
W008,JPMorgan Realty Income Fund,Undiscovered Managers Funds,JPMorgan,yes,no,no
W008,Westfield Capital Dividend Growth Fund,The Advisors' Inner Circle Fund II,Westfield Capital [PROVISIONAL],no,yes,yes
W009,JPMorgan International Research Enhanced Equity Fund,JPMorgan Trust II,JPMorgan,yes,no,no
W010,Conductor Global Equity Value Fund,Two Roads Shared Trust,Conductor [PROVISIONAL],no,yes,yes
W011,Main BuyWrite Fund,Northern Lights Fund Trust IV,UNRESOLVED_SERIES_TRUST,no,no,yes
W012,Blue Chip Fund,Bridgeway Funds,Bridgeway,yes,no,no
W013,FundX Aggressive Upgrader Fund,FundX Investment Trust,FundX,yes,no,no
W013,FundX Upgrader Fund,FundX Investment Trust,FundX,yes,no,no
W014,Neuberger Berman Commodity Strategy Fund,Neuberger Berman Alternative Funds,Neuberger Berman,yes,no,no
W014,Soundwatch Hedged Equity Fund,Advisor Managed Portfolios,UNRESOLVED_SERIES_TRUST,no,no,yes
W015,Soundwatch Hedged Equity Fund,Advisor Managed Portfolios,UNRESOLVED_SERIES_TRUST,no,no,yes
W016,BrandywineGLOBAL – Dynamic US Large Cap Value Fund,Legg Mason Trust,Franklin/Legg Mason,yes,no,no
W017,Goldman Sachs Defensive Equity Fund,Goldman Sachs Trust,Goldman Sachs,yes,no,no
W018,Cambiar Aggressive Value Fund,The Advisors' Inner Circle Fund,UNRESOLVED_SERIES_TRUST,no,no,yes
W019,Omni Tax-Managed Small-Cap Value Fund,"Bridgeway Funds, Inc.",Bridgeway,yes,no,no
W020,Emerging Markets Fund,Mirae Asset Discovery Funds,Mirae,yes,no,no
W020,Emerging Markets Great Consumer Fund,Mirae Asset Discovery Funds,Mirae,yes,no,no
W021,AB High Yield Portfolio,"AB Bond Fund, Inc.",AllianceBernstein,yes,no,no
W022,Fidelity Disruptive Automation Fund,Fidelity Summer Street Trust,Fidelity,yes,no,no
W022,Fidelity Disruptive Communications Fund,Fidelity Summer Street Trust,Fidelity,yes,no,no
W022,Fidelity Disruptive Finance Fund,Fidelity Summer Street Trust,Fidelity,yes,no,no
W022,Fidelity Disruptive Medicine Fund,Fidelity Summer Street Trust,Fidelity,yes,no,no
W022,Fidelity Disruptive Technology Fund,Fidelity Summer Street Trust,Fidelity,yes,no,no
W023,Fidelity Disruptive Fund,Fidelity Summer Street Trust,Fidelity,yes,no,no
W023,Fidelity Disruptors Fund,Fidelity Summer Street Trust,Fidelity,yes,no,no
W024,JPMorgan High Yield Municipal Fund,JPMorgan Trust I,JPMorgan,yes,no,no
W024,JPMorgan Sustainable Municipal Income Fund,JPMorgan Trust II,JPMorgan,yes,no,no
W025,Matthews Korea Fund,Matthews International Funds (dba Matthews Asia Funds),Matthews,yes,no,no
W026,JPMorgan Equity Focus Fund,JPMorgan Trust I,JPMorgan,yes,no,no
W026,JPMorgan Limited Duration Bond Fund,JPMorgan Trust I,JPMorgan,yes,no,no
W027,JPMorgan Limited Duration Bond Fund,JPMorgan Trust I,JPMorgan,yes,no,no
W028,FundX Conservative Upgrader Fund,FundX Investment Trust,FundX,yes,no,no
W028,FundX Flexible Income Fund,FundX Investment Trust,FundX,yes,no,no
W029,Hartford Quality Value Fund,"The Hartford Mutual Funds II, Inc.",Hartford,yes,no,no
W029,Neuberger Berman Global Real Estate Fund,Neuberger Berman Equity Funds,Neuberger Berman,yes,no,no
W029,Neuberger Berman Greater China Equity Fund,Neuberger Berman Equity Funds,Neuberger Berman,yes,no,no
W030,Gotham Short Strategies Fund,FundVantage Trust,UNRESOLVED_SERIES_TRUST,no,no,yes
W030,Touchstone Dynamic Allocation Fund,Touchstone Strategic Trust,Touchstone,yes,no,no
