analysis_status,weighting,margin,risk_or_entrant_raw,events_raw,risk_or_entrant_weighted,events_weighted,young_events_raw,post_events_raw
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,official,employment_exit,3039075,94753,10503009013.7725,342977897.9347,11982,31518
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,official,occupational_outflow,2912661,186370,10063580137.0851,696550411.9757999,18909,66018
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,official,persistent_outflow,1610853,68747,5618003014.2269,255781925.83850002,6481,24418
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,official,entry_destination,88535,88535,324104492.9379,324104492.9379,12461,28319
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,unweighted,employment_exit,3039075,94753,3039075.0,94753.0,11982,31518
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,unweighted,occupational_outflow,2912661,186370,2912661.0,186370.0,18909,66018
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,unweighted,persistent_outflow,1610853,68747,1610853.0,68747.0,6481,24418
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,unweighted,entry_destination,88535,88535,88535.0,88535.0,12461,28319
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,origin_WTFINL,employment_exit,3039075,94753,9580656862.824999,311403759.9029,11982,31518
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,origin_WTFINL,occupational_outflow,2912661,186370,9179870942.082401,632907954.4644,18909,66018
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,origin_WTFINL,persistent_outflow,1610853,68747,5126390258.4674,232673876.01450002,6481,24418
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,origin_WTFINL,entry_destination,88535,88535,293904432.3382,293904432.3382,12461,28319
