analysis_status,switch_sample,weighting,measure_1,measure_2,rank_change_correlation
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_admin_equal,aioe_ability_direct,0.9770100668904482
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_admin_equal,aioe_oews2018_source_weighted,0.984015614379
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_admin_equal,dv_rating_alpha,0.2379194778744981
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_admin_equal,dv_rating_beta,0.7662549696284295
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_admin_equal,dv_rating_gamma,0.8085827098514173
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_ability_direct,aioe_oews2018_source_weighted,0.9612906396096316
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_ability_direct,dv_rating_alpha,0.19466291222686105
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_ability_direct,dv_rating_beta,0.7629598372663079
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_ability_direct,dv_rating_gamma,0.8215081762118958
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_oews2018_source_weighted,dv_rating_alpha,0.23295494801713057
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_oews2018_source_weighted,dv_rating_beta,0.7649241253157332
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,aioe_oews2018_source_weighted,dv_rating_gamma,0.8077792295524677
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,dv_rating_alpha,dv_rating_beta,0.5656940689977552
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,dv_rating_alpha,dv_rating_gamma,0.323695896119957
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,dv_rating_beta,dv_rating_gamma,0.927865005123561
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_admin_equal,aioe_ability_direct,0.9772825650819412
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_admin_equal,aioe_oews2018_source_weighted,0.9838458553790865
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_admin_equal,dv_rating_alpha,0.23642047626036172
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_admin_equal,dv_rating_beta,0.7644949162128898
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_admin_equal,dv_rating_gamma,0.807124054813663
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_ability_direct,aioe_oews2018_source_weighted,0.9615309785293155
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_ability_direct,dv_rating_alpha,0.19362332207858174
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_ability_direct,dv_rating_beta,0.7608151760276132
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_ability_direct,dv_rating_gamma,0.8195934035032896
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_oews2018_source_weighted,dv_rating_alpha,0.2311571032368745
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_oews2018_source_weighted,dv_rating_beta,0.7626160579859538
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,aioe_oews2018_source_weighted,dv_rating_gamma,0.8057940896542624
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,dv_rating_alpha,dv_rating_beta,0.565076485769842
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,dv_rating_alpha,dv_rating_gamma,0.3217380662626263
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,dv_rating_beta,dv_rating_gamma,0.9273780695075027
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_admin_equal,aioe_ability_direct,0.9761935838526966
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_admin_equal,aioe_oews2018_source_weighted,0.9828412788639103
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_admin_equal,dv_rating_alpha,0.22128587182951706
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_admin_equal,dv_rating_beta,0.7537979538649318
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_admin_equal,dv_rating_gamma,0.7981735835261217
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_ability_direct,aioe_oews2018_source_weighted,0.959258013351482
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_ability_direct,dv_rating_alpha,0.17824635114581808
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_ability_direct,dv_rating_beta,0.7506127903111931
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_ability_direct,dv_rating_gamma,0.8119733350531445
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_oews2018_source_weighted,dv_rating_alpha,0.21715158884600028
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_oews2018_source_weighted,dv_rating_beta,0.7536679226512984
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,aioe_oews2018_source_weighted,dv_rating_gamma,0.7980687803777387
