analysis_status,switch_sample,weighting,subgroup,switches_raw,weight_sum,six_way_same_direction_rate,six_way_conflict_rate,any_tie_rate,mean_rank_change_dispersion_sd,mean_rank_change_max_minus_min
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,overall,108500,405762591.7132,0.45560761778125736,0.5328278289030031,0.03702378101261346,0.15240184498507217,0.43364979482543176
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,young_pre,7660,29796606.1511,0.4967101541379276,0.4958738707580809,0.02850378085990998,0.1434834190741998,0.4094976315978831
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,young_post,4043,20233835.4244,0.4842719227311577,0.5079360082867118,0.030867567557005596,0.14098693523799943,0.40174391010985727
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,older_pre,62337,210332856.4293,0.4557411540679613,0.5322842336248711,0.03740487308146516,0.15304938338303356,0.4354155804502483
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,official,older_post,33486,141499408.20209998,0.44319277007032254,0.544378120391014,0.039414849260247506,0.1548042473044832,0.4402588104226286
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,overall,108500,108500.0,0.45303225806451614,0.5351336405529954,0.03671889400921659,0.15279152466187584,0.434622257319729
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,young_pre,7660,7660.0,0.49281984334203655,0.49843342036553523,0.029112271540469973,0.14313544426947497,0.4081491618874842
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,young_post,4043,4043.0,0.4805837249567153,0.5124907247093742,0.02918624783576552,0.13971481195574512,0.3983480124542117
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,older_pre,62337,62337.0,0.45327814941367084,0.5346744309158284,0.036832058007282995,0.15337832354484351,0.4361520029365891
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,primary,unweighted,older_post,33486,33486.0,0.4408409484560712,0.5463775906348922,0.039449322104760196,0.15535328317940414,0.4418201299105896
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,overall,39893,148395382.9262,0.44454989784289844,0.5446234180755692,0.03717857723473633,0.15263600959182322,0.4342749330389439
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,young_pre,2588,9922431.2333,0.4859961301436213,0.5085637725122071,0.031345725527044954,0.14294763548254588,0.4075736408655437
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,young_post,1405,6965773.557399999,0.4652423478017323,0.5277486192031983,0.027544714929208274,0.1388719592282792,0.39783194753436535
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,older_pre,23110,78035190.41600001,0.4453342042896412,0.5430203452109686,0.03746087621131281,0.15361208734906825,0.43694771119386616
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,official,older_post,12414,51950734.7025,0.43301824807142636,0.5559236311995832,0.03964989215640246,0.1547494351261749,0.43982654137957916
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,unweighted,overall,39893,39893.0,0.44155616273531695,0.5470383275261324,0.03719950868573434,0.1531860120360919,0.4358018222007665
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,unweighted,young_pre,2588,2588.0,0.48183925811437406,0.5123647604327666,0.030139103554868624,0.14275923056391976,0.4067189652237019
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,unweighted,young_post,1405,1405.0,0.45693950177935944,0.5366548042704626,0.02704626334519573,0.1395374784305601,0.39988125712701766
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,unweighted,older_pre,23110,23110.0,0.44288186932064044,0.5450454348766768,0.037516226741670274,0.15391224787551658,0.4376517196374906
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,persistent,unweighted,older_post,12414,12414.0,0.4297567262767843,0.5584823586273562,0.039632672788786856,0.15543841008730494,0.44208219093246093
