analysis_status,measure_1,measure_2,pair_comparable_raw,pair_comparable_weight,pair_sign_agreement_weighted,pair_sign_conflict_weighted,pair_sign_agreement_unweighted,sixway_sign_agreement_weighted,sixway_sign_conflict_weighted,sixway_sign_agreement_unweighted,weighted_agreement_pair_minus_sixway,unweighted_agreement_pair_minus_sixway
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_ability_direct,143348,534757933.39839995,0.9089949056988678,0.09100509430113224,0.9109858526104305,0.9135663937281109,0.08643360627188912,0.915963133640553,-0.00457148802924312,-0.004977281030122516
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_oews2018_source_weighted,169099,632442769.4256,0.9601575513462104,0.03984244865378961,0.9600175045387613,0.9658230930748246,0.03417690692517539,0.9657603686635945,-0.005665541728614221,-0.005742864124833158
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_alpha,135060,506063456.93619996,0.5924804754139761,0.4075195245860239,0.5897527025025915,0.592906045962762,0.407093954037238,0.5901270799823161,-0.00042557054878589184,-0.0003743774797245747
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_beta,137028,513564879.9168,0.7287368969656394,0.27126310303436063,0.7277636687392357,0.7338982066284432,0.2661017933715568,0.7335587083425701,-0.005161309662803815,-0.005795039603334384
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_gamma,135477,507614626.3312,0.7592725845167608,0.24072741548323917,0.7567262339732943,0.7787617858834031,0.22123821411659694,0.776783622991521,-0.019489201366642228,-0.020057389018226734
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,aioe_oews2018_source_weighted,138946,518620971.5487,0.8885427676453457,0.11145723235465432,0.8903674808918572,0.8936959210113977,0.10630407898860228,0.8958064516129032,-0.0051531533660520434,-0.005438970721045933
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_alpha,108738,406401124.9029,0.5631732282468069,0.43682677175319307,0.5628207250455223,0.5652322758935279,0.43476772410647213,0.5646922707904167,-0.002059047646720935,-0.001871545744894454
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_beta,110704,413899745.5094,0.7222900491974583,0.2777099508025417,0.7227832779303367,0.7222646322526269,0.27773536774737306,0.7226686617896992,2.5416944831380128e-05,0.00011461614063745795
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_gamma,109172,408029883.35289997,0.7802786963128866,0.2197213036871134,0.7792749056534642,0.7809645475164482,0.21903545248355183,0.7798472853328337,-0.0006858512035615716,-0.0005723796793694058
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_alpha,132934,498339915.6802,0.5952881765079665,0.4047118234920335,0.5907442791159523,0.5893681129724495,0.4106318870275505,0.5847748586693757,0.005920063535516995,0.005969420446576557
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_beta,134889,505807918.2714,0.74449225555608,0.25550774444392,0.7424697343741892,0.7465088165648082,0.25349118343519184,0.745132269267716,-0.002016561008728157,-0.002662534893526858
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_gamma,133341,499867251.52759993,0.7699743216617756,0.2300256783382244,0.7677533541821345,0.7842570070358079,0.21574299296419208,0.7829203166721319,-0.014282685374032322,-0.015166962489997382
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_beta,135458,507677822.05079997,0.7659629098834045,0.23403709011659546,0.7637053551654387,0.7602477054275176,0.23975229457248237,0.7584716231234343,0.005715204455886913,0.005233732042004391
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_gamma,133907,501727568.4652,0.6311071850293642,0.36889281497063575,0.6286079144480872,0.638777272979018,0.361222727020982,0.6362411489837456,-0.007670087949653737,-0.007633234535658451
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,dv_rating_gamma,135875,509228991.44580007,0.8707098834006439,0.12929011659935608,0.8705354185832567,0.8854075271142657,0.11459247288573426,0.884720736946774,-0.01469764371362181,-0.01418531836351733
