analysis_status,measure_1,measure_2,centered_shift_covariance
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_admin_equal,0.0017023193850914616
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_ability_direct,0.0012630015192738992
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,aioe_oews2018_source_weighted,0.0016249883788437996
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_alpha,0.00029506758062350396
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_beta,0.0006677650950129143
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_admin_equal,dv_rating_gamma,0.0007967904623586001
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,aioe_admin_equal,0.0012630015192738992
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,aioe_ability_direct,0.00152319432254643
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,aioe_oews2018_source_weighted,0.001374158221795362
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_alpha,0.00022382383362920514
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_beta,0.000806262837665324
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_ability_direct,dv_rating_gamma,0.0008857687597082872
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,aioe_admin_equal,0.0016249883788437996
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,aioe_ability_direct,0.001374158221795362
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,aioe_oews2018_source_weighted,0.0018147271951879517
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_alpha,0.0005139177691121234
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_beta,0.0008499802075931836
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,aioe_oews2018_source_weighted,dv_rating_gamma,0.000960175609057648
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,aioe_admin_equal,0.00029506758062350396
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,aioe_ability_direct,0.00022382383362920514
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,aioe_oews2018_source_weighted,0.0005139177691121234
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_alpha,0.0017378016029541757
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_beta,0.0010358180580538729
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_alpha,dv_rating_gamma,0.0007904498130736895
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,aioe_admin_equal,0.0006677650950129143
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,aioe_ability_direct,0.000806262837665324
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,aioe_oews2018_source_weighted,0.0008499802075931836
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,dv_rating_alpha,0.0010358180580538729
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,dv_rating_beta,0.002024782869314773
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_beta,dv_rating_gamma,0.0018074125822668643
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_gamma,aioe_admin_equal,0.0007967904623586001
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_gamma,aioe_ability_direct,0.0008857687597082872
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_gamma,aioe_oews2018_source_weighted,0.000960175609057648
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_gamma,dv_rating_alpha,0.0007904498130736895
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_gamma,dv_rating_beta,0.0018074125822668643
POST-OUTCOME EXPLORATORY — NOT PART OF CONFIRMATORY YAX v1.1,dv_rating_gamma,dv_rating_gamma,0.0019805995632248977
